id,authors,title,year,venue,entityUrl
738,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,2001,SIGMOD Conference,conf/sigmod/DoanDH01
739,"Raymond T. Ng, Paul Shum",Optimal Clip Ordering for Multi-Clip Queries,1998,VLDB J.,journals/vldb/NgS98
740,"Fabio Casati, Ming-Chien Shan",Process Automation as the Foundation for E-Business,2000,VLDB,conf/vldb/CasatiS00
741,Jennifer Widom,Research Issues in Active Database Systems: Report from the Closing Panel at RIDE-ADS '94,1994,SIGMOD Record,journals/sigmod/Widom94
742,Richard T. Snodgrass,ACM TODS in this Internet Age,2003,SIGMOD Record,journals/sigmod/Snodgrass03
743,"Nikos Mamoulis, Dimitris Papadias, Vasilis Delis",Algorithms for Querying by Spatial Structure,1998,VLDB,conf/vldb/PapadiasMD98
744,"Giuseppe Santucci, Tiziana Catarci",Query by Diagram: A Graphical Environment for Querying Databases,1994,SIGMOD Conference,conf/sigmod/CatarciS94
745,"Bernhard Mitschang, Michael Jaedicke",User-Defined Table Operators: Enhancing Extensibility for ORDBMS,1999,VLDB,conf/vldb/JaedickeM99
746,Asuman Dogac,Guest Editor's Introduction,2002,SIGMOD Record,journals/sigmod/Dogac02
747,"Feng Shao, Lin Guo, Chavdar Botev, Jayavel Shanmugasundaram",XRANK: Ranked Keyword Search over XML Documents,2003,SIGMOD Conference,conf/sigmod/GuoSBS03
748,Richard T. Snodgrass,Chair's Message,1998,SIGMOD Record,journals/sigmod/Snodgrass98c
749,"Rajeev Motwani, Serge Abiteboul, Svetlozar Nestorov",Infering Structure in Semistructured Data,1997,SIGMOD Record,journals/sigmod/NestorovAM97
750,"Jian Pei, Laks V. S. Lakshmanan, Yan Zhao",Efficacious Data Cube Exploration by Semantic Summarization and Compression,2003,VLDB,conf/vldb/LakshmananPZ03
751,"David E. Culler, Joseph M. Hellerstein, David A. Patterson, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau",High-Performance Sorting on Networks of Workstations,1997,SIGMOD Conference,conf/sigmod/Arpaci-DusseauACHP97
752,Marc H. Scholl,Transactional Information Systems - Book Review,2001,SIGMOD Record,journals/sigmod/Scholl01
753,"Atsushi Ohori, Peter Buneman",Polymorphism and Type Inference in Database Programming,1996,ACM Trans. Database Syst.,journals/tods/BunemanO96
754,"M. Howard Williams, Norman W. Paton, Andrew Dinn, Maria L. Barja, Alvaro A. A. Fernandes",An Effective Deductive Object-Oriented Database Through Language Integration,1994,VLDB,conf/vldb/BarjaPFWD94
755,"Kenneth A. Ross, Jun Rao",Cache Conscious Indexing for Decision-Support in Main Memory,1999,VLDB,conf/vldb/RaoR99
756,"Reuven Kashi, Nathan S. Netanyahu, Amihood Amir",Analyzing Quantitative Databases: Image is Everything,2001,VLDB,conf/vldb/AmirKN01
757,"Sailesh Krishnamurthy, C. Mohan, Larry Brown, Hamid Pirahesh, Mehmet Altinel, Honguk Woo, Qiong Luo, Bruce G. Lindsay",DBCache: database caching for web application servers,2002,SIGMOD Conference,conf/sigmod/AltinelLKMPLWB02
758,"Donald Kossmann, Konrad Stocker",Iterative dynamic programming: a new class of query optimization algorithms,2000,ACM Trans. Database Syst.,journals/tods/KossmannS00
759,"Douglas Banks, Marcel Kornacker",High-Concurrency Locking in R-Trees,1995,VLDB,conf/vldb/KornackerB95
760,"Nabil R. Adam, Yelena Yesha",Electronic Commerce: Tutorial,1998,SIGMOD Conference,conf/sigmod/AdamY98
761,"Ahmed K. Elmagarmid, Haitao Jiang",Spatial and Temporal Content-Based Access to Hypervideo Databases,1998,VLDB J.,journals/vldb/JiangE98
762,"Claus Hagen, Hans-J�rg Schek, Gustavo Alonso, Markus Tresch",Distributed Processing over Stand-alone Systems and Applications,1997,VLDB,conf/vldb/AlonsoHST97
763,"Junghoo Cho, Hector Garcia-Molina",Synchronizing a Database to Improve Freshness,2000,SIGMOD Conference,conf/sigmod/ChoG00
764,Henry F. Korth,The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept,1995,VLDB,conf/vldb/Korth95
765,"Christopher R. Palmer, Christos Faloutsos",Density Biased Sampling: An Improved Method for Data Mining and Clustering,2000,SIGMOD Conference,conf/sigmod/PalmerF00
766,?,The TSQL2 Final Language Definition Announcement,1994,SIGMOD Record,journals/sigmod/X94
767,"Pin-Kwang Eng, Kian-Lee Tan, Beng Chin Ooi",Efficient Progressive Skyline Computation,2001,VLDB,conf/vldb/TanEO01
768,Harald Kosch,MPEG-7 and Multimedia Database Systems,2002,SIGMOD Record,journals/sigmod/Kosch02
769,"Yirong Xu, Rakesh Agrawal, Amit Somani",Storage and Querying of E-Commerce Data,2001,VLDB,conf/vldb/AgrawalSX01
770,"Nick Roussopoulos, Yannis Kotidis",DynaMat: A Dynamic View Management System for Data Warehouses,1999,SIGMOD Conference,conf/sigmod/KotidisR99
771,"Martin Strauss, S. Muthukrishnan, Yannis Kotidis, Anna C. Gilbert",How to Summarize the Universe: Dynamic Maintenance of Quantiles,2002,VLDB,conf/vldb/GilbertKMS02
772,Martin Grohe,Parameterized Complexity for the Database Theorist,2002,SIGMOD Record,journals/sigmod/Grohe02
773,Michael J. Franklin,Editor's Notes,2000,SIGMOD Record,journals/sigmod/Franklin00b
774,Gavin M. Bierman,Formal semantics and analysis of object queries,2003,SIGMOD Conference,conf/sigmod/Bierman03
775,"Malcolm P. Atkinson, Ronald Morrison",Orthogonally Persistent Object Systems,1995,VLDB J.,journals/vldb/AtkinsonM95
776,"Marcin Skubiszewski, Patrick Valduriez",Concurrent Garbage Collection in O2,1997,VLDB,conf/vldb/SkubiszewskiV97
777,"Ioana Manolescu, Stefano Ceri","Constructing and integrating data-centric Web Applications: Methods, Tools, and Techniques",2003,VLDB,conf/vldb/CeriM03
778,"Robert Meersman, Amit P. Sheth",Guest Editor's Introduction,2002,SIGMOD Record,journals/sigmod/MeersmanS02
779,"Gadi Entin, Shai Geva, Shaul Dar, Eran Palmon",DTL's DataSpot: Database Exploration Using Plain Language,1998,VLDB,conf/vldb/DarEGP98
780,Michael J. Franklin,Editor's Notes,1998,SIGMOD Record,journals/sigmod/Franklin98
781,"Robert Rees, Luis-Felipe Cabrera, Wayne Hineman",Applying Database Technology in the ADSM Mass Storage System,1995,VLDB,conf/vldb/CabreraRH95
782,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",Dynamic Buffer Allocation in Video-on-Demand Systems,2001,SIGMOD Conference,conf/sigmod/LeeWMS01
783,"Wei Wang, Haifeng Jiang, Hongjun Lu, Jeffrey Xu Yu",Holistic Twig Joins on Indexed XML Documents,2003,VLDB,conf/vldb/JiangWL03
784,Alon Y. Levy,Obtaining Complete Answers from Incomplete Databases,1996,VLDB,conf/vldb/Levy96
785,"Martin Staudt, Matthias Jarke",Incremental Maintenance of Externally Materialized Views,1996,VLDB,conf/vldb/StaudtJ96
786,"Claudia Bauzer Medeiros, Fatima Pires",Databases for GIS,1994,SIGMOD Record,journals/sigmod/MedeirosP94
787,"Dan Suciu, Ioana Manolescu, Daniela Florescu, Alon Y. Levy",Query Optimization in the Presence of Limited Access Patterns,1999,SIGMOD Conference,conf/sigmod/FlorescuLMS99
788,"Ming-Syan Chen, Philip S. Yu, Jong Soo Park",An Effective Hash Based Algorithm for Mining Association Rules,1995,SIGMOD Conference,conf/sigmod/ParkCY95
789,"Henrique Madeira, Marco Vieira",A Dependability Benchmark for OLTP Application Environments,2003,VLDB,conf/vldb/VieiraM03
790,David B. Lomet,High Speed On-line Backup When Using Logical Log Operations,2000,SIGMOD Conference,conf/sigmod/Lomet00
791,Jiawei Han,Towards On-Line Analytical Mining in Large Databases,1998,SIGMOD Record,journals/sigmod/Han98
792,"Kyoji Hirata, Yoshinori Hara, Wen-Syan Li, K. Sel�uk Candan",Facilitating Multimedia Database Exploration through Visual Interfaces and Perpetual Query Reformulations,1997,VLDB,conf/vldb/LiCHH97
793,"Geoffrey Phipps, Marcia A. Derr, Shinichi Morishita","The Glue-Nail Deductive Database System: Design, Implementation, and Evaluation",1994,VLDB J.,journals/vldb/DerrMP94
794,"Nick Roussopoulos, Mema Roussopoulos, Yannis Kotidis",Cubetree: Organization of and Bulk Updates on the Data Cube,1997,SIGMOD Conference,conf/sigmod/RoussopoulosKR97
795,Marianne Winslett,Interview with Avi Silberschatz,2002,SIGMOD Record,journals/sigmod/Winslett02
796,"ChengXiang Zhai, Marianne Winslett, Yuanyuan Zhou, Kevin Chen-Chuan Chang, Jiawei Han, AnHai Doan",Database Research at the University of Illinois at Urbana-Champaign,2002,SIGMOD Record,journals/sigmod/WinslettCDHZZ02
797,"Berthold Reinwald, Hamid Pirahesh",SQL Open Heterogeneous Data Access,1998,SIGMOD Conference,conf/sigmod/ReinwaldP98
798,"Carole A. Goble, Brian J. Read",Report on the 18th British National Conference on Databases (BNCOD),2002,SIGMOD Record,journals/sigmod/GobleR02
799,"Jeffrey F. Naughton, Amit Shukla, Prasad Deshpande",Materialized View Selection for Multidimensional Datasets,1998,VLDB,conf/vldb/ShuklaDN98
800,"Carlo Combi, Giuseppe Pozzi",HMAP - A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,2001,VLDB J.,journals/vldb/CombiP01
801,"Bernhard Mitschang, Clara Nippl","TOPAZ: a Cost-Based, Rule-Driven, Multi-Phase Parallelizer",1998,VLDB,conf/vldb/NipplM98
802,"Reza Sadri, Amir M. Zarkesh, Jafar Adibi, Carlo Zaniolo",A Sequential Pattern Query Language for Supporting Instant Data Mining for e-Services,2001,VLDB,conf/vldb/SadriZZA01
803,"Wolfgang Lehner, Alexander Hinneburg, Dirk Habich",COMBI-Operator: Database Support for Data Mining Applications,2003,VLDB,conf/vldb/HinneburgLH03
804,"Vipul Kashyap, Stefan Decker",The Semantic Web: Semantics for Data on the Web,2003,VLDB,conf/vldb/DeckerK03
805,"Rafael Alonso, Yuh-Lin Chang, V. S. Mani, Liviu Iftode",Managing Video Data in a Mobile Environment,1995,SIGMOD Record,journals/sigmod/AlonsoCIM95
806,Michael Freeston,A General Solution of the n-dimensional B-tree Problem,1995,SIGMOD Conference,conf/sigmod/Freeston95
807,Jim Gray,Parallel Database Systems 101,1995,SIGMOD Conference,conf/sigmod/Gray95
808,"Pinar Koksal, Sena Nural Arpinar, Asuman Dogac",Workflow History Management,1998,SIGMOD Record,journals/sigmod/KoksalAD98
809,"Michael J. Franklin, Stanley B. Zdonik, Swarup Acharya, Rafael Alonso",Broadcast Disks: Data Management for Asymmetric Communications Environments,1995,SIGMOD Conference,conf/sigmod/AcharyaAFZ95
810,"Mayur Datar, Piotr Indyk, S. Muthukrishnan, Graham Cormode",Comparing Data Streams Using Hamming Norms (How to Zero In),2002,VLDB,conf/vldb/CormodeDIM02
811,"Masatoshi Yoshikawa, Shunsuke Uemura, Yasushi Sakurai, Haruhiko Kojima",The A-tree: An Index Structure for High-Dimensional Spaces Using Relative Approximation,2000,VLDB,conf/vldb/SakuraiYUK00
812,"Richard T. Snodgrass, Wei Li, Dengfeng Gao",Skew handling techniques in sort-merge join,2002,SIGMOD Conference,conf/sigmod/LiGS02
813,"Hanuma Kodavalla, Nagavamsi Ponnekanti",Online Index Rebuild,2000,SIGMOD Conference,conf/sigmod/PonnekantiK00
814,"Alexandros Nanopoulos, Yannis Manolopoulos",Efficient similarity search for market basket data,2002,VLDB J.,journals/vldb/NanopoulosM02
815,"Divesh Srivastava, Ting Yu, H. V. Jagadish, Laks V. S. Lakshmanan",Compressed Accessibility Map: Efficient Access Control for XML,2002,VLDB,conf/vldb/YuSLJ02
816,"Alberto O. Mendelzon, John Keenleyside, Denilson Barbosa, Kelly A. Lyons",ToXgene: a template-based data generator for XML,2002,SIGMOD Conference,conf/sigmod/BarbosaMKL02
817,"Zachary G. Ives, Qiong Luo",Interviewing During a Tight Job Market,2002,SIGMOD Record,journals/sigmod/LuoI02
818,"Jiawei Han, Xiaolei Li, Benjamin W. Wah, Dong Xin",Star-Cubing: Computing Iceberg Cubes by Top-Down and Bottom-Up Integration,2003,VLDB,conf/vldb/XinHLW03
819,"Thomas Zurek, Markus Sinnwell",Datawarehousing Has More Colours Than Just Black & White,1999,VLDB,conf/vldb/ZurekS99
820,"Marek Rusinkiewicz, Dimitrios Georgakopoulos, Witold Litwin",Chronological Scheduling of Transactions with Temporal Dependencies,1994,VLDB J.,journals/vldb/GeorgakopoulosRL94
821,"Gustav Fahl, Tore Risch",Query Processing Over Object Views of Relational Data,1997,VLDB J.,journals/vldb/FahlR97
822,"Boris Chidlovskii, Uwe M. Borghoff",Semantic Caching of Web Queries,2000,VLDB J.,journals/vldb/ChidlovskiiB00
823,"Curtis E. Dyreson, Michael H. B�hlen, Christian S. Jensen",Capturing and Querying Multiple Aspects of Semistructured Data,1999,VLDB,conf/vldb/DyresonBJ99
824,"Latha S. Colby, Gopal Mulagund, Richard L. Cole, Craig J. Bunker, William J. McKenna, David Wilhite",Aggregate Maintenance for Data Warehousing in Informix Red Brick Vista,2001,VLDB,conf/vldb/BunkerCCMMW01
825,"Devashish Worah, Souvik Das, Ivan Shevchenko, Amit P. Sheth, John A. Miller, Chenye Lin, Devanand Palaniswami, Krys Kochut, John Lynch",Supporting State-Wide Immunisation Tracking Using Multi-Paradigm Workflow Technology,1996,VLDB,conf/vldb/ShethKMWDLPLS96
826,"Daniel J. Abadi, Mitch Cherniack",Visual COKO: a debugger for query optimizer development,2002,SIGMOD Conference,conf/sigmod/AbadiC02
827,"Meikel P�ss, Dmitry Potapov",Data Compression in Oracle,2003,VLDB,conf/vldb/PossP03
828,"Munir Cochinwala, John Bradley",A Multidatabase System for Tracking and Retrieval of Financial Data,1994,VLDB,conf/vldb/CochinwalaB94
829,"Hector Garcia-Molina, Ramana Yerneni, Wilburt Labio",Shrinking the Warehouse Update Window,1999,SIGMOD Conference,conf/sigmod/LabioYG99
830,"Edward Omiecinski, Shamkant B. Navathe, Ashok Savasere",An Efficient Algorithm for Mining Association Rules in Large Databases,1995,VLDB,conf/vldb/SavasereON95
831,"Eric Simon, Esther Pacitti",Update Propagation Strategies to Improve Freshness in Lazy Master Replicated Databases,2000,VLDB J.,journals/vldb/PacittiS00
832,"Tak W. Yan, Hector Garcia-Molina",The SIFT Information Dissemination System,1999,ACM Trans. Database Syst.,journals/tods/YanG99
833,Daniel Barbar�,Special Issue on Data Mining for Intrusion Detection and Threat Analysis - Guest Editor's Introduction,2001,SIGMOD Record,journals/sigmod/Barbara01
834,Prabhakar Raghavan,Extracting and Exploiting Structure in Text Search,2003,SIGMOD Conference,conf/sigmod/Raghavan03
835,"Jayant R. Haritsa, Vibhuti S. Sengar",PLASTIC: Reducing Query Optimization Overheads through Plan Recycling,2003,SIGMOD Conference,conf/sigmod/SengarH03
836,"Phillip B. Gibbons, Minos N. Garofalakis",Wavelet synopses with error guarantees,2002,SIGMOD Conference,conf/sigmod/GarofalakisG02
837,"Chen Li, Jeffrey D. Ullman, Foto N. Afrati",Generating Efficient Plans for Queries Using Views,2001,SIGMOD Conference,conf/sigmod/AfratiLU01
838,"Laks V. S. Lakshmanan, Jian Pei, Yan Zhao",QC-Trees: An Efficient Summary Structure for Semantic OLAP,2003,SIGMOD Conference,conf/sigmod/LakshmananPZ03
839,"Norman W. Paton, Carole A. Goble",Information Management for Genome Level Bioinformatics,2001,VLDB,conf/vldb/PatonG01
840,"Michael J. Franklin, Mehmet Altinel",Efficient Filtering of XML Documents for Selective Dissemination of Information,2000,VLDB,conf/vldb/AltinelF00
841,"Arthur J. Bernstein, Narayanan Krishnakumar",Bounded Ignorance: A Technique for Increasing Concurrency in a Replicated System,1994,ACM Trans. Database Syst.,journals/tods/KrishnakumarB94
842,Arie Segev,Editor's Notes and Erratum,1994,SIGMOD Record,journals/sigmod/Segev94b
843,Herb Edelstein,Research and Products: Are They Relevant To Each Other? (Panel),1995,SIGMOD Conference,conf/sigmod/Edelstein95
844,"Leonard J. Seligman, Michael J. Carey",NSF Workshop on Industrial/Academic Cooperation in Database Systems,1999,SIGMOD Record,journals/sigmod/CareyS99
845,"Sorana Rabinovici, John Catozzi",Operating System Extensions for the Teradata Parallel VLDB,2001,VLDB,conf/vldb/CatozziR01
846,"Liang Huai Yang, Mong-Li Lee, Wynne Hsu",Efficient Mining of XML Query Patterns for Caching,2003,VLDB,conf/vldb/YangLH03
847,"Ravi Krishnamurthy, Charles Hoch, Nita Goyal, Michael Suckow, Brian Meckler",Is GUI Programming a Database Research Problem?,1996,SIGMOD Conference,conf/sigmod/GoyalHKMS96
848,Terence Critchlow,Report on XEWA-00: The XML Enabled Wide-Area Searches for Bioinformatics Workshop,2001,SIGMOD Record,journals/sigmod/Critchlow01
849,Armando Fox,Toward Recovery-Oriented Computing,2002,VLDB,conf/vldb/Fox02
850,"T. V. Ashwin, Rahul Gupta, Sugata Ghosal",Adaptable Similarity Search using Non-Relevant Information,2002,VLDB,conf/vldb/AshwinGG02
851,"James L. Edwards, Meridith A. Lane, Ebbe Nielsen","Biodiversity Informatics: The Challenge of Rapid Development, Large Databases, and Complex Data (Keynote)",2000,VLDB,conf/vldb/LaneEN00
852,"Anil Kumar, Vassilis J. Tsotras",Temporal Database Bibliography Update,1996,SIGMOD Record,journals/sigmod/TsotrasK96
853,"Mick J. Jordan, Susan Spence, Laurent Dayn�s, Malcolm P. Atkinson, Tony Printezis",An Orthogonally Persistent Java,1996,SIGMOD Record,journals/sigmod/AtkinsonDJPS96
854,"Yan Zhao, Laks V. S. Lakshmanan, Jian Pei",SOCQET: Semantic OLAP with Compressed Cube and Summarization,2003,SIGMOD Conference,conf/sigmod/LakshmananPZ03a
855,"Yahiko Kambayashi, Koichi Goto",Integration of Electronic Tickets and Personal Guide System for Public Transport using Mobile Terminals,2003,SIGMOD Conference,conf/sigmod/GotoK03
856,Kenneth A. Ross,Tail Recursion Elimination in Deductive Databases,1996,ACM Trans. Database Syst.,journals/tods/Ross96
857,"Maurizio Panti, Alberto Giretti, Luca Spalazzi",A Case-Based Approach to Information Integration,2000,VLDB,conf/vldb/PantiSG00
858,"Lyman Do, Pamela Drew, Prabhu Ram",Distributed Transactions in Practice,1999,SIGMOD Record,journals/sigmod/RamDD99
859,"Zhao-Hui Tang, Fei Sha, Georges Gardarin","Calibrating the Query Optimizer Cost Model of IRO-DB, an Object-Oriented Federated Database System",1996,VLDB,conf/vldb/GardarinST96
860,"Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Said Hacid",Quality of Service in Multimedia Digital Libraries,2001,SIGMOD Record,journals/sigmod/BertinoEH01
861,"Jean-Christophe R. Pazzaglia, Chiara Biancheri, Gavino Paddeu",EIHA?!?: Deploying Web and WAP services using XML Technology,2001,SIGMOD Record,journals/sigmod/BiancheriPP01
862,"Swarup Acharya, Viswanath Poosala, Phillip B. Gibbons, Sridhar Ramaswamy",Join Synopses for Approximate Query Answering,1999,SIGMOD Conference,conf/sigmod/AcharyaGPR99a
863,"Martin van den Berg, Soumen Chakrabarti, Byron Dom",Distributed Hypertext Resource Discovery Through Examples,1999,VLDB,conf/vldb/ChakrabartiBD99
864,George Colliat,Data Management Challenges in CRM,2003,SIGMOD Conference,conf/sigmod/Colliat03
865,"Andrew Eisenberg, Jim Melton",SQL Standardization: The Next Steps,2000,SIGMOD Record,journals/sigmod/EisenbergM00
866,"Jeffrey F. Naughton, Amit Shukla, Karthikeyan Ramasamy, Prasad Deshpande",Storage Estimation for Multidimensional Aggregates in the Presence of Hierarchies,1996,VLDB,conf/vldb/ShuklaDNR96
867,"Bernhard Seeger, Dimitris Papadias, Greg Fu, Yufei Tao",An Optimal and Progressive Algorithm for Skyline Queries,2003,SIGMOD Conference,conf/sigmod/PapadiasTFS03
868,"Steffen Staab, Rudi Studer, York Sure",Methodology for Development and Employment of Ontology Based Knowledge Management Applications,2002,SIGMOD Record,journals/sigmod/SureSS02
869,"Alin Dobra, Johannes Gehrke, Rajeev Rastogi, Minos N. Garofalakis",Processing complex aggregate queries over data streams,2002,SIGMOD Conference,conf/sigmod/DobraGGR02
870,Felipe Cabrera,Web Services (Industrial Session),2003,VLDB,conf/vldb/Cabrera03
871,"Chris Clifton, Svetlozar Nestorov, Rajeev Motwani, Shalom Tsur, Jeffrey D. Ullman, Arnon Rosenthal, Serge Abiteboul",Query Flocks: A Generalization of Association-Rule Mining,1998,SIGMOD Conference,conf/sigmod/TsurUACMNR98
872,"Maxim Lifantsev, Tzi-cker Chiueh",I/O-Conscious Data Preparation for Large-Scale Web Search Engines,2002,VLDB,conf/vldb/LifantsevC02
873,Richard T. Snodgrass,Reminiscences on Influential Papers,1999,SIGMOD Record,journals/sigmod/Snodgrass99b
874,"Jing Chen, Louxin Zhang, Limsoon Wong",A Protein Patent Query System Powered By Kleisli,1998,SIGMOD Conference,conf/sigmod/ChenWZ98
875,"Abraham Silberschatz, Stanley B. Zdonik",Database Systems - Breaking Out of the Box,1997,SIGMOD Record,journals/sigmod/SilberschatzZ97
876,Andreas Meier,Providing Database Migration Tools - A Practicioner's Approach,1995,VLDB,conf/vldb/Meier95
877,"Panos K. Chrysanthis, Krithi Ramamritham",Synthesis of Extended Transaction Models Using ACTA,1994,ACM Trans. Database Syst.,journals/tods/ChrysanthisR94
878,"Joseph M. Hellerstein, Mehul A. Shah, Marcel Kornacker",amdb: An Access Method Debugging Tool,1998,SIGMOD Conference,conf/sigmod/KornackerSH98
879,"Juan Loaiza, Ashok Joshi, Tirthankar Lahiri, William Bridge",Checkpointing in Oracle,1998,VLDB,conf/vldb/JoshiBLL98
880,?,"Title, Foreword, VLDB Journal to be published electronically, Index Vol. 4",1995,VLDB J.,journals/vldb/C95c
881,"Martin Staudt, Yannis Vassiliou, Manfred A. Jeusfeld, Stella Gatziu",Design and Management of Data Warehouses: Report on the DMDW'99 Workshop,1999,SIGMOD Record,journals/sigmod/GatziuJSV99
882,"Ramakrishnan Srikant, Rakesh Agrawal, Alexandre V. Evfimievski",Information Sharing Across Private Databases,2003,SIGMOD Conference,conf/sigmod/AgrawalES03
883,"Jeffrey F. Naughton, Ambuj Shatdal",Adaptive Parallel Aggregation Algorithms,1995,SIGMOD Conference,conf/sigmod/ShatdalN95
884,"Jayant Sharma, Kothuri Venkata Ravi Kanth, Jay Banerjee, Siva Ravada",Indexing Medium-dimensionality Data in Oracle,1999,SIGMOD Conference,conf/sigmod/KanthRSB99
885,"Jennifer Widom, Hector Garcia-Molina, Yue Zhuge, Joachim Hammer",View Maintenance in a Warehousing Environment,1995,SIGMOD Conference,conf/sigmod/ZhugeGHW95
886,Richard T. Snodgrass,Chair's Message,1999,SIGMOD Record,journals/sigmod/Snodgrass99
887,"Vincent Oria, Benjamin Bin Yao, Shu Lin, Paul Iglinski, M. Tamer �zsu",DISIMA: A Distributed and Interoperable Image Database System,2000,SIGMOD Conference,conf/sigmod/OriaOILY00
888,"Laurent Mignet, Am�lie Marian, Gregory Cobena, Serge Abiteboul",Change-Centric Management of Versions in an XML Warehouse,2001,VLDB,conf/vldb/MignetMAC01
889,"Rajeev Rastogi, Kyuseok Shim, Minos N. Garofalakis",SPIRIT: Sequential Pattern Mining with Regular Expression Constraints,1999,VLDB,conf/vldb/GarofalakisRS99
890,Sunita Sarawagi,User-Adaptive Exploration of Multidimensional Data,2000,VLDB,conf/vldb/Sarawagi00
891,"Sang Hyuk Son, Rasikan David, Bhavani M. Thuraisingham",Improving Timeliness in Real-Time Secure Database Systems,1996,SIGMOD Record,journals/sigmod/SonDT96
892,"Dan Suciu, Hartmut Liefke",An Extensible Compressor for XML Data,2000,SIGMOD Record,journals/sigmod/LiefkeS00
893,"Daniel Barbar�, Hector Garcia-Molina",The Demarcation Protocol: A Technique for Maintaining Constraints in Distributed Database Systems,1994,VLDB J.,journals/vldb/Barbara-MillaG94
894,"Mitch Cherniack, Stanley B. Zdonik, Nesime Tatbul, Ugur �etintemel, Greg Seidman, Michael Stonebraker, Christian Convey, Donald Carney, Sangdon Lee",Monitoring Streams - A New Class of Data Management Applications,2002,VLDB,conf/vldb/CarneyCCCLSSTZ02
895,"Jignesh M. Patel, Jie-Bing Yu, Navin Kabra, David J. DeWitt, Jun Luo",Client-Server Paradise,1994,VLDB,conf/vldb/DeWittKLPY94
896,Laurent Vieille,From Data Independence to Knowledge Independence: An on-going Story,1998,VLDB,conf/vldb/Vieille98
897,Dirk D�llmann,Petabyte Databases,1999,SIGMOD Conference,conf/sigmod/Dullmann99
898,"Vasilis Vassalos, Yannis Papakonstantinou",Query Rewriting for Semistructured Data,1999,SIGMOD Conference,conf/sigmod/PapakonstantinouV99
899,"C�sar A. Galindo-Legaria, Arnon Rosenthal",Outerjoin Simplification and Reordering for Query Optimization,1997,ACM Trans. Database Syst.,journals/tods/Galindo-LegariaR97
900,Richard T. Snodgrass,Reminiscences on Influential Papers,1998,SIGMOD Record,journals/sigmod/Snodgrass98a
901,"Hanan Samet, Aya Soffer",Integrating Symbolic Images into a Multimedia Database System Using Classification and Abstraction Approaches,1998,VLDB J.,journals/vldb/SofferS98
902,"Bernhard Seeger, Jens-Peter Dittrich, Jochen Van den Bercken",javax.XXL: A prototype for a Library of Query processing Algorithms,2000,SIGMOD Conference,conf/sigmod/BerckenDS00
903,Clark D. French,``One Size Fits All'' Database Architectures Do Not Work for DDS,1995,SIGMOD Conference,conf/sigmod/French95
904,Marianne Winslett,Interview with David Maier,2002,SIGMOD Record,journals/sigmod/Winslett02c
905,"Prasanna Ganesan, Sunita Sarawagi, Surajit Chaudhuri",Factorizing Complex Predicates in Queries to Exploit Indexes,2003,SIGMOD Conference,conf/sigmod/ChaudhuriGS03
906,"Krithi Ramamritham, Panos K. Chrysanthis",A Taxonomy of Correctness Criteria in Database Applications,1996,VLDB J.,journals/vldb/RamamrithamC96
907,Ling Liu,Editor's Notes,2003,SIGMOD Record,journals/sigmod/Liu03c
908,Karl Aberer,Book Review Column,2002,SIGMOD Record,journals/sigmod/Aberer02a
909,"Jiawei Han, Liangyou Chen, Jian Pei, Ying Lu, Yaqin Liao, Hasan M. Jamil",DNA-Miner: A System Prototype for Mining DNA Sequences,2001,SIGMOD Conference,conf/sigmod/HanPLJ01
910,Prakash Ramanan,Efficient algorithms for minimizing tree pattern queries,2002,SIGMOD Conference,conf/sigmod/Ramanan02
911,John L. Schnase,Research Directions in Biodiversity Informatics,2000,VLDB,conf/vldb/Schnase00
912,Patricia G. Selinger,Information Integration and XML in IBM's DB2,2002,VLDB,conf/vldb/Selinger02
913,"Mayank Bawa, Sergio Marti, Sepandar D. Kamvar, Brian Cooper, Mario T. Schlosser, Neil Daswani, Qi Sun, Hector Garcia-Molina, Arturo Crespo, Beverly Yang, Patrick Vinograd, Prasanna Ganesan",Peer-to-peer research at Stanford,2003,SIGMOD Record,journals/sigmod/BawaCCDGGKMSSVY03
914,Arjan Loeffen,Text Databases: A Survey of Text Models and Systems,1994,SIGMOD Record,journals/sigmod/Loeffen94
915,"Pavan Deolasee, Amol Katkar, Krithi Ramamritham, Ankur Panchbudhe, Prashant J. Shenoy",Dissemination of Dynamic Data,2001,SIGMOD Conference,conf/sigmod/DeolaseeKPRS01
916,"Yixin Ruan, Kian-Lee Tan, Jason Chionh, Lidan Shou, Zhiyong Huang",Walking Through a Very Large Virtual Environment in Real-time,2001,VLDB,conf/vldb/TanSHCR01
917,"Fabio Casati, Daniela Grigori, Umeshwar Dayal, Ming-Chien Shan","Improving Business Process Quality through Exception Understanding, Prediction, and Prevention",2001,VLDB,conf/vldb/CasatiDGS01
918,"Ratko Orlandic, Craig Swietlik, Jack Lukaszuk",The Design of a Retrieval Technique for High-Dimensional Data on Tertiary Storage,2002,SIGMOD Record,journals/sigmod/OrlandicLS02
