venue,title,year,authors,entityUrl
VLDB,Optimization of Run-time Management of Data Intensive Web-sites,1999,"Khaled Yagoub, Dan Suciu, Alon Y. Levy, Daniela Florescu",conf/vldb/FlorescuLSY99
SIGMOD Conference,Dynamic XML documents with distribution and replication,2003,"Ioana Manolescu, Serge Abiteboul, Tova Milo, Angela Bonifati, Gregory Cobena",conf/sigmod/AbiteboulBCMM03
SIGMOD Conference,Database Buffer Size Investigation for OLTP Workloads (Experience Paper),1997,"Thin-Fong Tsuei, Allan Packer, Keng-Tai Ko",conf/sigmod/TsueiPK97
SIGMOD Record,Reminiscences on Influential Papers,1999,"Patrick Valduriez, Serge Abiteboul, Sophie Cluet, Kenneth A. Ross, Raghu Ramakrishnan, Guy M. Lohman, David B. Lomet, Richard T. Snodgrass, Gultekin �zsoyoglu, Michael J. Franklin, Timos K. Sellis",journals/sigmod/SnodgrassACFLLORRSV99
SIGMOD Conference,Random Sampling Techniques for Space Efficient Online Computation of Order Statistics of Large Datasets,1999,"Sridhar Rajagopalan, Bruce G. Lindsay, Gurmeet Singh Manku",conf/sigmod/MankuRL99
VLDB J.,New partnership with ACM and update on the journal,2003,M. Tamer �zsu,journals/vldb/Ozsu03
SIGMOD Conference,Integrating Replacement Policies in StorM: An Extensible Approach,2000,"St�phane Bressan, Kian-Lee Tan, Beng Chin Ooi, Chong Leng Goh",conf/sigmod/BressanGOT00
SIGMOD Conference,High Availability of Commercial Applications,1995,Kestutis Ivinskis,conf/sigmod/Ivinskis95
VLDB,Modeling Design Versions,1996,"D. Janaki Ram, R. Ramakrishnan",conf/vldb/RamakrishnanR96
SIGMOD Conference,"High-Dimensional Index Structures, Database Support for Next Decade's Applications (Tutorial)",1998,"Daniel A. Keim, Stefan Berchtold",conf/sigmod/BerchtoldK98
SIGMOD Conference,LockX: A System for Efficiently Querying Secure XML,2003,"SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava, Sihem Amer-Yahia",conf/sigmod/ChoALS03
SIGMOD Record,David DeWitt Speaks Out,2002,Marianne Winslett,journals/sigmod/Winslett02a
SIGMOD Conference,Oracle Rdb's Record Caching Model,1998,"Richard Frank, Gopalan Arun, Richard Anderson",conf/sigmod/AndersonAF98
SIGMOD Conference,A Super Scalar Sort Algorithm for RISC Processors,1996,Ramesh C. Agarwal,conf/sigmod/Agarwal96
ACM Trans. Database Syst.,Fast Algorithms for Universal Quantification in Large Databases,1995,"Goetz Graefe, Richard L. Cole",journals/tods/GraefeC95
SIGMOD Record,Chair's Message,1999,Richard T. Snodgrass,journals/sigmod/Snodgrass99a
VLDB,Are Web Services the Next Revolution in e-Commerce? (Panel),2001,"Umeshwar Dayal, Gerhard Weikum, Rakesh Agrawal, Johannes Klein, Shalom Tsur, Serge Abiteboul",conf/vldb/TsurAADKW01
VLDB,Decision Tables: Scalable Classification Exploring RDBMS Capabilities,2000,"Hongyan Liu, Hongjun Lu",conf/vldb/LuL00
SIGMOD Conference,Reusing Invariants: A New Strategy for Correlated Queries,1998,"Jun Rao, Kenneth A. Ross",conf/sigmod/RaoR98
VLDB,Telcordia's Database Reconciliation and Data Quality Analysis Tool,2000,"Munir Cochinwala, Francesco Caruso, Paolo Missier, Uma Ganapathy, Gail Lalk",conf/vldb/CarusoCGLM00
VLDB,Groupwise Processing of Relational Queries,1997,"Kenneth A. Ross, Damianos Chatziantoniou",conf/vldb/ChatziantoniouR97
VLDB J.,Anatomy of a native XML base management system,2002,"Thorsten Fiebig, Till Westmann, Robert Schiele, Guido Moerkotte, Carl-Christian Kanne, Julia Neumann, Sven Helmer",journals/vldb/FiebigHKMNSW02
SIGMOD Conference,AQR-Toolkit: An Adaptive Query Routing Middleware for Distributed Data Intensive Systems,2000,"Henrique Paques, Wei Tang, Calton Pu, Wei Han, Ling Liu, David Buttler",conf/sigmod/LiuPBHPT00
VLDB J.,ObjectGlobe: Ubiquitous query processing on the Internet,2001,"Stefan Seltzsam, Donald Kossmann, Markus Keidl, Reinhard Braumandl, Alexander Kreutz, Konrad Stocker, Alfons Kemper",journals/vldb/BraumandlKKKKSS01
SIGMOD Record,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies,2000,"Gerard Rodr�guez-Mul�, Andreas Paepcke, Junghoo Cho, Hector Garcia-Molina",journals/sigmod/PaepckeGRC00
SIGMOD Conference,The MENTOR Workbench for Enterprise-wide Workflow Management,1997,"Jeanine Wei�enfels, Dirk Wodtke, Angelika Kotz Dittrich, Gerhard Weikum, Peter Muth",conf/sigmod/WodtkeWWDM97
SIGMOD Conference,The Effectiveness of GlOSS for the Text Database Discovery Problem,1994,"Luis Gravano, Anthony Tomasic, Hector Garcia-Molina",conf/sigmod/GravanoGT94
VLDB,Technology and the Future of Commerce and Finance (Abstract),1998,David Elliot Shaw,conf/vldb/Shaw98
VLDB,Using Probabilistic Information in Data Integration,1997,"Alon Y. Levy, Daniela Florescu, Daphne Koller",conf/vldb/FlorescuKLP97
SIGMOD Conference,Compressing SQL workloads,2002,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek R. Narasayya",conf/sigmod/ChaudhuriGN02
VLDB,Coarse-Grained Optimization: Techniques for Rewriting SQL Statement Sequences,2003,"Bernhard Mitschang, Tobias Kraft, Holger Schwarz, Ralf Rantzau",conf/vldb/KraftSRM03
VLDB J.,Integrated Document Caching and Prefetching in Storage Hierarchies Based on Markov-Chain Predictions,1998,"Achim Kraiss, Gerhard Weikum",journals/vldb/KraissW98
SIGMOD Record,Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems,2002,"Ouri Wolfson, S. A. M. Makki, Kia Makki, Charles E. Perkins, Birgitta K�nig-Ries, Peter L. Reiher, Niki Pissinou, Peter Scheuermann, Jari Veijalainen",journals/sigmod/Konig-RiesMMPPRSVW02
SIGMOD Conference,Are We Working On the Right Problems? (Panel),1998,Michael Stonebraker,conf/sigmod/Stonebraker98
VLDB,"Ordering Information, Conference Organizers, Program Committees, Additional Reviewers, Additional Demonstrations Reviewers, Sponsors, VLDB Endowment, Preface, Foreword",2000,?,conf/vldb/X00
ACM Trans. Database Syst.,Understanding the global semantics of referential actions using logic rules,2002,"Wolfgang May, Bertram Lud�scher",journals/tods/MayL02
SIGMOD Record,Editor's Notes,2002,Ling Liu,journals/sigmod/Liu02c
VLDB J.,The LHAM Log-Structured History Data Access Method,2000,"Gerhard Weikum, Patrick E. O'Neil, Peter Muth, Achim Pick",journals/vldb/MuthOPW00
VLDB J.,TIGUKAT: A Uniform Behavioral Objectbase Management System,1995,"Randal J. Peters, M. Tamer �zsu, Boman Irani, Adriana Mu�oz, Anna Lipka, Duane Szafron",journals/vldb/OzsuPSILM95
SIGMOD Conference,The Onion Technique: Indexing for Linear Optimization Queries,2000,"Chung-Sheng Li, Vittorio Castelli, Lawrence D. Bergman, John R. Smith, Yuan-Chi Chang, Ming-Ling Lo",conf/sigmod/ChangBCLLS00
SIGMOD Conference,WALRUS: A Similarity Retrieval Algorithm for Image Databases,1999,"Rajeev Rastogi, Kyuseok Shim, Apostol Natsev",conf/sigmod/NatsevRS99
SIGMOD Conference,Improving the Efficiency of Database-System Teaching,2003,Jeffrey D. Ullman,conf/sigmod/Ullman03
SIGMOD Record,Towards Knowledge-Based Digital Libraries,2001,"Manfred A. Jeusfeld, Ling Feng, Jeroen Hoppenbrouwers",journals/sigmod/FengJH01
SIGMOD Conference,Outerjoins as Disjunctions,1994,C�sar A. Galindo-Legaria,conf/sigmod/Galindo-Legaria94
VLDB,Information Retrieval from an Incomplete Data Cube,1996,Curtis E. Dyreson,conf/vldb/Dyreson96
VLDB,SQL Memory Management in Oracle9i,2002,"Mohamed Za�t, Beno�t Dageville",conf/vldb/DagevilleZ02
VLDB,Buffering and Read-Ahead Strategies for External Mergesort,1998,"Per-�ke Larson, Weiye Zhang",conf/vldb/ZhangL98
SIGMOD Conference,Random Sampling for Histogram Construction: How much is enough?,1998,"Vivek R. Narasayya, Rajeev Motwani, Surajit Chaudhuri",conf/sigmod/ChaudhuriMN98
VLDB J.,Qualitative Representation of Spatial Knowledge in Two-Dimensional Space,1994,"Dimitris Papadias, Timos K. Sellis",journals/vldb/PapadiasS94
SIGMOD Conference,BIRN-M: A Semantic Mediator for Solving Real-World Neuroscience Problems,2003,"Bertram Lud�scher, Maryann E. Martone, Amarnath Gupta",conf/sigmod/GuptaLM03
VLDB,A Comparative Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration,2001,"Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman",conf/vldb/DattaDTVRF01
VLDB,A New SQL-like Operator for Mining Association Rules,1996,"Giuseppe Psaila, Stefano Ceri, Rosa Meo",conf/vldb/MeoPC96
SIGMOD Conference,Tutorial: application servers and associated technologies,2002,C. Mohan,conf/sigmod/Mohan02
VLDB,Provisions and Obligations in Policy Management and Security Applications,2002,"Xiaoyang Sean Wang, Duminda Wijesekera, Claudio Bettini, Sushil Jajodia",conf/vldb/BettiniJWW02
SIGMOD Record,Java Support for Data-Intensive Systems: Experiences Building the Telegraph Dataflow System,2001,"Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein, Mehul A. Shah",journals/sigmod/ShahMFH01
VLDB,Optimizing Queries with Universal Quantification in Object-Oriented and Object-Relational Databases,1997,"Guido Moerkotte, Jens Clau�en, Klaus Peithner, Alfons Kemper",conf/vldb/ClaussenKMP97
SIGMOD Conference,An Efficient Bitmap Encoding Scheme for Selection Queries,1999,"Chee Yong Chan, Yannis E. Ioannidis",conf/sigmod/ChanI99
SIGMOD Record,The Third Manifesto,1995,"C. J. Date, Hugh Darwen",journals/sigmod/DarwenD95
VLDB J.,Data Placement in Shared-Nothing Parallel Database Systems,1997,"Manish Mehta, David J. DeWitt",journals/vldb/MehtaD97
SIGMOD Record,The BeSS Object Storage Manager: Architecture Overview,1996,"Alexandros Biliris, Euthimios Panagos",journals/sigmod/BilirisP96
SIGMOD Record,The Cougar Project: a work-in-progress report,2003,"Agathoniki Trigoni, Rajmohan Rajaraman, Alan J. Demers, Yong Yao, Johannes Gehrke",journals/sigmod/DemersGRTY03
VLDB,Model-Based Information Integration in a Neuroscience Mediator System,2000,"Bertram Lud�scher, Amarnath Gupta, Maryann E. Martone",conf/vldb/LudasaherGM00
SIGMOD Conference,Space-Efficient Online Computation of Quantile Summaries,2001,"Sanjeev Khanna, Michael Greenwald",conf/sigmod/GreenwaldK01
VLDB,Chip-Secured Data Access: Reconciling Access Rights with Data Encryption,2003,"Philippe Pucheral, Lilan Wu, Luc Bouganim, Fran�ois Dang Ngoc",conf/vldb/BouganimNPW03
SIGMOD Conference,The PointCast Network,1998,"Vibha Dayal, Satish Ramakrishnan",conf/sigmod/RamakrishnanD98
SIGMOD Conference,Integration Approaches for CIM,1995,Moira C. Norrie,conf/sigmod/Norrie95
SIGMOD Record,Toward network data independence,2003,Joseph M. Hellerstein,journals/sigmod/Hellerstein03
SIGMOD Conference,CQ: A Personalized Update Monitoring Toolkit,1998,"David Buttler, Tong Zhou, Ling Liu, Paul Benninghoff, Wei Han, Calton Pu, Fenghua Yu, Wei Tang, John Biggs",conf/sigmod/LiuPTBBZBHY98
SIGMOD Conference,The Lowell Report,2003,"Hans-J�rg Schek, Michael Stonebraker, Jim Gray, Jeffrey D. Ullman",conf/sigmod/GraySSU03
SIGMOD Conference,Distributing queries over low-power wireless sensor networks,2002,"Samuel Madden, Joseph M. Hellerstein",conf/sigmod/MaddenH02
SIGMOD Conference,Closest Pair Queries in Spatial Databases,2000,"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos",conf/sigmod/CorralMTV00
SIGMOD Record,Control Strategies for Complex Relational Query Processing in Shared Nothing Systems,1996,"Lionel Brunie, Harald Kosch",journals/sigmod/BrunieK96
VLDB,Database Selection Using Actual Physical and Acquired Logical Collection Resources in a Massive Domain-specific Operational Environment,2002,"Xi S. Guo, Jack G. Conrad, Peter Jackson, Monem Meziou",conf/vldb/ConradGJM02
VLDB,Generic Schema Matching with Cupid,2001,"Philip A. Bernstein, Erhard Rahm, Jayant Madhavan",conf/vldb/MadhavanBR01
SIGMOD Conference,A Query Language and Optimization Techniques for Unstructured Data,1996,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu",conf/sigmod/BunemanDHS96
SIGMOD Conference,BeSS: Storage Support for Interactive Visualization Systems,1996,"William O'Connell, Thomas A. Funkhouser, Alexandros Biliris, Euthimios Panagos",conf/sigmod/BilirisFOP96
ACM Trans. Database Syst.,Optimizing object queries using an effective calculus,2000,"Leonidas Fegaras, David Maier",journals/tods/FegarasM00
SIGMOD Record,An Early Look at XQuery,2002,"Andrew Eisenberg, Jim Melton",journals/sigmod/MeltonE02
VLDB,The Complexity of Transformation-Based Join Enumeration,1997,"C�sar A. Galindo-Legaria, Martin L. Kersten, Arjan Pellenkoft",conf/vldb/PellenkoftLK97
VLDB,GeMBASE: A Geometric Mediator for Brain Analysis with Surface Ensembles,2002,"Amarnath Gupta, Simone Santini",conf/vldb/SantiniG02
VLDB,A Data Transformation System for Biological Data Sources,1995,"Susan B. Davidson, Limsoon Wong, Kyle Hart, Peter Buneman, G. Christian Overton",conf/vldb/BunemanDHOW95
VLDB,Similarity Search in High Dimensions via Hashing,1999,"Rajeev Motwani, Aristides Gionis, Piotr Indyk",conf/vldb/GionisIM99
ACM Trans. Database Syst.,Object Normal Forms and Dependency Constraints for Object-Oriented Schemata,1997,"Zahir Tari, Stefano Spaccapietra, John Stokes",journals/tods/TariSS97
VLDB,CachePortal II: Acceleration of Very Large Scale Data Center-Hosted Database-driven Web Applications,2003,"Wang-Pin Hsiung, Kunihiro Taniguchi, Yusuf Akca, Oliver Po, Wen-Syan Li, Divyakant Agrawal, K. Sel�uk Candan",conf/vldb/LiPHCAAT03
VLDB,Structural Function Inlining Technique for Structurally Recursive XML Queries,2002,"Jun-Ki Min, Chin-Wan Chung, Chang-Won Park",conf/vldb/ParkMC02
VLDB,Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,2000,"Jennifer Widom, Chris Olston",conf/vldb/OlstonW00
VLDB,Tavant System Architecture for Sell-side Channel Management,2001,"Subbu N. Subramanian, Srinivasa Narayanan",conf/vldb/NarayananS01
SIGMOD Record,Clustering Validity Checking Methods: Part II,2002,"Michalis Vazirgiannis, Maria Halkidi, Yannis Batistakis",journals/sigmod/HalkidiBV02a
SIGMOD Record,Reminiscences on Influential Papers,2002,"Theodore Johnson, Amr El Abbadi, Richard T. Snodgrass, Kenneth A. Ross",journals/sigmod/RossAJS02
SIGMOD Conference,Efficient evaluation of queries in a mediator for WebSources,2002,"Tolga Urhan, Laura Bright, Vladimir Zadorozhny, Maria-Esther Vidal, Louiqa Raschid",conf/sigmod/ZadorozhnyRVUB02
SIGMOD Conference,D(k)-Index: An Adaptive Structural Summary for Graph-Structured Data,2003,"Chen Qun, Andrew Lim, Kian Win Ong",conf/sigmod/QunLO03
ACM Trans. Database Syst.,Are quorums an alternative for data replication?,2003,"Bettina Kemme, Ricardo Jim�nez-Peris, Marta Pati�o-Mart�nez, Gustavo Alonso",journals/tods/Jimenez-PerisPAK03
ACM Trans. Database Syst.,"Probabilistic temporal databases, I: algebra",2001,"Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",journals/tods/DekhtyarRS01
SIGMOD Conference,Implementing the Spirit of SQL-99,1999,Paul Brown,conf/sigmod/Brown99
SIGMOD Conference,Content Integration for E-Business,2001,"Joseph M. Hellerstein, Michael Stonebraker",conf/sigmod/StonebrakerH01
SIGMOD Conference,Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey,2000,"Alexander S. Szalay, Donald R. Slutz, Ani Thakar, Jim Gray, Peter Z. Kunszt",conf/sigmod/SzalayGKT00
SIGMOD Conference,Mining Needle in a Haystack: Classifying Rare Classes via Two-phase Rule Induction,2001,"Ramesh C. Agarwal, Mahesh V. Joshi",conf/sigmod/JoshiA01
SIGMOD Conference,SQLEM: Fast Clustering in SQL using the EM Algorithm,2000,"Paul Cereghini, Carlos Ordonez",conf/sigmod/OrdonezC00
VLDB,S-ToPSS: Semantic Toronto Publish/Subscribe System,2003,"Ioana Burcea, Milenko Petrovic, Hans-Arno Jacobsen",conf/vldb/PetrovicBJ03
VLDB,Managing Business Processes via Workflow Technology,2001,Frank Leymann,conf/vldb/Leymann01
SIGMOD Conference,CONTROL: Continuous Output and Navigation Technology with Refinement On-Line,1998,"Bruce Lo, Tali Roth, Ron Avnur, Joseph M. Hellerstein, Chris Olston, Kirk Wylie, Bhaskaran Raman, Vijayshankar Raman",conf/sigmod/AvnurHLORRRW98
SIGMOD Record,A Metadatabase System for Semantic Image Search by a Mathematical Model of Meaning,1994,"Yasushi Kiyoki, Takanari Hayama, Takashi Kitagawa",journals/sigmod/KiyokiKH94
SIGMOD Conference,DLFM: A Transactional Resource Manager,2000,"Hui-I Hsiao, Inderpal Narang",conf/sigmod/HsiaoN00
SIGMOD Conference,Hypertext Databases and Data Mining,1999,Soumen Chakrabarti,conf/sigmod/Chakrabarti99
SIGMOD Record,Dynamic Service Matchmaking Among Agents in Open Information Environments,1999,"Matthias Klusch, Katia P. Sycara, Seth Widoff, Jianguo Lu",journals/sigmod/SycaraKWL99
SIGMOD Record,Open Issues in Parallel Query Optimization,1996,"Waqar Hasan, Patrick Valduriez, Daniela Florescu",journals/sigmod/HasanFV96
SIGMOD Conference,Database Issues in Telecommunications Network Management,1994,Ilsoo Ahn,conf/sigmod/Ahn94
VLDB,MapInfo SpatialWare: A Spatial Information Server for RDBMS,1998,Chebel Mina,conf/vldb/Mina98
SIGMOD Conference,Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases,2000,"Kien A. Hua, Jung-Hwan Oh",conf/sigmod/OhHP00
VLDB,The Generalized Pre-Grouping Transformation: Aggregate-Query Optimization in the Presence of Dependencies,2003,"Timos K. Sellis, Aris Tsois",conf/vldb/TsoisS03
VLDB,MineSet(tm): A System for High-End Data Mining and Visualization,1996,?,conf/vldb/MiningGroup96
SIGMOD Record,KRDB '98: The 5th International Workshop on Knowledge Representation Meets Databases,1998,"Alexander Borgida, Martin Staudt, Vinay K. Chaudhri",journals/sigmod/BorgidaCS98
VLDB,The Drill Down Benchmark,1998,"Peter A. Boncz, Tim R�hl, Fred Kwakkel",conf/vldb/BonczRK98
VLDB,"Fast, Randomized Join-Order Selection - Why Use Transformations?",1994,"Arjan Pellenkoft, C�sar A. Galindo-Legaria, Martin L. Kersten",conf/vldb/Galindo-LegariaPK94
SIGMOD Conference,Expressing Business Rules,2000,Ronald G. Ross,conf/sigmod/Ross00
VLDB J.,Fast Joins Using Join Indices,1999,"Kenneth A. Ross, Zhe Li",journals/vldb/LiR99
ACM Trans. Database Syst.,Discovering all most specific sentences,2003,"Sanjeev Saluja, Hannu Toivonen, Roni Khardon, Heikki Mannila, Ram Sewak Sharm, Dimitrios Gunopulos",journals/tods/GunopulosKMSTS03
SIGMOD Conference,Adaptive Multi-Stage Distance Join Processing,2000,"Sukho Lee, Bongki Moon, Hyoseop Shin",conf/sigmod/MoonSL00
VLDB,FALCON: Feedback Adaptive Loop for Content-Based Retrieval,2000,"Christos Faloutsos, Leejay Wu, Katia P. Sycara, Terry R. Payne",conf/vldb/WuFSP00
VLDB,The Fittest Survives: An Adaptive Approach to Query Optimization,1995,"Kian-Lee Tan, Son Dao, Hongjun Lu",conf/vldb/LuTD95
SIGMOD Record,Building Database-driven Electronic Catalogs,1998,Sherif Danish,journals/sigmod/Danish98
VLDB,Content-Based Image Indexing,1994,Tzi-cker Chiueh,conf/vldb/Chiueh94
SIGMOD Conference,Towards Self-Tuning Data Placement in Parallel Database Systems,2000,"Mong-Li Lee, Beng Chin Ooi, Anirban Mondal, Kian-Lee Tan, Masaru Kitsuregawa",conf/sigmod/LeeKOTM00
SIGMOD Conference,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,1995,"Barbara Liskov, Atul Adya, Robert Gruber, Umesh Maheshwari",conf/sigmod/AdyaGLM95
SIGMOD Conference,Rondo: A Programming Platform for Generic Model Management,2003,"Philip A. Bernstein, Erhard Rahm, Sergey Melnik",conf/sigmod/MelnikRB03
ACM Trans. Database Syst.,Optimization Techniques for Queries with Expensive Methods,1998,Joseph M. Hellerstein,journals/tods/Hellerstein98
SIGMOD Conference,Eliminating Costly Redundant Computations from SQL Trigger Executions,1997,"Fran�ois Llirbat, Fran�oise Fabret, Eric Simon",conf/sigmod/LlirbatFS97
SIGMOD Conference,The Need for Distributed Asynchronous Transactions,1999,"Lyman Do, Prabhu Ram, Pamela Drew",conf/sigmod/DoRD99
VLDB,Cache Portal: Technology for Accelerating Database-driven e-commerce Web Sites,2001,"Yusuf Akca, Cemal Yilmaz, K. Sel�uk Candan, Wen-Syan Li, Wei-Kuang Waine Huang, Qiong Luo, Divyakant Agrawal, Wang-Pin Hsiung, Oliver Po",conf/vldb/LiCHPALHAY01
VLDB,MV3R-Tree: A Spatio-Temporal Access Method for Timestamp and Interval Queries,2001,"Dimitris Papadias, Yufei Tao",conf/vldb/PapadiasT01
SIGMOD Conference,"O-O, What's Happening to DB2?",1999,"Richard Swagerman, Nelson Mendon�a Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin",conf/sigmod/CareyCNVDRSM99
VLDB,Comparing Hybrid Peer-to-Peer Systems,2001,"Beverly Yang, Hector Garcia-Molina",conf/vldb/YangG01
SIGMOD Conference,DataSplash,1998,"Vuk Ercegovac, Allison Woodruff, Michael Stonebraker, Mark Lin, Mybrid Spalding, Alexander Aiken, Chris Olston, Michael Chu",conf/sigmod/OlstonWACELSS98
ACM Trans. Database Syst.,A case for dynamic view management,2001,"Nick Roussopoulos, Yannis Kotidis",journals/tods/KotidisR01
VLDB,Chameleon: an Extensible and Customizable Tool for Web Data Translation,2003,"Riccardo Torlone, Paolo Atzeni",conf/vldb/TorloneA03
SIGMOD Record,A Workflow-based Electronic Marketplace on the Web,1998,"Ibrahim Cingil, Nazife Dimililer, Nesime Tatbul, Ilker Durusoy, Asuman Dogac, Pinar Koksal, Sena Nural Arpinar",journals/sigmod/DogacDATKCD98
VLDB J.,Learning to match ontologies on the Semantic Web,2003,"Jayant Madhavan, Robin Dhamankar, Alon Y. Halevy, Pedro Domingos, AnHai Doan",journals/vldb/DoanMDDH03
SIGMOD Record,ANSI SQL Hierarchical Processing Can Fully Integrate Native XML,2003,Michael M. David,journals/sigmod/David03
VLDB,The ADABAS Buffer Pool Manager,1998,Harald Sch�ning,conf/vldb/Schoning98
SIGMOD Conference,Gigascope: high performance network monitoring with an SQL interface,2002,"Yuan Gao, Theodore Johnson, Charles D. Cranor, Vladislav Shkapenyuk, Oliver Spatscheck",conf/sigmod/CranorGJSS02
SIGMOD Conference,The Merge/Purge Problem for Large Databases,1995,"Salvatore J. Stolfo, Mauricio A. Hern�ndez",conf/sigmod/HernandezS95
VLDB,Query Processing in Spatial Network Databases,2003,"Nikos Mamoulis, Jun Zhang, Dimitris Papadias, Yufei Tao",conf/vldb/PapadiasZMT03
VLDB,A Nanotechnology-based Approach to Data Storage,2003,"B. Gotsmann, A. Dholakia, G. Cherubini, Walter H�berle, H. Pozidis, Michel Despont, Richard Stutz, P. B�chtold, C. Hagleitner, T. R. Albrecht, Hugo E. Rothuizen, Gerd K. Binnig, D. Jubin, A. Pantazi, M. A. Lantz, E. Eleftheriou, Urs D�rig, T. Loeliger, Peter Vettiger, D. Wiesmann, Ute Drechsler",conf/vldb/EleftheriouBCDHLPPABDDDGJHLRSVW03
VLDB,Fast High-Dimensional Data Search in Incomplete Databases,1998,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",conf/vldb/OoiGT98
VLDB J.,A template model for multidimensional inter-transactional association rules,2002,"Jeffrey Xu Yu, Hongjun Lu, Ling Feng, Jiawei Han",journals/vldb/FengYLH02
SIGMOD Conference,BOAT-Optimistic Decision Tree Construction,1999,"Wei-Yin Loh, Raghu Ramakrishnan, Venkatesh Ganti, Johannes Gehrke",conf/sigmod/GehrkeGRL99
SIGMOD Conference,Continuously adaptive continuous queries over streams,2002,"Samuel Madden, Mehul A. Shah, Vijayshankar Raman, Joseph M. Hellerstein",conf/sigmod/MaddenSHR02
SIGMOD Record,Diluting ACID,1999,"Peter Thanisch, Colin Stirling, Tim Kempster",journals/sigmod/KempsterST99
SIGMOD Record,Applying database Visualization to the World Wide Web,1996,"Alberto O. Mendelzon, Dimitra Vista, Masum Z. Hasan",journals/sigmod/HasanMV96
VLDB,DTD-Directed Publishing with Attribute Translation Grammars,2002,"Michael Benedikt, Aoying Zhou, Rajeev Rastogi, Shihui Zheng, Chee Yong Chan, Wenfei Fan",conf/vldb/BenediktCFRZZ02
VLDB,Primitives for Workload Summarization and Implications for SQL,2003,"Surajit Chaudhuri, Prasanna Ganesan, Vivek R. Narasayya",conf/vldb/ChaudhuriGN03
VLDB,Safely and Efficiently Updating References During On-line Reorganization,1998,"Betty Salzberg, Chendong Zou",conf/vldb/ZouS98
ACM Trans. Database Syst.,An Efficient Method for Checking Object-Oriented Database Schema Correctness,1998,"Michele Missikoff, Anna Formica, Hans Dietmar Gr�ger",journals/tods/FormicaGM98
VLDB,Reordering Query Execution in Tertiary Memory Databases,1996,"Michael Stonebraker, Sunita Sarawagi",conf/vldb/SarawagiS96
VLDB,How System 11 SQL Server Became Fast,1996,T. K. Rengarajan,conf/vldb/Rengarajan96
SIGMOD Record,Moving up the food chain: Supporting E-Commerce Applications on Databases,2000,Anant Jhingran,journals/sigmod/Jhingran00
SIGMOD Conference,APEX: an adaptive path index for XML data,2002,"Chin-Wan Chung, Kyuseok Shim, Jun-Ki Min",conf/sigmod/ChungMS02
VLDB J.,Index Configuration in Object-Oriented Databases,1994,Elisa Bertino,journals/vldb/Bertino94
VLDB,Continuous Nearest Neighbor Search,2002,"Dimitris Papadias, Yufei Tao, Qiongmao Shen",conf/vldb/TaoPS02
SIGMOD Record,Chair's Message,2002,M. Tamer �zsu,journals/sigmod/Ozsu02b
SIGMOD Record,Towards a Richer Web Object Model,1998,Frank Manola,journals/sigmod/Manola98
SIGMOD Conference,Homer: a Model-Based CASE Tool for Data-Intensive Web Sites,2000,"Paolo Atzeni, Paolo Merialdo, Marco Pecorone, Marco Magnante, Giansalvatore Mecca",conf/sigmod/MerialdoAMMP00
VLDB,Performance of Data-Parallel Spatial Operations,1994,"Hanan Samet, Erik G. Hoel",conf/vldb/HoelS94
SIGMOD Conference,Managing Large Systems with DB2 UDB,1998,Chris Eaton,conf/sigmod/Eaton98
SIGMOD Conference,DBCache: Middle-tier Database Caching for Highly Scalable e-Business Architectures,2003,"C. Mohan, Sailesh Krishnamurthy, Mehmet Altinel, Christof Bornh�vd, Hamid Pirahesh, Berthold Reinwald",conf/sigmod/BornhovdAKMPR03
SIGMOD Conference,"Information Translation, Mediation, and Mosaic-Based Browsing in the TSIMMIS System",1995,"Yannis Papakonstantinou, Joachim Hammer, Jennifer Widom, Jeffrey D. Ullman, Hector Garcia-Molina, Kelly Ireland",conf/sigmod/HammerGIPUW95
SIGMOD Record,Reminiscences on Influential Papers,2003,"Jun Rao, Kenneth A. Ross, Johannes Gehrke",journals/sigmod/RossGR03
SIGMOD Record,"Review of The data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by Ralph Kimball, Margy Ross. John Wiley & Sons, Inc. 2002",2003,Alexander A. Anisimov,journals/sigmod/Anisimov03
SIGMOD Conference,Adaptive Precision Setting for Cached Approximate Values,2001,"Boon Thau Loo, Jennifer Widom, Chris Olston",conf/sigmod/OlstonWL01
