id,title,starring,entityUrl,writer,editor
7861,The Derby Stallion,William R. Moses,Match16541,Kimberly Gough,
7862,Pyaar Kiya To Darna Kya,Salman Khan,Match6887,Sohail Khan,
7863,,Alexandra Paul,Match8093,Steve Tesich,
7864,One Run Elmer,Joseph Frank Keaton VI,Match8381,Glen Lambert,
7865,The Life,,Match16031,Chris Haddock,
7866,Academy Award for Best Picture,Alexander Rae Baldwin III,Match5810,Felix Chong,
7867,,Abbas Ali,D17867,,
7868,,u9673u6E2Fu751F (Chan Kong Sang),Match16800,Tong Man-Ming,
7869,,Opachee Team,D17869,Opachee Team,
7870,,Kim Spalding,Match6819,Jerome Bixby,
7871,,Rajnikanth,D17871,,
7872,Anukokunda Oka Roju,Veeramachaneni Jagapathi Chowdhury,Match6275,Chandra Sekhar Yeleti,
7873,,Jimmy Mirikitani,D17873,,
7874,One Hour with You,Roland Young,Match15239,Lothar Schmidt,
7875,The Wind That Shakes the Barley,Cillian Murphy,Match17206,Paul Laverty,
7876,Still Crazy,William Francis Nighy,Match13592,Ian La Frenais,
7877,Zombie Town,"Adam Hose
Brynn Lucas
Dennis Lemoine",D17877,Damon LeMay,
7878,The Two Mrs. Carrolls,Gladys Smith,Match21960,Thomas Job,
7879,Underdog,Patrick J. Warburton,Match22814,"Adam Rifkin
Joe Piscatella",
7880,,Reena Roy,D17880,,
7881,,"David S. Jung
Dan Crane
Zac Munro",Match18840,,
7882,Masks of Death,Anton Diffring,Match6988,Anthony Hinds,
7883,,Aarti Mehta,D17883,Partho Mukharjee,
7884,Vivacious Lady,Franklin Pangborn,Match7646,Ernest Pagano,
7885,Zombie Genocide,Andrew Harrison,Match9190,Darryl Sloan,
7886,,Amitabh Bachchan,Match8129,Shakti Samanta,
7887,Northwest Mounted Police,Frank James Cooper,Match6813,"Jesse Lasky, Jr.",
7888,,Elizabeth Berkley,Match11859,Richard Gitelson,
7889,Drifters,Shu Yan,Match6458,,
7890,,Luke Cunningham Wilson,Match14403,Owen Cunningham Wilson,
7891,The Volga Boatman,William Boyd (actor),Match18880,Lenore J. Coffee,
7892,,"Vincent Leonard Price, Jr.",Match19185,Leo Gordon/F. Amos Powell/Robert E. Kent,
7893,Notting Hill,Emma Chambers,Match17299,Richard Curtis,
7894,,"Rebecca De Mornay, Rutger Hauer, Ron Silver",Match21407,Stewart Lindh & Solomon Weingarten,
7895,The Singing Fool,Davey Lee,Match19731,C. Graham Baker,
7896,Meet the Deedles,A.J. Langer,Match20918,Jim Herzfeld,
7897,,Jamuna (actor),Match7200,Kidar Nath Sharma,
7898,Till I Come Back to You,Bryant Washburn,Match19977,Jeanie MacPherson,
7899,House of 1000 Corpses,Sidney Eddy Mosesian,Match14537,Rob Zombie,
7900,The Howling,Belinda Balaski,Match21932,Terence H. Winkless,
7901,,Naomi Hagio,Match18386,,
7902,The House I Live In,Frank Sinatra,Match9135,Albert Maltz,Philip Martin
7903,,Peter Ellstrom Deuel,Match7944,Stephen Kandel,
7904,The Moon's Our Home,Walter Andrew Brennan,Match17434,Alan Campbell,
7905,,"Rouzan Vit Mesropyan (""Vodka Lemon"")",D17905,Anahit Aghasaryan,
7906,Manhandled,Mary Leta Dorothy Slaton,Match21188,"L. S. Goldsmith (novel The Man Who Stole A Dream)
Whitman Chambers
Lewis R. Foster",
7907,The Best Man,Clifford Parker Robertson III,Match5632,Gore Vidal,
7908,Regarding Henry,Mikki Allen,Match14215,Jeffrey Jacob Abrams,
7909,Network,Dorothy Faye Dunaway,Match15262,Paddy Chayefsky,
7910,Clue,Christopher Allen Lloyd,Match8987,Jonathan Lynn,
7911,Three... Extremes,,Match7552,Lilian Lee,
7912,The Long Ships,Sidney Poitier,D17912,Frans G. Bengtsson,
7913,The Empress Dowager,Ivy Ling Po,Match8998,,
7914,A Misplaced Foot,Roscoe Arbuckle,Match9469,,
7915,Death Warrant,Cynthia Gibb,Match13313,David S. Goyer,
7916,Mascot Pictures,,Match9054,,
7917,Prozac Nation,Christina Ricci,Match16747,Larry Gross,
7918,The Iron Maiden,Alan Hale Jr.,Match16777,Vivian Cox,
7919,Born on the Fourth of July,William J. Dafoe,Match18995,Ron Kovic,
7920,Up in Flames,John Seeman,Match18397,,
7921,Grand Prix (Cannes Film Festival),Bruno Schleinstein,Match7446,Werner Stipetiu0107,
7922,u00C0 Hauteur d'homme,Bernard Landry,Match9825,Jean-Claude Labrecque,
7923,The Gift,Antonino Giovanni Ribisi,Match12451,Billy Bob Thornton,
7924,Bettie Page: Dark Angel,,Match19243,,
7925,"Lonesome Luke, Mechanic",Harold Lloyd,Match12262,,
7926,Bus 174,Sandro Rosa do Nascimento,Match18723,José Padilha,
7927,,Yusuf Khan,Match5871,,
7928,,,Match18818,Carlos Torres Ríos,
7929,,Pink Floyd,Match8156,,
7930,The Gauntlet,"Clinton Eastwood, Jr.",Match19509,Michael Butler,
7931,The Life of Jimmy Dolan,Gretchen Young,Match10741,"Bertram Millhauser 
 Beulah Marie Dix 
 David Boehm 
 Erwin S. Gelsey",
7932,,Esther Loretta Ray,Match17936,"Richard H. Landau
Robert Monroe (radio play No Blade Too Sharp)",
7933,"""Osobennosti natsionalnoy rybalki""","Aleksey Buldakov 
 Viktor Bychkov 
 Semen Strugachev 
 Andrey Krasko",Match6748,Aleksandr Rogozhkin,
7934,The Bakery,Oliver Hardy,Match11853,"Larry Semon
Norman Taurog",
7935,,Rajnikanth,D17935,,
7936,Helen of Troy,Emilia Rose Elizabeth Fox,Match19395,Ronni Kern,
7937,Golden Globe Award for Best Motion Picture - Musical or Comedy,Philip Seymour Hoffman,Match11363,Cameron Bruce Crowe,
7938,Igor,John Paul Cusack,D17938,Chris McKenna (writer),
7939,Shiva,Raghuvaran,D17939,Tanikella Bharani,
7940,,Bharath,D17940,Vikraman,
7941,,Ron White,Match8353,,
7942,,William Samuel Horneff,Match10417,Ti West,
7943,,Sivaji,D17943,"Srinivasa Reddy, Brahmam",
7944,,Henry Brazeale Walthall,Match7155,E. Phillips Oppenheim,
7945,,Rambha,D17945,,
7946,,Phil Vischer,Match8320,"Robert G. Lee,
Jim Fisher,
Jim Staahl",
7947,Always Tell Your Wife,Gertrude McCoy,Match21072,Seymour Hicks,
7948,,Sigurður Sigurjónsson,D17948,Árni Ásgeirsson,
7949,,Lam Suet,D17949,Au Kin Yee,
7950,Trucker's Woman,Doodles Weaver,Match11240,"Joseph A. Alvarez
W. Henry Smith",
7951,,Daniel Auteuil,Match15606,Francis Veber,
7952,,Rajnikanth,D17952,,
7953,L'u00C9toile de Mer,André de la Rivière,Match8368,Robert Desnos,
7954,The Lonely Passion of Judith Hearne,Robert William Hoskins,Match9011,Brian Moore (novelist),
7955,Tea and Sympathy,John Kerr,Match16595,Robert Anderson,
7956,The Wild,Patrick J. Warburton,Match11055,Ed Decter,
7957,Succubus: The Demon,"Markus Salo, Pekka Oinonen, Veera Toivanen, Maarit From, Mika Vattulainen, Kirsi Vahomu00E4ki",D17957,"Sami Haavisto, Jari Mustonen",
7958,,Johan Ulveson,Match9661,Björn Gustafson,
7959,Spectre,Byron Elsworth Barr,Match17648,Samuel A. Peeples,
7960,,Lana Clarkson,Match2291,Howard R. Cohen,
7961,,Antonio Salvatore Iadanza,D17961,Thomas Farone,
7962,,Arturo Toscanini,Match11824,,
7963,,William Henry Pratt,Match16988,Howard Snyder,
7964,,Francisco Jambrina,Match9805,Luis Alcoriza,
7965,My Hero 2,Dicky Cheung,Match13484,,
7966,Eddie Murphy Raw,Eddie Murphy,Match14798,Eddie Murphy,
7967,Body Jumper,"Chompunuch Piyapanee
Danai Smuthkochorn

Angela Grant",D17967,Pakphum Wonjinda,
7968,Silent Night,Michael Elkin,Match14354,Roger Aylward,
7969,,James Scott Bumgarner,Match13856,Marvin H. Albert,
7970,,Ryszarda Hanin,D17970,Andrzej Mularczyk,
7971,High Spirits,John Nee,Match7780,Neil Patrick Jordan,
7972,The Butcher's Wife,Demetria Gene Guynes,Match2591,Marjorie Schwartz,
7973,,Armand Anthony Assante Jr.,Match14701,Larry Cohen,
7974,Home Alone,Catherine Anne O'Hara,Match12644,John Hughes (film director),
7975,Friends,Henry DeWitt Carey II,Match15937,D. W. Griffith,
7976,,Badruddin Jamaluddin Kazi,Match11395,Abrar Alvi,
7977,Lanai-Loa,Christopher Inadomi Tashima,Match16826,John P. Marsh,
7978,,Zach Galligan,D17978,Jonathan Blitstein,Jonathan Blitstein
7979,,Joseph Angelo (Joe) D'allesandro,Match7077,,
7980,,Pola Alonso,D17980,Belisario García Villar,
7981,,Ajay Devgan,Match11938,Anees Bazmee,
7982,,Joely Kim Richardson,D17982,Stephen Poliakoff,
7983,The Seafarers,Don Hollenbeck,Match17313,Will Chasen,
7984,The Death Disc: A Story of the Cromwellian Period,,Match20,Mark Twain,
7985,,Tula Belle,Match2287,Maurice Maeterlinck,
7986,Les Triplettes de Belleville,Lina Boudreault,Match16039,Sylvain Chomet,
7987,What Dreams May Come,Cuba Gooding Jr,Match16429,Richard Matheson,
7988,Slam Dunk Ernest,Cylk Cozart,D17988,John R. Cherry III,
7989,,Govinda (actor),Match16472,,
7990,,Simran,D17990,,
7991,,Steven Koehler,D17991,Graham John Killeen,
7992,Bombay,Sonali Bendre,Match3999,Mani Ratnam,
7993,Double Whammy,Steven Vincent Buscemi,Match7381,Tom DiCillo,
7994,The Telegraph Trail,Marion Robert Morrison,Match18221,Kurt Kempler,
7995,"Peace, Propaganda & the Promised Land",Hanan Ashrawi,Match13588,Sut Jhally,
7996,The Funeral,Nobuko Miyamoto,Match5726,Yoshihiro Ikeuchi,
7997,O Trem da Morte,,Match15776,José de Picchia,
7998,All of Me,Ernest Frederick McIntyre Bickel,Match14642,Thomas Mitchell (actor),
7999,Keeping Up with the Steins,Jami Gertz,Match1802,Mark Zakarin,
8000,,Eleanor Jean Parker,Match5226,Norman Hudis,
8001,Paid to Dance,Jacqueline Wells,Match6214,Leslie T. White,
8002,Robots,Drew Carey,Match14696,Babaloo Mandel,
8003,,Odile Michel,Match8136,Alain Le Henry,
8004,,Eduardo Blanco,Match17073,Santiago Carlos Oves,
8005,,Shukry Sarhan,Match14584,Youssef Gohar,
8006,Adulthood,Noel Clarke,D18006,Noel Clarke,
8007,Rojo amanecer,María Rojo,Match3091,,
8008,Hidden Agenda,Bradford Claude Dourif,Match8261,Jim Allen,
8009,,"Robert Mario De Niro, Jr.",Match14590,Mardik Martin,
8010,,,Match10292,Tedd Pierce,
8011,Fletch,Joe Don Baker,Match6928,Andrew Bergman,
8012,21,Laurence John Fishburne III,D18012,Ben Mezrich,
8013,,Sreenivasan,D18013,Sreenivasan,
8014,,Marion Cotillard,Match12909,Isabelle Sobelman,
8015,Don - The Chase Begins Again,Ishaa Koppikar,Match9949,Javed Akhtar,
8016,Palme d'Or,David Wood (actor),Match4044,"David Sherwin
John Howlett (screenplay)",
8017,,Clare Kelly,Match4023,Brian Clemens,
8018,Fortune's Mask,Oliver Hardy,Match7653,C. Graham Baker,
8019,Sherlock Holmes und das Halsband des Todes,Christopher Frank Carandini Lee,Match12289,Curt Siodmak,
8020,North by Northwest,Archibald Alec Leach,Match1999,Ernest Lehman,
8021,,Dharam Pishorimal Anand,Match6129,Nasir Hussain,
8022,Eight Below,Paul William Walker IV,Match15355,David DiGillio,
8023,Jury Prize (Cannes Film Festival),Marcel Mouloudji,Match3611,,
8024,,Julie Frances Christie,Match13735,Ruth Prawer Jhabvala,
8025,The Aviator,Rosanna Lauren Arquette,Match4363,Marc Norman,
8026,,Walter Houghston,Match15194,Preston Sturges,
8027,,Prabhu Deva,D18027,,
8028,,Ke Hunh Quan,Match4289,Delon Tanners,
8029,Of Mice and Men,Charles Bickford,Match9526,"John Steinbeck (novel)
Eugene Solow",
8030,The Work and The Glory: American Zion,Eric Johnson,D18030,Gerald N. Lund,
8031,The Family Jewels,Sebastian Cabot (actor),Match5039,Bill Richmond (writer),
8032,,Gouthami,D18032,,
8033,Terminal Entry,Patrick Labyorteaux,Match7935,Mark Sobel,
8034,Days of Wine and Roses,Jacob Joachim Klugman,Match3815,JP Miller,
8035,Columbia Pictures,,D18035,,
8036,The Birthday Party,Sydney Tafler,Match1264,Harold Pinter,
8037,,Jackie Shroff,Match1082,Kamlesh Pandey,
8038,,,Match2592,Banker White,
8039,Corridors of Blood,Betta St. John,Match5475,Jean Scott Rogers,
8040,,Christopher Eugene O'Donnell,Match10383,John Grisham,
8041,,Emanuel Goldenberg,Match8694,John Marcellus Huston,
8042,,John Paul Cusack,Match12105,Stephen King,
8043,A Cantor's Tale,Jacob Mendelson,Match8652,,
8044,The Magic Flute,Irma Urrila,Match4611,Emanuel Schikaneder,
8045,Leatherface: Texas Chainsaw Massacre III,Viggo Peter Mortensen Jr.,Match2747,David J. Schow,
8046,,,Match7844,Ernst Johannsen,
8047,,Ivan Sergei,Match13514,Garrett Frawley,
8048,Boogeyman 2,Evelyn Renu00E9e O'Connor,D18048,Brian Seive,
8049,The Replacement Killers,Mira Katherine Sorvino,Match13354,Ken Sanzel,
8050,,Divya Spandana,D18050,,
8051,The Chief Cook,Oliver Hardy,D18051,Rex Taylor,
8052,Saving Star Wars,Lee Ann Millen,Match4902,Gary Wood,
8053,Twixt Love and Fire,Roscoe Arbuckle,Match8511,,
8054,Trio,Eric Alexander Rennie,Match5378,W. Somerset Maugham,
8055,Howling IV: the Original Nightmare,"Romy Windsor,
Michael T. Weiss,
Antony Hamilton,
Susanne Severeid",Match80,Clive Turner,
8056,,Victoria Beckham,D18056,Thomas Cruise Mapother IV,
8057,One Hundred and One Dalmatians,Betty Lou Gerson,Match4094,Dodie Smith,
8058,Jury Prize (Cannes Film Festival),,D18058,,
8059,La Grande Speranza,Renato Baldini,Match6809,Oreste Biancoli,
8060,Dena Paona,Durgadas Bannerjee,Match3187,,
8061,,J. Andrew Keitch,Match3212,Marc Moody,
8062,Poison Ivy,Drew Blyth Barrymore,Match2369,Melissa Goddard,
8063,Kilukkam,Mohanlal Viswanathan Nair,Match11549,Venu Nagavalli,
8064,Jury Prize (Cannes Film Festival),Jean-Luc Bideau,Match10260,Michel Viala,
8065,,Chick Chandler,Match8052,"Orville H. Hampton, Richard H. Landau, Carol Young (story)",
8066,The Aristocats,Gary Dubin,Match17670,Eric Cleworth,
8067,Cabin in the Sky,Duke Ellington,Match13834,Marc Connelly,
8068,Hot Rods to Hell,Jeanne Elizabeth Crain,Match14093,Robert E. Kent,
8069,,,Match9785,Vladimir Golovanov,
8070,,Vera Fogwill,Match12391,Fernando Du00EDaz,
8071,Bamboozled,Mos Def,Match477,Shelton Jackson Lee,
8072,She's So Lovely,Sean Justin Penn,Match13616,John Nicholas Cassavetes,
8073,Elektra,Goran Viu0161njiu0107,Match1579,Zak Penn,
8074,Ken Park,James Bullard,Match4917,Harmony Korine,
8075,Black and White,Scott Caan,Match4668,James Toback,
8076,Shopping,Sadie Liza Vaughan,Match10423,Paul W. S. Anderson,
8077,,Catherine Louise Sagal,D18077,Eric Horsted,
8078,Baby Brother,Oliver Hardy,Match4413,H. M. Walker,
8079,,William Dickson,Match19794,,
8080,,,Match19381,Claudio Fragasso,
8081,28 Days Later,Brendan Gleeson,Match18744,Alex Garland,
8082,The Krays,Gary Kemp,Match3330,Philip Ridley,
8083,In the Shadow of the Moon,,D18083,,
8084,,José Soriano,Match12393,Carlos Somigliana,
8085,,Laurence Kerr Olivier,Match19241,Constance Garnett,
8086,,"Rajnikanth,Radha,Sujatha,Jai Shankar,Y.G. Mahendran,Vijay Kumar,Silk Smitha",D18086,,
8087,,Erin Grey Van Oosbree,D18087,Adam Scheinman,
8088,Guns of the Magnificent Seven,George Kennedy,Match10923,Herman Hoffman,
8089,They Made Me a Fugitive,Trevor Howard,Match5995,Noel Langley,
8090,We're Not Dressing,Alfred Reginald Jones,Match2116,,
8091,,Margaret Avery,Match3851,Diane English,
8092,,Alice Davenport,Match19042,,
8093,,Brian McHugh,Match8916,Victor Salva,
8094,The Black Shield of Falworth,Torin Thatcher,Match1667,Oscar Brodney,
8095,His Desperate Deed,Henry DeWitt Carey II,Match1877,,
8096,Irreconcilable Differences,Shelley Lee Long,Match11,Nancy Jane Meyers,
8097,Letter to Brezhnev,Alfred Molina,Match8663,Frank Clarke,
8098,,Murali,D18098,,
8099,,Randhir Kapoor,Match6192,,
8100,Bungles' Rainy Day,Marcel Perez,Match5026,,
8101,Stanley and Iris,"Robert Mario De Niro, Jr.",Match3789,Harriet Frank Jr.,
8102,The Sun Also Rises,Melchor Gaston Ferrer,Match21010,Ernest Hemingway,
8103,Serial (film),"Patrick H. O'Malley, Jr.",Match20194,Wallace MacDonald,
8104,,Vadivelu,D18104,,
8105,,Cat Farish,D18105,,
8106,,,D18106,Matt Frame,
8107,Unaccompanied Minors,Tyler James Williams,Match20605,Mya Stark,
8108,"Rita, Sue and Bob Too",Lesley Sharp,Match18222,Andrea Dunbar,
8109,Nicholas Nickleby,Derek Bond,Match6919,Charles Dickens,
8110,Two-Gun Gussie,Harold Lloyd,Match7147,H.M. Walker,
8111,,Maury Chaykin,D18111,Guillermo Arriaga,
8112,I Not Stupid Too,Shawn Lee,Match6673,Jack Neo,
8113,Onibaba,Jitsuko Yoshimura,Match1768,Kaneto Shindo,
8114,,Shido Nakamura,Match18792,Yoshikazu Okada,
8115,City on Fire,Roy Cheung,Match18889,Ringo Lam,
8116,Academy Award for Documentary Feature,,D18116,,
8117,The Matrix Revisited,Keanu Charles Reeves,Match10001,n/a,
8118,Starship Troopers: Marauder,Jolene Blalock,D18118,Edward Neumeier,
8119,,Gary Wilson (musician),Match17,,
8120,Charandas Chor,Smita Patil,Match430,Vijaydan Detha,
8121,,Fendi van Brederode,D18121,Laurence Lamers,
8122,My Stars,Johnny Arthur,Match5331,,
8123,Tirant lo Blanc,Casper Zafer,Match549,Vicente Aranda Ezguerra,
8124,,Jonathan Haze,Match810,Andrew J. Fenady,
8125,Merlinu2019s Shop of Mystical Wonders,John Terrence,Match4903,Kenneth J. Berton,
8126,,Nicholas King Nolte,Match22436,Clayton Frohman,
8127,,,Match1860,Yon Motskin,
8128,,Bore Lee,Match3359,,
8129,Jane Eyre,George Orson Welles,Match1917,Henry Koster,
8130,Rasputin: Dark Servant of Destiny,Greta Scacchi,Match18098,Peter Pruce,
8131,Isle of Flowers,Ju00FAlia Barth,Match4834,Jorge Furtado,
8132,Cruel Jaws,David Luther,Match7073,Robert Feen,
8133,The Family Stone,Brian J. White,Match10169,Thomas Bezucha,
8134,,Gianni Garko,D18134,Werner Hauff,
8135,,Violet Mersereau,Match10181,,
8136,"Play It Again, Sam",Allen Stewart Ku00F6nigsberg,Match18820,Woody Allen,
8137,"Lust, Caution",Tou Chung-Hua,D18137,Hui-Ling Wang,
8138,,Matt Frewer,Match10251,Eric Blakeney,
8139,While You Were Sleeping,Bill Pullman,Match8684,Fredric LeBow,
8140,L' Uomo dalla pelle dura,Ermes Effron Borgnino,Match22414,"Lucio Battistrada
Adriano Bolzoni
Armando Crispin
Don Carlos Dunaway",
8141,"Next Stop, Greenwich Village",Shirley Schrift,Match5187,Paul Mazursky,
8142,Lillian Gish in a Liberty Loan Appeal,Lillian Diana Gish,D18142,D. W. Griffith,
8143,,Premjit,Match8490,"Niranjan Kamatkar
Sridhar Rangayan",
8144,A Mighty Wind,Michael McKean,Match2666,Eugene Levy,
8145,,Ulf Palme,Match21110,Hans Gu00F6sta Ekman,
8146,,Joshua Ryan Hutcherson,D18146,Darren Shan,
8147,De Tweeling,,Match20957,Tessa de Loo,
8148,Montenegro,Erland Josephson,Match8496,Branko Vucicevic,
8149,The Lonely Lady,Pia Zadora,Match18453,Harold Robbins,
8150,,Israel Iskowitz,D18150,,
8151,The Harvey Girls,Angela Brigid Lansbury,Match4703,Samuel Hopkins Adams,
8152,Too Much Sex,Janet Kidder,Match11269,Andrew Ainsworth,
8153,McLintock!,Marion Robert Morrison,Match21763,James Edward Grant,
8154,Bent,Lothaire Bluteau,Match5424,Martin Sherman,
8155,,Wadeck Stanczack,Match19362,Andru00E9 Tu00E9chinu00E9,Martine Giordano
8156,Keeper of the Flame,Margaret Wycherly,D18156,Donald Ogden Stewart,
8157,Eu Adam,,Match21021,Mircea Eliade,
8158,The Great Waltz,Miliza Korjus,Match12395,Gottfried Reinhardt,
8159,Collateral,Eric Marlon Bishop,Match19427,Frank Darabont,
8160,The Naked City,Dorothy Hart,Match19026,"Story:
Malvin Wald
Screenplay:
Albert Maltz
Malvin Wald",
8161,Lola,Susan George (actress),Match3084,Norman Thaddeus Vane,
8162,Superman III,Richard Pryor,Match13601,David Newman,
8163,StrangeInterlude,William Clark Gable,Match17415,Eugene O'Neill,
8164,The Devil Makes Three,Richard Egan (actor),Match19423,Jerry Davis,
8165,,,Match21708,Christiane Cegavske,
8166,,Geetha,Match2140,A. K. Lohithadas,
8167,Down in the Delta,Mary Alice Smith,Match21224,Myron Goble,
8168,Snowglobe,Luciana Carro,D18168,Garrett Frawley,
8169,,"Samir Peter
Sean McAllister",Match12995,,
8170,The Reckoning,Paul Bettany,Match4647,Barry Unsworth,
8171,The Wrong Man,Vera June Ralston,Match22461,Angus MacPhail,
8172,,Dean Francis,Match18585,Leigh Whannell,
8173,,Isaac Liev Schreiber,D18173,Kevin Williamson,
8174,,Prem Chopra,Match22357,,
8175,,Cynthia Jane Williams,Match13139,Jim Strain,
8176,Riding High,Coleen Gray,Match12238,Robert Riskin,
8177,The Passing of Hell's Crown,Henry DeWitt Carey II,Match1044,W.B. Pearson,
8178,,Innokenty Smoktunovsky,D18178,Boris Pasternak,
8179,,Pran,Match3912,Vasant Kanetkar,
8180,The Air I Breathe,Kevin Norwood Bacon,D18180,Bob DeRosa,
8181,,Brooke Paller,Match2541,Frank Sciurba,
8182,,Sabu Dastagir,Match17333,Ruben Sax,
8183,,Hema Malini,Match3730,Kamal Amrohi,
8184,Porte aperte,Renato Carpentieri,Match18992,Alessandro Sermoneta,
8185,Nothing But Trouble,Harold Lloyd,Match2668,,
8186,Country Life,Greta Scacchi,Match12982,,
8187,,,D18187,Jaume Balagueró,
8188,Lost Highway,Paul Balthazar Getty,Match2386,Barry Gifford,
8189,,Mischa Anne Marsden Barton,Match13903,Naomi Wallace,
8190,The Heroic Trio,Maggie Cheung,Match13636,Susanne Chan,
8191,The Southerner,Zachary Scott,Match20388,Hugo Butler,
8192,Ma 6-T va crack-er,Arco Descat C.,Match14425,Arco Descat C.,
8193,,Jacob Witkin,D18193,Craig J. Nevius,
8194,Rat Race,Brody Smith,Match21345,Andy Breckman,
8195,,John van Eyssen,Match1888,Paul Tabori,
8196,u010Cetverored,Ivan Marevich,Match2851,Ivan Aralica,
8197,,The Rolling Stones,Match18080,,
8198,Dangerous Lies,David Powell,Match13441,E. Phillips Oppenheim,
8199,,Mary Leta Dorothy Slaton,Match1981,"Wilkie C. Mahoney
Harry Tugend",
8200,,Elizabeth Jean Peters,Match11942,Steve Fisher,
8201,Oliver the Eighth,Oliver Hardy,Match18566,,
8202,,Krishna Bose,Match18917,Satyajit Ray,
8203,Luke's Double,Harold Lloyd,Match13073,,
8204,"Silent Night, Deadly Night Part 2",Brian Michael Henley,Match11499,Paul Caimi,
8205,,Ruma Guha Thakurta,Match21528,Abrar Alvi,
8206,,Arthur Lowe,Match13782,George Axelrod,
8207,,,Match20029,Abbas Kiarostami,
8208,The Hard Ride,Sherry Bain,Match15145,Burt Topper,
8209,Germania  Anno Zero,"Edmund Moeschke,
Ernst Pittschau,
Ingetraud Hinze,
Franz-Otto Kru00FCger,
Erich Gu00FChne",Match468,Sergio Amidei,
8210,,Freddie Bartholomew,Match14915,Rudyard Kipling,
8211,,Mercedes Morán,Match599,Emiliano Torres,
8212,,Arjun (actor),D18212,Suraj,
8213,Legion of Fire: Killer Ants!,Eric Lutes,Match2837,Wink Roberts,
8214,,Melissa Renée Martin,Match18669,"Roger Kristian Jones,
 S. Lee Taylor",
8215,,"Maya Deren
Alexander Hammid",Match18963,Maya Deren,
8216,Columbia Pictures,Johnny Duncan,Match5533,Robert Kahn,
8217,Just like Heaven,Mark Alan Ruffalo,Match17019,Leslie Dixon,
8218,,Robert John Wagner,Match690,Rob Cohen,
8219,Bathing Beauty,Richard Bernard Skelton,Match20608,Allen Boretz,
8220,The Nearsighted School Teacher,Augusta Selmer,D18220,,
8221,THX 1138,Donald Henry Pleasence,Match20105,Walter Scott Murch,
8222,Convoy,Alice MacGraw,Match12249,Bill L. Norton,
8223,,Eddie Izzard,D18223,,
8224,,Dick Hein de Lint,Match19351,Jim Davies,
8225,,Stephen Andrew Baldwin,Match14157,Monte Merrick,
8226,The Reptile,Noel Willman,Match20241,Anthony Hinds,
8227,Life or Something Like It,Angelina Jolie Voight,Match4759,"John Scott Shepherd
Dana Stevens",
8228,,Keith Morris,Match13907,,
8229,The Hunting of the President,,Match1958,Joe Conason,
8230,Electric Dragon 80.000 V,Masatoshi Nagase,Match15259,Sogo Ishii,
8231,,Amrish Lal Puri,Match5277,"Vijay Deveshwar, Shyam Gupta(Dialogue)",
8232,Deutschland. Ein Sommermu00E4rchen,German national football team,Match20280,Su00F6nke Wortmann,
8233,Faces,Seymour Cassel,Match11416,John Nicholas Cassavetes,
8234,,Brennan Elliott,Match14759,Stephanie Pena-Sy,
8235,Name of the Rose,Shaun Benson,Match17304,Peter Campbell,
8236,,Douglas Li (u674Eu5A01u6A02),D18236,Lui Koon Nam,
8237,,Iain Glen,Match20412,Bill Beech,
8238,,B. J. Ward (actress),Match1782,Lance Falk,
8239,,,Match4083,Abbas Kiarostami,
8240,Curtin,Bille Brown,D18240,Alison Nisselle,
8241,The Handmaid's Tale,Dorothy Faye Dunaway,Match21260,Harold Pinter,
8242,Dream Machine,Evan Richards,D18242,Eric Hendershot,
8243,"Bride sur le cou, La",Claude Brasseur,Match18730,Roger Vadim,
8244,,Tito Lusiardo,Match3607,Luis Bayon Herrera,
8245,In Search of Santa,Hilary Duff,Match12302,Michael Aschner,
8246,Destroyer,Anthony Perkins,Match22292,Mark W. Rosenbaum,
8247,,Simon Norrthon,Match19703,Niklas Rådström,
8248,Who's Your Caddy?,Terry Alan Crews,D18248,"Don Michael Paul
Bradley Allenstein
Robert Henny",
8249,Sweet Charity,John McMartin,Match15252,Neil Simon,
8250,To a Tee,Matt Riddlehoover,D18250,Matt Riddlehoover,
8251,,,Match3444,Dan Bigras,
8252,,Ruth Carol Hussey,Match2919,"Endre Bohem (story) and Dorothy Yost (story)
David Hertz (screenplay) and William Ludwig (screenplay)",
8253,,u0E01u0E23u0E35u0E1Eu0E07u0E28u0E4C u0E40u0E17u0E35u0E22u0E21u0E40u0E28u0E27u0E04  Kripong Tiamswate,Match2953,"Desmond Sim
Ekachai Uekrongtham",
8254,"Tom, Dick, and Harry",,Match8100,Deepak Tijori,
8255,Matilda,Mara Elizabeth Wilson,Match15877,Roald Dahl,
8256,,Lois Mae Green,Match5565,Maxwell Shane,
8257,Mr. Saturday Night,Ron Silver,Match21413,William Jacob Crystal,
8258,"Lonesome Luke, Circus King",Harold Lloyd,Match16082,,
8259,,,Match19806,Ed Bowes,
8260,,Kay Walsh,Match20052,Eleanor Stackhouse Atkinson,
8261,Teacher's Pet,David Ogden Stiers,Match6362,Cherie Steinkellner,
8262,,Madhu Raghunath,Match5379,S. Shankar,
8263,Torrent,Ricardo Cortez,Match18107,Vicente Blasco Ibáñez,
8264,,Moritz Bleibtreu,Match12403,"Mario Giordano,
Don Bohlinger,
Christoper Darnstadt",
8265,Hellbent,Matt Phillips,Match3295,Paul Etheredge-Ouzts,
8266,White Chicks,"Shawn Wayans
Marlon Wayans",Match15678,"Keenen Ivory Wayans
Shawn Wayans
Marlon Wayans",
8267,,Carolyn Sue Jones,Match11539,Dalton Trumbo,
