authors,venue,title,year,entityUrl
"Edward Y. Chang, Hector Garcia-Molina",VLDB,Effective Memory Use in a Media Server,1997,conf/vldb/ChangG97
"Gale Martin, Ray Shea, Tomasz Ksiezyk, Roberto J. Bayardo Jr., Marian H. Nodine, William Bohrer, Vipul Kashyap, C. Unnikrishnan, Richard S. Brice, Mosfeq Rashid, Amy Unruh, Abdelsalam Helal, Andrzej Cichocki, Marek Rusinkiewicz, Darrell Woelk, Jerry Fowler",SIGMOD Conference,InfoSleuth: Semantic Integration of Information in Open and Dynamic Environments (Experience Paper),1997,conf/sigmod/BohrerBBCFHKKMNRRSUUW97
Shore Team,SIGMOD Conference,SHORE: Combining the Best Features of OODBMS and File Systems,1995,conf/sigmod/Team95b
"Bharat K. Bhargava, Evaggelia Pitoura",SIGMOD Record,A Framework for Providing Consistent and Recoverable Agent-Based Access to Heterogeneous in Mobile Databases,1995,journals/sigmod/PitouraB95
"Peter J. Haas, Lynne Stokes, S. Seshadri, Jeffrey F. Naughton",VLDB,Sampling-Based Estimation of the Number of Distinct Values of an Attribute,1995,conf/vldb/HaasNSS95
Michael J. Franklin,SIGMOD Record,Editor's Notes,1998,journals/sigmod/Franklin98a
"Wes Cowley, Dimitris Plexousakis",VLDB,Temporal Integrity Constraints with Indeterminacy,2000,conf/vldb/CowleyP00
"Alin Deutsch, J�rgen Zimmermann, M. Higa, Alejandro P. Buchmann",SIGMOD Conference,The REACH Active OODBMS,1995,conf/sigmod/BuchmannDZH95
"D. Butler, Boris Klots, Roger Bamford, N. MacNaughton",VLDB,Architecture of Oracle Parallel Server,1998,conf/vldb/BamfordBKM98
Narendra Mohan,VLDB,DWMS: Data Warehouse Management System,1996,conf/vldb/Mohan96
"Fernando Berzal Galiano, Nicol�s Mar�n",SIGMOD Record,"Review of Data on the Web: from relational to semistructured data and XML by Serge Abiteboul, Peter Buneman, and Dan Suciu. Morgan Kaufmann 1999",2003,journals/sigmod/GalianoM03
"Luis Gravano, Panagiotis G. Ipeirotis",VLDB,Distributed Search over the Hidden Web: Hierarchical Database Sampling and Selection,2002,conf/vldb/IpeirotisG02
"Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung, Kam-yiu Lam",SIGMOD Conference,RETINA: A REal-time TraffIc NAvigation System,2001,conf/sigmod/LamCKNH01
"Rajeev Motwani, Sergey Brin, Craig Silverstein",SIGMOD Conference,Beyond Market Baskets: Generalizing Association Rules to Correlations,1997,conf/sigmod/BrinMS97
"Ugo Capuozzo, Elena Ferrari, Vijayalakshmi Atluri, Elisa Bertino, Nabil R. Adam",VLDB J.,An authorization system for digital libraries,2002,journals/vldb/FerrariAABC02
"Goetz Graefe, Diane L. Davison",VLDB,Memory-Contention Responsive Hash Joins,1994,conf/vldb/DavisonG94
Ya-Hui Chang,SIGMOD Record,A Graphical Query Language for Mobile Information Systems,2003,journals/sigmod/Chang03
"Elisa Bertino, Elena Ferrari, Silvana Castano",SIGMOD Conference,Securing XML Documents: the Author-X Project Demonstration,2001,conf/sigmod/BertinoCF01
"Gio Wiederhold, Erhard Rahm, Matthias Jarke, Laura M. Haas, Philip A. Bernstein",VLDB,Panel: Is Generic Metadata Management Feasible?,2000,conf/vldb/BernsteinHJRW00
"Prabhakar Raghavan, Byron Dom, Rakesh Agrawal, Soumen Chakrabarti",VLDB J.,"Scalable Feature Selection, Classification and Signature Generation for Organizing Large Text Databases into Hierarchical Topic Taxonomies",1998,journals/vldb/ChakrabartiDAR98
"David J. DeWitt, Navin Kabra",SIGMOD Conference,Efficient Mid-Query Re-Optimization of Sub-Optimal Query Execution Plans,1998,conf/sigmod/KabraD98
"A. Prasad Sistla, Isabel F. Cruz, Ashfaq A. Khokhar, Clement T. Yu, Bing Liu, Ouri Wolfson",SIGMOD Record,Research Activities in Database Management and Information Retrieval at the University of Illinois at Chicago,2002,journals/sigmod/CruzKLSWY02
"Wei Wang, Philip S. Yu, Jiong Yang, Jiawei Han",SIGMOD Conference,Mining long sequential patterns in a noisy environment,2002,conf/sigmod/YangWYH02
"Laks V. S. Lakshmanan, H. V. Jagadish, Divesh Srivastava",VLDB,What can Hierarchies do for Data Warehouses?,1999,conf/vldb/JagadishLS99
"S. Seshadri, Rajeev Rastogi, Abraham Silberschatz, Philip Bohannon, Dennis W. Leinbaugh, S. Sudarshan",VLDB,Logical and Physical Versioning in Main Memory Databases,1997,conf/vldb/BohannonLRSSS97
"David B. Lomet, Gerhard Weikum",SIGMOD Conference,Efficient and Transparent Application Recovery in Client-Server Information Systems,1998,conf/sigmod/LometW98
"Luis Gravano, Surajit Chaudhuri",SIGMOD Conference,Optimizing Queries over Multimedia Repositories,1996,conf/sigmod/ChaudhuriG96
"H. Olivie, R. Maelbrancke",SIGMOD Record,Optimizing Jan Jannink's Implementation of B+-tree Deletion,1995,journals/sigmod/MaelbranckeO95
"Kevin Smith, Athman Bouguettaya, Mourad Ouzzani, James Beard, Lily Hendra, Boualem Benatallah",SIGMOD Conference,"World Wide Database - Integrating the Web, CORBA, and Databases",1999,conf/sigmod/BouguettayaBH99
"Hua-Gang Li, Sin Yeung Lee, Tok Wang Ling",VLDB,Hierarchical Compact Cube for Range-Max Queries,2000,conf/vldb/LingLL00
"Narayanan Shivakumar, Junghoo Cho, Hector Garcia-Molina",SIGMOD Conference,Finding Replicated Web Collections,2000,conf/sigmod/ChoSG00
"Jennifer Widom, Sudarshan S. Chawathe, Hector Garcia-Molina, Anand Rajaraman",SIGMOD Conference,Change Detection in Hierarchically Structured Information,1996,conf/sigmod/ChawatheRGW96
"Kirby Zhang, Isabel F. Cruz, Michael Averbuch, Wendy T. Lucas, Melissa Radzyminski",SIGMOD Conference,Delaunay: A Database Visualization System,1997,conf/sigmod/CruzALRZ97
"Alexei P. Stolboushkin, Michael A. Taitslin",ACM Trans. Database Syst.,Safe Stratified Datalog with Integer Order Does Not Have Syntax,1998,journals/tods/StolboushkinT98
Nam Huyn,SIGMOD Record,Data Analysis and Mining in the Life Sciences,2001,journals/sigmod/Huyn01
Michael J. Franklin,SIGMOD Record,Editor's Notes,1998,journals/sigmod/Franklin98b
"Omar Boucelma, Zo� Lacroix",SIGMOD Record,Report on the First International Workshop an Efficient Web-based Information Systems,2003,journals/sigmod/LacroixB03
Peter Baumann,VLDB J.,Management of Multidimensional Discrete Data,1994,journals/vldb/Baumann94
Jan Van den Bussche,SIGMOD Record,Constraint databases: A tutorial introduction,2000,journals/sigmod/Bussche00
?,SIGMOD Record,Calls for Papers / Announcements,1994,journals/sigmod/X94b
Karl Aberer,SIGMOD Record,"Report on the First International Conference on Ontologies, Databases and Applications of Semantics",2003,journals/sigmod/Aberer03a
Jeffrey F. Naughton,SIGMOD Record,SIGMOD'2000 Program Chair's Message,2000,journals/sigmod/Naughton00
?,SIGMOD Conference,"Proceedings of the 2003 ACM SIGMOD International Conference on Management of Data, San Diego, California, USA, June 9-12, 2003",2003,conf/sigmod/2003
"Shashi K. Gadia, Christian S. Jensen, Patrick J. Hayes, Ramez Elmasri, Sushil Jajodia, James Clifford",SIGMOD Record,A Consensus Glossary of Temporal Database Concepts,1994,journals/sigmod/JensenCEGHJ94
"Ning Jing, Yun-Wu Huang, Elke A. Rundensteiner",VLDB,Spatial Joins Using R-trees: Breadth-First Traversal with Global Optimizations,1997,conf/vldb/HuangJR97
Motomichi Toyama,SIGMOD Conference,SuperSQL: An Extended SQL for Database Publishing and Presentation,1998,conf/sigmod/Toyama98
"George V. Moustakides, Vassilios S. Verykios, Mohamed G. Elfeky",VLDB J.,A Bayesian decision model for cost optimal record matching,2003,journals/vldb/VerykiosME03
"Brajesh Goyal, S. Seshadri, V. Srinivasan, Jayant R. Haritsa",VLDB,Index Concurrency Control in Firm Real-Time Database Systems,1995,conf/vldb/GoyalHSS95
"Richard T. Snodgrass, Christian S. Jensen, Michael H. B�hlen",ACM Trans. Database Syst.,Temporal statement modifiers,2000,journals/tods/BohlenJS00
Eric N. Hanson,SIGMOD Record,Statement from the Treasurer,1999,journals/sigmod/Hanson99
"Per-�ke Larson, Jonathan Goldstein",SIGMOD Conference,"Optimizing Queries Using Materialized Views: A practical, scalable solution",2001,conf/sigmod/GoldsteinL01
"Yannis Papakonstantinou, Richard Marciano, Chaitanya K. Baru, Pavel Velikhov, Vincent Chu, Amarnath Gupta, Bertram Lud�scher",SIGMOD Conference,XML-Based Information Mediation with MIX,1999,conf/sigmod/BaruGLMPVC99
Eamonn J. Keogh,VLDB,Exact Indexing of Dynamic Time Warping,2002,conf/vldb/Keogh02
"K. Bernhard Schiefer, Karen Brannon, Guy M. Lohman, Gene Fuh, Jim Kleewein",VLDB,IBM's DB2 Universal Database demonstrations at VLDB'98,1998,conf/vldb/SchieferKBLF98
Christian B�hm,ACM Trans. Database Syst.,A cost model for query processing in high dimensional data spaces,2000,journals/tods/Bohm00
Gonzalo Navarro,VLDB J.,Searching in metric spaces by spatial approximation,2002,journals/vldb/Navarro02
"Brian Babcock, Shivnath Babu, Rajeev Motwani, Mayur Datar",SIGMOD Conference,Chain : Operator Scheduling for Memory Minimization in Data Stream Systems,2003,conf/sigmod/BabcockBDM03
"Amit P. Sheth, Vipul Kashyap, Satish Thatte, Leon A. Shklar",SIGMOD Conference,InfoHarness: A System for Search and Retrieval of Heterogeneous Information,1995,conf/sigmod/ShklarSKT95
"Henry F. Korth, Jerry Baulier, Abraham Silberschatz, Stephen Blott",VLDB,A Database System for Real-Time Event Aggregation in Telecommunication,1998,conf/vldb/BaulierBKS98
Alon Y. Halevy,VLDB J.,Guest Editorial,2002,journals/vldb/Halevy02
"Hector Garcia-Molina, Patricia G. Selinger, Tomasz Imielinski, David Maier, Jeffrey D. Ullman, Richard T. Snodgrass",SIGMOD Record,Reminiscences on Influential Papers,1998,journals/sigmod/SnodgrassGIMSU98
"Matthias Jarke, Dirk Lehmann, Gunter Michalk, Guido Blees, Stefan Striel, Christoph Quix",SIGMOD Conference,Improving OLTP Data Quality Using Data Warehouse Mechanisms,1999,conf/sigmod/JarkeQBLMS99
"Uwe R�hm, Klemens B�hm, Hans-J�rg Schek, Heiko Schuldt",VLDB,FAS - A Freshness-Sensitive Coordination Middleware for a Cluster of OLAP Components,2002,conf/vldb/RohmBSS02
"Carole A. Goble, Omar Boucelma, Silvana Castano, Vanja Josifovski, Zo� Lacroix, Bertram Lud�scher",SIGMOD Record,Report on the EDBT'02 Panel on Scientific Data Integration,2002,journals/sigmod/BoucelmaCGJLL02
"Z. Meral �zsoyoglu, Gultekin �zsoyoglu, Abdullah Al-Hamdani, �zg�r Ulusoy, Selma Ayse �zel, Ismail Seng�r Alting�vde",VLDB,Sideway Value Algebra for Object-Relational Databases,2002,conf/vldb/OzsoyogluAAOUO02
Isabel F. Cruz,SIGMOD Record,SIGMOD Digital Symposium Collection (DiSC) Editor's Message,2000,journals/sigmod/Cruz00
"Martin Pfeifle, Hans-Peter Kriegel, Stefan Brecheisen, Peer Kr�ger, Matthias Schubert",SIGMOD Conference,Using Sets of Feature Vectors for Similarity Search on Voxelized CAD Objects,2003,conf/sigmod/KriegelBKPS03
"Antara Ghosh, Vibhuti S. Sengar, Jayant R. Haritsa, Jignashu Parikh",VLDB,Plan Selection Based on Query Clustering,2002,conf/vldb/GhoshPSH02
"David Buttler, Wei Han, Calton Pu",SIGMOD Record,Wrapping Web Data into XML,2001,journals/sigmod/HanBP01
"Paul W. P. J. Grefen, Peter M. G. Apers, Jochem Vonk",VLDB J.,Global transaction support for workflow management systems: from formal specification to practical implementation,2001,journals/vldb/GrefenVA01
Jack A. Orenstein,VLDB,Starting (and Sometimes Ending) a Database Company,1998,conf/vldb/Orenstein98
"J�rg Sander, Hans-Peter Kriegel, Markus M. Breunig, Mihael Ankerst",SIGMOD Conference,OPTICS: Ordering Points To Identify the Clustering Structure,1999,conf/sigmod/AnkerstBKS99
"Stefano Paraboschi, Stefano Ceri, Fabio Casati, Giuseppe Pozzi",ACM Trans. Database Syst.,Specification and Implementation of Exceptions in Workflow Management Systems,1999,journals/tods/CasatiCPP99
Andrew Eisenberg,SIGMOD Record,New Standard for Stored Procedures in SQL,1996,journals/sigmod/Eisenberg96
"Khaled Yagoub, Dan Suciu, Alon Y. Levy, Daniela Florescu",VLDB,Optimization of Run-time Management of Data Intensive Web-sites,1999,conf/vldb/FlorescuLSY99
"Ioana Manolescu, Serge Abiteboul, Tova Milo, Angela Bonifati, Gregory Cobena",SIGMOD Conference,Dynamic XML documents with distribution and replication,2003,conf/sigmod/AbiteboulBCMM03
"Thin-Fong Tsuei, Allan Packer, Keng-Tai Ko",SIGMOD Conference,Database Buffer Size Investigation for OLTP Workloads (Experience Paper),1997,conf/sigmod/TsueiPK97
"Patrick Valduriez, Serge Abiteboul, Sophie Cluet, Kenneth A. Ross, Raghu Ramakrishnan, Guy M. Lohman, David B. Lomet, Richard T. Snodgrass, Gultekin �zsoyoglu, Michael J. Franklin, Timos K. Sellis",SIGMOD Record,Reminiscences on Influential Papers,1999,journals/sigmod/SnodgrassACFLLORRSV99
"Sridhar Rajagopalan, Bruce G. Lindsay, Gurmeet Singh Manku",SIGMOD Conference,Random Sampling Techniques for Space Efficient Online Computation of Order Statistics of Large Datasets,1999,conf/sigmod/MankuRL99
M. Tamer �zsu,VLDB J.,New partnership with ACM and update on the journal,2003,journals/vldb/Ozsu03
"St�phane Bressan, Kian-Lee Tan, Beng Chin Ooi, Chong Leng Goh",SIGMOD Conference,Integrating Replacement Policies in StorM: An Extensible Approach,2000,conf/sigmod/BressanGOT00
Kestutis Ivinskis,SIGMOD Conference,High Availability of Commercial Applications,1995,conf/sigmod/Ivinskis95
"D. Janaki Ram, R. Ramakrishnan",VLDB,Modeling Design Versions,1996,conf/vldb/RamakrishnanR96
"Daniel A. Keim, Stefan Berchtold",SIGMOD Conference,"High-Dimensional Index Structures, Database Support for Next Decade's Applications (Tutorial)",1998,conf/sigmod/BerchtoldK98
"SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava, Sihem Amer-Yahia",SIGMOD Conference,LockX: A System for Efficiently Querying Secure XML,2003,conf/sigmod/ChoALS03
Marianne Winslett,SIGMOD Record,David DeWitt Speaks Out,2002,journals/sigmod/Winslett02a
"Richard Frank, Gopalan Arun, Richard Anderson",SIGMOD Conference,Oracle Rdb's Record Caching Model,1998,conf/sigmod/AndersonAF98
Ramesh C. Agarwal,SIGMOD Conference,A Super Scalar Sort Algorithm for RISC Processors,1996,conf/sigmod/Agarwal96
"Goetz Graefe, Richard L. Cole",ACM Trans. Database Syst.,Fast Algorithms for Universal Quantification in Large Databases,1995,journals/tods/GraefeC95
Richard T. Snodgrass,SIGMOD Record,Chair's Message,1999,journals/sigmod/Snodgrass99a
"Umeshwar Dayal, Gerhard Weikum, Rakesh Agrawal, Johannes Klein, Shalom Tsur, Serge Abiteboul",VLDB,Are Web Services the Next Revolution in e-Commerce? (Panel),2001,conf/vldb/TsurAADKW01
"Hongyan Liu, Hongjun Lu",VLDB,Decision Tables: Scalable Classification Exploring RDBMS Capabilities,2000,conf/vldb/LuL00
"Jun Rao, Kenneth A. Ross",SIGMOD Conference,Reusing Invariants: A New Strategy for Correlated Queries,1998,conf/sigmod/RaoR98
"Munir Cochinwala, Francesco Caruso, Paolo Missier, Uma Ganapathy, Gail Lalk",VLDB,Telcordia's Database Reconciliation and Data Quality Analysis Tool,2000,conf/vldb/CarusoCGLM00
"Kenneth A. Ross, Damianos Chatziantoniou",VLDB,Groupwise Processing of Relational Queries,1997,conf/vldb/ChatziantoniouR97
"Thorsten Fiebig, Till Westmann, Robert Schiele, Guido Moerkotte, Carl-Christian Kanne, Julia Neumann, Sven Helmer",VLDB J.,Anatomy of a native XML base management system,2002,journals/vldb/FiebigHKMNSW02
"Henrique Paques, Wei Tang, Calton Pu, Wei Han, Ling Liu, David Buttler",SIGMOD Conference,AQR-Toolkit: An Adaptive Query Routing Middleware for Distributed Data Intensive Systems,2000,conf/sigmod/LiuPBHPT00
"Stefan Seltzsam, Donald Kossmann, Markus Keidl, Reinhard Braumandl, Alexander Kreutz, Konrad Stocker, Alfons Kemper",VLDB J.,ObjectGlobe: Ubiquitous query processing on the Internet,2001,journals/vldb/BraumandlKKKKSS01
"Gerard Rodr�guez-Mul�, Andreas Paepcke, Junghoo Cho, Hector Garcia-Molina",SIGMOD Record,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies,2000,journals/sigmod/PaepckeGRC00
"Jeanine Wei�enfels, Dirk Wodtke, Angelika Kotz Dittrich, Gerhard Weikum, Peter Muth",SIGMOD Conference,The MENTOR Workbench for Enterprise-wide Workflow Management,1997,conf/sigmod/WodtkeWWDM97
"Luis Gravano, Anthony Tomasic, Hector Garcia-Molina",SIGMOD Conference,The Effectiveness of GlOSS for the Text Database Discovery Problem,1994,conf/sigmod/GravanoGT94
David Elliot Shaw,VLDB,Technology and the Future of Commerce and Finance (Abstract),1998,conf/vldb/Shaw98
"Alon Y. Levy, Daniela Florescu, Daphne Koller",VLDB,Using Probabilistic Information in Data Integration,1997,conf/vldb/FlorescuKLP97
"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek R. Narasayya",SIGMOD Conference,Compressing SQL workloads,2002,conf/sigmod/ChaudhuriGN02
"Bernhard Mitschang, Tobias Kraft, Holger Schwarz, Ralf Rantzau",VLDB,Coarse-Grained Optimization: Techniques for Rewriting SQL Statement Sequences,2003,conf/vldb/KraftSRM03
"Achim Kraiss, Gerhard Weikum",VLDB J.,Integrated Document Caching and Prefetching in Storage Hierarchies Based on Markov-Chain Predictions,1998,journals/vldb/KraissW98
"Ouri Wolfson, S. A. M. Makki, Kia Makki, Charles E. Perkins, Birgitta K�nig-Ries, Peter L. Reiher, Niki Pissinou, Peter Scheuermann, Jari Veijalainen",SIGMOD Record,Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems,2002,journals/sigmod/Konig-RiesMMPPRSVW02
Michael Stonebraker,SIGMOD Conference,Are We Working On the Right Problems? (Panel),1998,conf/sigmod/Stonebraker98
?,VLDB,"Ordering Information, Conference Organizers, Program Committees, Additional Reviewers, Additional Demonstrations Reviewers, Sponsors, VLDB Endowment, Preface, Foreword",2000,conf/vldb/X00
"Wolfgang May, Bertram Lud�scher",ACM Trans. Database Syst.,Understanding the global semantics of referential actions using logic rules,2002,journals/tods/MayL02
Ling Liu,SIGMOD Record,Editor's Notes,2002,journals/sigmod/Liu02c
"Gerhard Weikum, Patrick E. O'Neil, Peter Muth, Achim Pick",VLDB J.,The LHAM Log-Structured History Data Access Method,2000,journals/vldb/MuthOPW00
"Randal J. Peters, M. Tamer �zsu, Boman Irani, Adriana Mu�oz, Anna Lipka, Duane Szafron",VLDB J.,TIGUKAT: A Uniform Behavioral Objectbase Management System,1995,journals/vldb/OzsuPSILM95
"Chung-Sheng Li, Vittorio Castelli, Lawrence D. Bergman, John R. Smith, Yuan-Chi Chang, Ming-Ling Lo",SIGMOD Conference,The Onion Technique: Indexing for Linear Optimization Queries,2000,conf/sigmod/ChangBCLLS00
"Rajeev Rastogi, Kyuseok Shim, Apostol Natsev",SIGMOD Conference,WALRUS: A Similarity Retrieval Algorithm for Image Databases,1999,conf/sigmod/NatsevRS99
Jeffrey D. Ullman,SIGMOD Conference,Improving the Efficiency of Database-System Teaching,2003,conf/sigmod/Ullman03
"Manfred A. Jeusfeld, Ling Feng, Jeroen Hoppenbrouwers",SIGMOD Record,Towards Knowledge-Based Digital Libraries,2001,journals/sigmod/FengJH01
C�sar A. Galindo-Legaria,SIGMOD Conference,Outerjoins as Disjunctions,1994,conf/sigmod/Galindo-Legaria94
Curtis E. Dyreson,VLDB,Information Retrieval from an Incomplete Data Cube,1996,conf/vldb/Dyreson96
"Mohamed Za�t, Beno�t Dageville",VLDB,SQL Memory Management in Oracle9i,2002,conf/vldb/DagevilleZ02
"Per-�ke Larson, Weiye Zhang",VLDB,Buffering and Read-Ahead Strategies for External Mergesort,1998,conf/vldb/ZhangL98
"Vivek R. Narasayya, Rajeev Motwani, Surajit Chaudhuri",SIGMOD Conference,Random Sampling for Histogram Construction: How much is enough?,1998,conf/sigmod/ChaudhuriMN98
"Dimitris Papadias, Timos K. Sellis",VLDB J.,Qualitative Representation of Spatial Knowledge in Two-Dimensional Space,1994,journals/vldb/PapadiasS94
"Bertram Lud�scher, Maryann E. Martone, Amarnath Gupta",SIGMOD Conference,BIRN-M: A Semantic Mediator for Solving Real-World Neuroscience Problems,2003,conf/sigmod/GuptaLM03
"Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman",VLDB,A Comparative Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration,2001,conf/vldb/DattaDTVRF01
"Giuseppe Psaila, Stefano Ceri, Rosa Meo",VLDB,A New SQL-like Operator for Mining Association Rules,1996,conf/vldb/MeoPC96
"Xiaoyang Sean Wang, Duminda Wijesekera, Claudio Bettini, Sushil Jajodia",VLDB,Provisions and Obligations in Policy Management and Security Applications,2002,conf/vldb/BettiniJWW02
"Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein, Mehul A. Shah",SIGMOD Record,Java Support for Data-Intensive Systems: Experiences Building the Telegraph Dataflow System,2001,journals/sigmod/ShahMFH01
"Guido Moerkotte, Jens Clau�en, Klaus Peithner, Alfons Kemper",VLDB,Optimizing Queries with Universal Quantification in Object-Oriented and Object-Relational Databases,1997,conf/vldb/ClaussenKMP97
"Chee Yong Chan, Yannis E. Ioannidis",SIGMOD Conference,An Efficient Bitmap Encoding Scheme for Selection Queries,1999,conf/sigmod/ChanI99
"C. J. Date, Hugh Darwen",SIGMOD Record,The Third Manifesto,1995,journals/sigmod/DarwenD95
"Manish Mehta, David J. DeWitt",VLDB J.,Data Placement in Shared-Nothing Parallel Database Systems,1997,journals/vldb/MehtaD97
"Alexandros Biliris, Euthimios Panagos",SIGMOD Record,The BeSS Object Storage Manager: Architecture Overview,1996,journals/sigmod/BilirisP96
"Agathoniki Trigoni, Rajmohan Rajaraman, Alan J. Demers, Yong Yao, Johannes Gehrke",SIGMOD Record,The Cougar Project: a work-in-progress report,2003,journals/sigmod/DemersGRTY03
"Bertram Lud�scher, Amarnath Gupta, Maryann E. Martone",VLDB,Model-Based Information Integration in a Neuroscience Mediator System,2000,conf/vldb/LudasaherGM00
"Sanjeev Khanna, Michael Greenwald",SIGMOD Conference,Space-Efficient Online Computation of Quantile Summaries,2001,conf/sigmod/GreenwaldK01
"Philippe Pucheral, Lilan Wu, Luc Bouganim, Fran�ois Dang Ngoc",VLDB,Chip-Secured Data Access: Reconciling Access Rights with Data Encryption,2003,conf/vldb/BouganimNPW03
"Vibha Dayal, Satish Ramakrishnan",SIGMOD Conference,The PointCast Network,1998,conf/sigmod/RamakrishnanD98
Moira C. Norrie,SIGMOD Conference,Integration Approaches for CIM,1995,conf/sigmod/Norrie95
Joseph M. Hellerstein,SIGMOD Record,Toward network data independence,2003,journals/sigmod/Hellerstein03
"David Buttler, Tong Zhou, Ling Liu, Paul Benninghoff, Wei Han, Calton Pu, Fenghua Yu, Wei Tang, John Biggs",SIGMOD Conference,CQ: A Personalized Update Monitoring Toolkit,1998,conf/sigmod/LiuPTBBZBHY98
"Hans-J�rg Schek, Michael Stonebraker, Jim Gray, Jeffrey D. Ullman",SIGMOD Conference,The Lowell Report,2003,conf/sigmod/GraySSU03
"Samuel Madden, Joseph M. Hellerstein",SIGMOD Conference,Distributing queries over low-power wireless sensor networks,2002,conf/sigmod/MaddenH02
"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos",SIGMOD Conference,Closest Pair Queries in Spatial Databases,2000,conf/sigmod/CorralMTV00
"Lionel Brunie, Harald Kosch",SIGMOD Record,Control Strategies for Complex Relational Query Processing in Shared Nothing Systems,1996,journals/sigmod/BrunieK96
"Xi S. Guo, Jack G. Conrad, Peter Jackson, Monem Meziou",VLDB,Database Selection Using Actual Physical and Acquired Logical Collection Resources in a Massive Domain-specific Operational Environment,2002,conf/vldb/ConradGJM02
"Philip A. Bernstein, Erhard Rahm, Jayant Madhavan",VLDB,Generic Schema Matching with Cupid,2001,conf/vldb/MadhavanBR01
"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu",SIGMOD Conference,A Query Language and Optimization Techniques for Unstructured Data,1996,conf/sigmod/BunemanDHS96
"William O'Connell, Thomas A. Funkhouser, Alexandros Biliris, Euthimios Panagos",SIGMOD Conference,BeSS: Storage Support for Interactive Visualization Systems,1996,conf/sigmod/BilirisFOP96
"Leonidas Fegaras, David Maier",ACM Trans. Database Syst.,Optimizing object queries using an effective calculus,2000,journals/tods/FegarasM00
"Andrew Eisenberg, Jim Melton",SIGMOD Record,An Early Look at XQuery,2002,journals/sigmod/MeltonE02
"C�sar A. Galindo-Legaria, Martin L. Kersten, Arjan Pellenkoft",VLDB,The Complexity of Transformation-Based Join Enumeration,1997,conf/vldb/PellenkoftLK97
"Amarnath Gupta, Simone Santini",VLDB,GeMBASE: A Geometric Mediator for Brain Analysis with Surface Ensembles,2002,conf/vldb/SantiniG02
"Susan B. Davidson, Limsoon Wong, Kyle Hart, Peter Buneman, G. Christian Overton",VLDB,A Data Transformation System for Biological Data Sources,1995,conf/vldb/BunemanDHOW95
"Rajeev Motwani, Aristides Gionis, Piotr Indyk",VLDB,Similarity Search in High Dimensions via Hashing,1999,conf/vldb/GionisIM99
"Zahir Tari, Stefano Spaccapietra, John Stokes",ACM Trans. Database Syst.,Object Normal Forms and Dependency Constraints for Object-Oriented Schemata,1997,journals/tods/TariSS97
"Wang-Pin Hsiung, Kunihiro Taniguchi, Yusuf Akca, Oliver Po, Wen-Syan Li, Divyakant Agrawal, K. Sel�uk Candan",VLDB,CachePortal II: Acceleration of Very Large Scale Data Center-Hosted Database-driven Web Applications,2003,conf/vldb/LiPHCAAT03
"Jun-Ki Min, Chin-Wan Chung, Chang-Won Park",VLDB,Structural Function Inlining Technique for Structurally Recursive XML Queries,2002,conf/vldb/ParkMC02
"Jennifer Widom, Chris Olston",VLDB,Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,2000,conf/vldb/OlstonW00
"Subbu N. Subramanian, Srinivasa Narayanan",VLDB,Tavant System Architecture for Sell-side Channel Management,2001,conf/vldb/NarayananS01
"Theodore Johnson, Amr El Abbadi, Richard T. Snodgrass, Kenneth A. Ross",SIGMOD Record,Reminiscences on Influential Papers,2002,journals/sigmod/RossAJS02
"Tolga Urhan, Laura Bright, Vladimir Zadorozhny, Maria-Esther Vidal, Louiqa Raschid",SIGMOD Conference,Efficient evaluation of queries in a mediator for WebSources,2002,conf/sigmod/ZadorozhnyRVUB02
"Chen Qun, Andrew Lim, Kian Win Ong",SIGMOD Conference,D(k)-Index: An Adaptive Structural Summary for Graph-Structured Data,2003,conf/sigmod/QunLO03
"Bettina Kemme, Ricardo Jim�nez-Peris, Marta Pati�o-Mart�nez, Gustavo Alonso",ACM Trans. Database Syst.,Are quorums an alternative for data replication?,2003,journals/tods/Jimenez-PerisPAK03
"Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",ACM Trans. Database Syst.,"Probabilistic temporal databases, I: algebra",2001,journals/tods/DekhtyarRS01
Paul Brown,SIGMOD Conference,Implementing the Spirit of SQL-99,1999,conf/sigmod/Brown99
"Joseph M. Hellerstein, Michael Stonebraker",SIGMOD Conference,Content Integration for E-Business,2001,conf/sigmod/StonebrakerH01
"Alexander S. Szalay, Donald R. Slutz, Ani Thakar, Jim Gray, Peter Z. Kunszt",SIGMOD Conference,Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey,2000,conf/sigmod/SzalayGKT00
