title,year,authors,venue
Flexible support for multiple access control policies,2001,"Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS)
Multiway spatial joins,2001,"Nikos Mamoulis, Dimitris Papadias",ACM Transactions on Database Systems (TODS)
SchemaSQL: An extension to SQL for multidatabase interoperability,2001,"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",ACM Transactions on Database Systems (TODS)
An extension of the relational data model to incorporate ordered domains,2001,Wilfred Ng,ACM Transactions on Database Systems (TODS)
A case for dynamic view management,2001,"Yannis Kotidis, Nick Roussopoulos",ACM Transactions on Database Systems (TODS)
Distributed query evaluation on semistructured data,2002,Dan Suciu,ACM Transactions on Database Systems (TODS)
Atomicity and isolation for transactional processes,2002,"Heiko Schuldt, Gustavo Alonso, Catriel Beeri, Hans-J&#246;rg Schek",ACM Transactions on Database Systems (TODS)
Editorial,2001,Richard Snodgrass,ACM Transactions on Database Systems (TODS)
Editorial,2001,Richard Snodgrass,ACM Transactions on Database Systems (TODS)
Data management issues in electronic commerce: guest editor's introduction,2002,Asuman Dogac,ACM SIGMOD Record
The design and performance evaluation of alternative XML storage strategies,2002,"Feng Tian, David J. DeWitt, Jianjun Chen, Chun Zhang",ACM SIGMOD Record
A logical foundation for deductive object-oriented databases,2002,"Mengchi Liu, Gillian Dobbie, Tok Wang Ling",ACM Transactions on Database Systems (TODS)
Data management issues in electronic commerce,2002,Asuman Dogac,ACM SIGMOD Record
An active functionality service for e-business applications,2002,"M. Cilia, A. P. Buchmann",ACM SIGMOD Record
Contracting in the days of eBusiness,2002,"W. H&#252;mmer, W. Lehner, H. Wedekind",ACM SIGMOD Record
Supporting global user profiles through trusted authorities,2002,Ibrahim Cingil,ACM SIGMOD Record
The n-tier hub technology,2002,"Rainer A. Sommer, Thomas R. Gulledge, David Bailey",ACM SIGMOD Record
Snowball: a prototype system for extracting relations from large text collections,2001,"Eugene Agichtein, Luis Gravano, Jeff Pavel, Viktoriya Sokolova, Aleksandr Voskoboynik",International Conference on Management of Data
"Fault-tolerant, load-balancing queries in telegraph",2001,"Mehul A. Shah, Sirish Chandrasekaran",International Conference on Management of Data
Spatial data management for computer aided design,2001,"Hans-Peter Kriegel, Andreas M&#252;ller, Marco P&#246;tke, Thomas Seidl",International Conference on Management of Data
PBIR - perception-based image retrieval,2001,"Edward Chang, Kwang-Ting Cheng, Lihyuarn L. Chang",International Conference on Management of Data
Dynamic content acceleration: a caching solution to enable scalable dynamic Web page generation,2001,"Anindya Datta, Kaushik Dutta, Krithi Ramamritham, Helen Thomas, Debra VanderMeer",International Conference on Management of Data
RETINA: a real-time traffic navigation system,2001,"Kam-Yiu Lam, Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung",International Conference on Management of Data
DNA-miner: a system prototype for mining DNA sequences,2001,"Jiawei Han, Hasan Jamil, Ying Lu, Liangyou Chen, Yaqin Liao, Jian Pei",International Conference on Management of Data
Lots o'Ticks: real time high performance time series queries on billions of trades and quotes,2001,"Arthur Whitney, Dennis Shasha",International Conference on Management of Data
XML data management (panel session): go native or spruce up relational systems?,2001,"Per-&#197;ke Larson, Dana Florescu, Goetz Graefe, Guido Moerkotte, Hamid Pirahesh, Harald Sch&#246;ning",International Conference on Management of Data
DyDa: data warehouse maintenance in fully concurrent environments,2001,"Jun Chen, Xin Zhang, Songting Chen, Andreas Koeller, Elke A. Rundensteiner",International Conference on Management of Data
Application servers (panel session): born-again TP monitors for the Web,2001,"C. Mohan, Larry Cable, Matthieu Devin, Scott Dietzen, Pat Helland, Dan Wolfson",International Conference on Management of Data
Will database researchers have any role in data security? (panel session),2001,"Arnon Rosenthal, Klaus Dittrich, Jim Donahue, Bill Maimone",International Conference on Management of Data
Time series similarity measures and time series indexing (abstract only),2001,"Dimitrios Gunopulos, Gautam Das",International Conference on Management of Data
Online query processing: a tutorial,2001,"Peter J. Haas, Joseph M. Hellerstein",International Conference on Management of Data
Models and languages for describing and discovering E-services,2001,"Fabio Casati, Ming-Chien Shan",International Conference on Management of Data
Semantic B2B integration,2001,Christoph Bussler,International Conference on Management of Data
Standard for multimedia databases,2001,John R. Smith,International Conference on Management of Data
Temporal statement modifiers,2000,"Michael H. B&#246;hlen, Christian S. Jensen, Richard Thomas Snodgrass",ACM Transactions on Database Systems (TODS)
Optimizing object queries using an effective calculus,2000,"Leonidas Fegaras, David Maier",ACM Transactions on Database Systems (TODS)
Cache investment: integrating query optimization and distributed data placement,2000,"Donald Kossmann, Michael J. Franklin, Gerhard Drasch, Wig Ag",ACM Transactions on Database Systems (TODS)
Advances in real-time database systems research,1996,Azer Bestavros,ACM SIGMOD Record
"Integrating temporal, real-time, an active databases",1996,"Krithi Ramamritham, Raju Sivasankaran, John A. Stankovic, Don T. Towsley, Ming Xiong",ACM SIGMOD Record
Real-time index concurrency control,1996,"Jayant R. Haritsa, S. Seshadri",ACM SIGMOD Record
Real-time database - similarity and resource scheduling,1996,"Tei-Wei Kuo, Aloysius K. Mok",ACM SIGMOD Record
Exploiting main memory DBMS features to improve real-time concurrency control protocols,1996,"&#214;zg&#252;r Ulusoy, Alejandro Buchmann",ACM SIGMOD Record
Enhancing external consistency in real-time transactions,1996,"Kwei-Jay Lin, Ching-Shan Peng",ACM SIGMOD Record
Improving timeliness in real-time secure database systems,1996,"Sang H. Son, Rasikan David, Bhavani Thuraisingham",ACM SIGMOD Record
DeeDS towards a distributed and active real-time database system,1996,"S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",ACM SIGMOD Record
Overview of the STanford Real-time Information Processor (STRIP),1996,"Brad Adelberg, Ben Kao, Hector Garcia-Molina",ACM SIGMOD Record
Database research: achievements and opportunities into the 1st century,1996,"Avi Silberschatz, Mike Stonebraker, Jeff Ullman",ACM SIGMOD Record
Workshop report: the first international workshop on active and real-time database systems (ARTDB-95),1996,"Mikael Berndtsson, J&#246;rgen Hansson",ACM SIGMOD Record
Integrating contents and structure in text retrieval,1996,"Ricardo Baeza-Yates, Gonzalo Navarro",ACM SIGMOD Record
lambda-DB: an ODMG-based object-oriented DBMS,2000,"Leonidas Fegaras, Chandrasekhar Srinivasan, Arvind Rajendran, David Maier",International Conference on Management of Data
An approximate search engine for structural databases,2000,"Jason T. L. Wang, Xiong Wang, Dennis Shasha, Bruce A. Shapiro, Kaizhong Zhang, Qicheng Ma, Zasha Weinberg",International Conference on Management of Data
Research issues in moving objects databases (tutorial session),2000,Ouri Wolfson,International Conference on Management of Data
Self-organizing data sharing communities with SAGRES,2000,"Zachary Ives, Alon Levy, Jayant Madhavan, Rachel Pottinger, Stefan Saroiu, Igor Tatarinov, Shiori Betzler, Qiong Chen, Ewa Jaslikowska, Jing Su, Wai Tak Theodora Yeung",International Conference on Management of Data
Data access (tutorial session),2000,"Jos&#233; A. Blakeley, Anand Deshpande",International Conference on Management of Data
LDAP directory services- just another database application? (tutorial session),2000,"Shridhar Shukla, Anand Deshpande",International Conference on Management of Data
Designing an ultra highly available DBMS (tutorial session),2000,"Svein Erik Bratsberg, &#216;ystein Torbj&#248;rnsen",International Conference on Management of Data
"Data management in eCommerce (tutorial session): the good, the bad, and the ugly",2000,Avigdor Gal,International Conference on Management of Data
Application architecture (panel session): 2Tier or 3Tier? What is DBMS's role?,2000,Anil K. Nori,International Conference on Management of Data
Of XML and databases (panel session): where's the beef?,2000,"Jennifer Widom, Adam Bosworth, Bruce Lindsay, Michael Stonebraker, Dan Suciu",International Conference on Management of Data
From browsing to interacting: DBMS support for responsive websites,2000,Raghu Ramakrishnan,International Conference on Management of Data
Index research (panel session): forest or trees?,2000,"Joseph M. Hellerstein, Hans-Peter Kriegel, David Comet, Christos Falsutsos, Raghu Ramakrishnan, Paul Brown",International Conference on Management of Data
SQLEM: fast clustering in SQL using the EM algorithm,2000,"Carlos Ordonez, Paul Cereghini",International Conference on Management of Data
Anatomy of a real E-commerce system,2000,Anant Jhingran,International Conference on Management of Data
Handling very large databases with informix extended parallel server,2000,Andreas Weininger,International Conference on Management of Data
Internet traffic warehouse,2000,"Chung-Min Chen, Munir Cochinwala, Claudio Petrone, Marc Pucci, Sunil Samtani, Patrizia Santa",International Conference on Management of Data
DISIMA: a distributed and interoperable image database system,2000,"Vincent Oria, M. Tamer &#214;zsu, Paul J. Iglinski, Shu Lin, Bin Yao",International Conference on Management of Data
Integrating replacement policies in StorM: an extensible approach,2000,"Chong Leng Goh, Beng Chin Ooi, Stephane Bressan, Kian-Lee Tan",International Conference on Management of Data
SPIRE: a progressive content-based spatial image retrieval engine,2000,"Chung-Sheng Li, Lawrence D. Bergman, Yuan-Chi Chang, Vittorio Castelli, John R. Smith",International Conference on Management of Data
AQR-toolkit: an adaptive query routing middleware for distributed data intensive systems,2000,"Ling Liu, Calton Pu, David Buttler, Wei Han, Henrique Paques, Wei Tang",International Conference on Management of Data
TIP: a temporal extension to Informix,2000,"Jun Yang, Huacheng C. Ying, Jennifer Widom",International Conference on Management of Data
A goal-driven auto-configuration tool for the distributed workflow management system mentorlite,2000,"Michael Gillmann, Jeanine Weissenfels, German Shegalov, Wolfgang Wonner, Gerhard Weikum",International Conference on Management of Data
MOCHA: a database middleware system featuring automatic deployment of application-specific functionality,2000,"Manuel Rodr&#237;guez-Mart&#237;nez, Nick Roussopoulos, John M. McGann, Stephen Kelley, Vadim Katz, Zhexuan Song, Joseph J&#225;J&#225;",International Conference on Management of Data
Image mining in IRIS: integrated retinal information system,2000,"Wynne Hsu, Mong Li Lee, Kheng Guan Goh",International Conference on Management of Data
Towards data mining benchmarking: a test bed for performance study of frequent pattern mining,2000,"Jian Pei, Runying Mao, Kan Hu, Hua Zhu",International Conference on Management of Data
Concept based design of data warehouses: the DWQ demonstrators,2000,"M. Jarke, C. Quix, D. Calvanese, M. Lenzerini, E. Franconi, S. Ligoudistianos, P. Vassiliadis, Y. Vassiliou",International Conference on Management of Data
AJAX: an extensible data cleaning tool,2000,"Helena Galhardas, Daniela Florescu, Dennis Shasha, Eric Simon",International Conference on Management of Data
"i3: intelligent, interactive investigation of OLAP data cubes",2000,"Sunita Sarawagi, Gayatri Sathe",International Conference on Management of Data
javax.XXL: a prototype for a library of query processing algorithms,2000,"Jochen van den Bercken, Jens-Peter Dittrich, Bernhard Seeger",International Conference on Management of Data
FACT: a learning based Web query processing system,2000,"Songting Chen, Yanlei Diao, Hongjun Lu, Zengping Tian",International Conference on Management of Data
HOMER: a model-based CASE tool for data-intensive Web sites,2000,"Paolo Merialdo, Paolo Atzeni, Marco Magnante, Giansalvatore Mecca, Marco Pecorone",International Conference on Management of Data
SERFing the Web: web site management made easy,2000,"Elke A. Rundensteiner, Kajal T. Claypool, Li Chen, Hong Su, Keiji Oenoki",International Conference on Management of Data
WebView materialization,2000,"Alexandros Labrinidis, Nick Roussopoulos",International Conference on Management of Data
NiagaraCQ: a scalable continuous query system for Internet databases,2000,"Jianjun Chen, David J. DeWitt, Feng Tian, Yuan Wang",International Conference on Management of Data
The onion technique: indexing for linear optimization queries,2000,"Yuan-Chi Chang, Lawrence Bergman, Vittorio Castelli, Chung-Sheng Li, Ming-Ling Lo, John R. Smith",International Conference on Management of Data
On effective multi-dimensional indexing for strings,2000,"H. V. Jagadish, Nick Koudas, Divesh Srivastava",International Conference on Management of Data
A data model and data structures for moving objects databases,2000,"Luca Forlizzi, Ralf Hartmut G&#252;ting, Enrico Nardelli, Markus Schneider",International Conference on Management of Data
Indexing the positions of continuously moving objects,2000,"Simonas &#352;altenis, Christian S. Jensen, Scott T. Leutenegger, Mario A. Lopez",International Conference on Management of Data
Adaptive multi-stage distance join processing,2000,"Hyoseop Shin, Bongki Moon, Sukho Lee",International Conference on Management of Data
Finding replicated Web collections,2000,"Junghoo Cho, Narayanan Shivakumar, Hector Garcia-Molina",International Conference on Management of Data
A chase too far?,2000,"Lucian Popa, Alin Deutsch, Arnaud Sahuguet, Val Tannen",International Conference on Management of Data
WSQ/DSQ: a practical approach for combined querying of databases and the Web,2000,"Roy Goldman, Jennifer Widom",International Conference on Management of Data
A framework for expressing and combining preferences,2000,"Rakesh Agrawal, Edward L. Wimmers",International Conference on Management of Data
Microsoft TerraServer: a spatial data warehouse,2000,"Tom Barclay, Jim Gray, Don Slutz",International Conference on Management of Data
Towards self-tuning data placement in parallel database systems,2000,"Mong Li Lee, Masaru Kitsuregawa, Beng Chin Ooi, Kian-Lee Tan, Anirban Mondal",International Conference on Management of Data
LH*RS: a high-availability scalable distributed data structure using Reed Solomon Codes,2000,"Witold Litwin, Thomas Schwarz",International Conference on Management of Data
Efficient and extensible algorithms for multi query optimization,2000,"Prasan Roy, S. Seshadri, S. Sudarshan, Siddhesh Bhobe",International Conference on Management of Data
Eddies: continuously adaptive query processing,2000,"Ron Avnur, Joseph M. Hellerstein",International Conference on Management of Data
DLFM: a transactional resource manager,2000,"Hui-I Hsiao, Inderpal Narang",International Conference on Management of Data
Going beyond personalization: rule engines at work,2000,Eric Kintzer,International Conference on Management of Data
Indexing images in Oracle8i,2000,"Melliyal Annamalai, Rajiv Chopra, Samuel DeFazio, Susan Mavris",International Conference on Management of Data
Online index rebuild,2000,"Nagavamsi Ponnekanti, Hanuma Kodavalla",International Conference on Management of Data
Maintenance of cube automatic summary tables,2000,"Wolfgang Lehner, Richard Sidle, Hamid Pirahesh, Roberta Wolfgang Cochrane",International Conference on Management of Data
Benchmarking queries over trees: learning the hard truth the hard way,2000,"Fanny Wattez, Sophie Cluet, V&#233;ronique Benzaken, Guy Ferran, Christian Fiegel",International Conference on Management of Data
Expressing business rules,2000,Ronald G. Ross,International Conference on Management of Data
Challenges in automating declarative business rules to enable rapid business response,2000,Val Huber,International Conference on Management of Data
Making B+- trees cache conscious in main memory,2000,"Jun Rao, Kenneth A. Ross",International Conference on Management of Data
Approximating multi-dimensional aggregate range queries over real attributes,2000,"Dimitrios Gunopulos, George Kollios, Vassilis J. Tsotras, Carlotta Domeniconi",International Conference on Management of Data
"Counting, enumerating, and sampling of execution plans in a cost-based query optimizer",2000,"Florian Waas, C&#233;sar Galindo-Legaria",International Conference on Management of Data
Congressional samples for approximate answering of group-by queries,2000,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",International Conference on Management of Data
Efficient algorithms for mining outliers from large data sets,2000,"Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data
Efficient and cost-effective techniques for browsing and indexing large video databases,2000,"JungHwan Oh, Kien A. Hua",International Conference on Management of Data
Designing and mining multi-terabyte astronomy archives: the Sloan Digital Sky Survey,2000,"Alexander S. Szalay, Peter Z. Kunszt, Ani Thakar, Jim Gray, Don Slutz, Robert J. Brunner",International Conference on Management of Data
Privacy-preserving data mining,2000,"Rakesh Agrawal, Ramakrishnan Srikant",International Conference on Management of Data
Using quantitative information for efficient association rule generation,2000,"B. P&#244;ssas, M. Carvalho, R. Resende, W. Meita, Jr.",ACM SIGMOD Record
Object database evolution using separation of concerns,2000,"Awais Rashid, Peter Sawyer",ACM SIGMOD Record
Report on the VLDB workshop on technologies for e-services (TES),2000,"Fabio Casati, Umesh Dayal, Ming-Chien Shan",ACM SIGMOD Record
Research and practice in federated information systems,2000,"W. Hasselbring, W.-J. van den Heuvel, G. J. Houben, R.-D. Kutsche, B. Rieger, M. Roantree, K. Subieta",ACM SIGMOD Record
Moving up the food chain: supporting e-commerce applications on databases,2000,Anant Jhingran,ACM SIGMOD Record
A vision for management of complex models,2000,"Phillip A. Bernstein, Alon Y. Halevy, Rachel A. Pottinger",ACM SIGMOD Record
Cache invalidation scheme for mobile computing systems with real-time data,2000,"Joe Chun-Hung Yuen, Edward Chan, Kam-Yiu Lam, H. W. Leung",ACM SIGMOD Record
Theory of answering queries using views,2000,Alon Y. Halevy,ACM SIGMOD Record
Metadata standards for data warehousing: open information model vs. common warehouse metadata,2000,"Thomas Vetterli, Anca Vaduva, Martin Staudt",ACM SIGMOD Record
Comparative analysis of six XML schema languages,2000,"Dongwon Lee, Wesley W. Chu",ACM SIGMOD Record
Constraint databases: a tutorial introduction,2000,Jan Van den Bussche,ACM SIGMOD Record
The implementation and performance of compressed databases,2000,"Till Westmann, Donald Kossmann, Sven Helmer, Guido Moerkotte",ACM SIGMOD Record
A new approach to developing and implementing eager database replication protocols,2000,"Bettina Kemme, Gustavo Alonso",ACM Transactions on Database Systems (TODS)
Theory of dependence values,2000,Rosa Meo,ACM Transactions on Database Systems (TODS)
Knowledge discovery in data warehouses,2000,Themistoklis Palpanas,ACM SIGMOD Record
An algebraic approach to static analysis of active database rules,2000,"Elena Baralis, Jennifer Widom",ACM Transactions on Database Systems (TODS)
SQL and management of external data,2001,"Jim Melton, Jan-Eike Michels, Vanja Josifovski, Krishna Kulkarni, Peter Schwarz, Kathy Zeidenstein",ACM SIGMOD Record
Report on the fourth international conference on flexible query answering systems (FQAS 2000),2001,"Patrick Bosc, Amihai Motro, Gabriella Pasi",ACM SIGMOD Record
XML and information retrieval: a SIGIR 2000 workshop,2001,"David Carmel, Yoelle Maarek, Aya Soffer",ACM SIGMOD Record
Report on XEWA-00: the XML enabled wide-area searches for bioinformatics workshop,2001,Terence Critchlow,ACM SIGMOD Record
Iceberg-cube computation with PC clusters,2001,"Raymond T. Ng, Alan Wagner, Yu Yin",International Conference on Management of Data
On computing correlated aggregates over continual data streams,2001,"Johannes Gehrke, Flip Korn, Divesh Srivastava",International Conference on Management of Data
Efficient computation of Iceberg cubes with complex measures,2001,"Jiawei Han, Jian Pei, Guozhu Dong, Ke Wang",International Conference on Management of Data
The Clio project: managing heterogeneity,2001,"Ren&#233;e J. Miller, Mauricio A. Hern&#225;ndez, Laura M. Haas, Lingling Yan, C. T. Howard Ho, Ronald Fagin, Lucian Popa",ACM SIGMOD Record
Querying multi-dimensional data indexed using the Hilbert space-filling curve,2001,"J. K. Lawder, P. J. H. King",ACM SIGMOD Record
Re-designing distance functions and distance-based applications for high dimensional data,2001,Charu C. Aggarwal,ACM SIGMOD Record
EIHA?!?: deploying Web and WAP services using XML technology,2001,"Chiara Biancheri, Jean-Christophe Pazzaglia, Gavino Paddeu",ACM SIGMOD Record
New TPC benchmarks for decision support and web commerce,2000,"Meikel Poess, Chris Floyd",ACM SIGMOD Record
Constraints for semistructured data and XML,2001,"Peter Buneman, Wenfei Fan, J&#233;r&#244;me Sim&#233;on, Scott Weinstein",ACM SIGMOD Record
Towards knowledge-based digital libraries,2001,"Ling Feng, Marfred A. Jeusfeld, Jeroen Hoppenbrouwers",ACM SIGMOD Record
Quality of service in multimedia digital libraries,2001,"Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Sa&#239;d Hacid",ACM SIGMOD Record
Infosphere project: system support for information flow applications,2001,"Calton Pu, Karsten Schwan, Jonathan Walpole",ACM SIGMOD Record
Report on NGITS'99: The fourth international workshop on next generation information technologies and systems,1999,Opher Etzion,ACM SIGMOD Record
Comparative analysis of five XML query languages,2000,"Angela Bonifati, Stefano Ceri",ACM SIGMOD Record
Design and management of data warehouses report on the DMDW'99 workshop,1999,"Stella Gatziu, Manfred Jeusfeld, Martin Staudt, Yannis Vassiliou",ACM SIGMOD Record
Beyond document similarity: understanding value-based search and browsing technologies,2000,"Andreas Paepcke, Hector Garcia-Molina, Gerard Rodriguez-Mula, Junghoo Cho",ACM SIGMOD Record
Timer-driven database triggers and alerters: semantics and a challenge,1999,"Eric N. Hanson, Lloyd X. Noronha",ACM SIGMOD Record
Diluting ACID,1999,"Tim Kempster, Colin Stirling, Peter Thanisch",ACM SIGMOD Record
"Some remarks on variable independence, closure, and orthographic dimension in constraint databases",1999,Leonid Libkin,ACM SIGMOD Record
On views and XML,1999,Serge Abiteboul,ACM SIGMOD Record
The MLPQ/GIS constraint database system,2000,"Peter Revesz, Rui Chen, Pradip Kanjamala, Yiming Li, Yuguo Liu, Yonghui Wang",International Conference on Management of Data
Evolution and change in data management - issues and directions,2000,"John F. Roddick, Lina Al-Jadir, Leopoldo Bertossi, Marlon Dumas, Florida Estrella, Heidi Gregersen, Kathleen Hornsby, Jens Lufter, Federica Mandreoli, Tomi M&#228;nnist&#246;, Enric Mayol, Lex Wedemeijer",ACM SIGMOD Record
Generating dynamic content at database-backed web servers: cgi-bin vs. mod_perl,2000,"Alexandros Labrinidis, Nick Roussopoulos",ACM SIGMOD Record
Hierarchies and relative operators in the OLAP environment,2000,"Elaheh Pourabbas, Maurizio Rafanelli",ACM SIGMOD Record
An optimisation scheme for coalesce/valid time selection operator sequences,2000,Costas Vassilakis,ACM SIGMOD Record
Incremental maintenance of recursive views using relational calculus/SQL,2000,"Guozhu Dong, Jianwen Su",ACM SIGMOD Record
An extensible compressor for XML data,2000,"Hartmut Liefke, Dan Suciu",ACM SIGMOD Record
SQL standardization: the next steps,2000,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record
Emancipating instances from the tyranny of classes in information modeling,2000,"Jeffrey Parsons, Yair Wand",ACM Transactions on Database Systems (TODS)
Tracing the lineage of view data in a warehousing environment,2000,"Yingwei Cui, Jennifer Widom, Janet L. Wiener",ACM Transactions on Database Systems (TODS)
Report on ISDO '00: the CAiSE*00 workshop on infrastructures for dynamic business-to-business service outsourcing,2000,"Heiko Ludwig, Paul Grefen",ACM SIGMOD Record
Workshop on performance and architecture of web servers,2000,"Krishna Kant, Prasant Mohapatra",ACM SIGMOD Record
Provision of market services for eCo compliant electronic marketplaces,2000,"Sena Arpinar, Asuman Dogac",ACM SIGMOD Record
Report on second international workshop on advanced issues of E-commerce and Web-based information systems,2000,"Kun-Lung Wu, Philip S. Yu",ACM SIGMOD Record
Generating spatiotemporal datasets on the WWW,2000,"Yannis Theodoridis, Mario A. Nascimento",ACM SIGMOD Record
Spatial operators,2000,"Eliseo Clementini, Paolino Di Felice",ACM SIGMOD Record
Practical lessons in supporting large-scale computational science,1999,"Ron Musick, Terence Critchlow",ACM SIGMOD Record
FinTime: a financial time series benchmark,1999,"Kaippallimalil J. Jacob, Dennis Shasha",ACM SIGMOD Record
A survey of logical models for OLAP databases,1999,"Panos Vassiliadis, Timos Sellis",ACM SIGMOD Record
SQLJ  Part 1: SQL routines using the Java programming language,1999,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record
Iterative dynamic programming: a new class of query optimization algorithms,2000,"Donald Kossmann, Konrad Stocker",ACM Transactions on Database Systems (TODS)
A foundation for representing and querying moving objects,2000,"Ralf Hartmut G&#252;ting, Michael H. B&#246;hlen, Martin Erwig, Christian S. Jensen, Nikos A. Lorentzos, Markus Schneider, Michalis Vazirgiannis",ACM Transactions on Database Systems (TODS)
A cost model for query processing in high dimensional data spaces,2000,Christian B&#246;hm,ACM Transactions on Database Systems (TODS)
A model for compound type changes encountered in schema evolution,2000,Barbara Staudt Lerner,ACM Transactions on Database Systems (TODS)
Book reviews,2002,Karl Aberer,ACM SIGMOD Record
Book review column,2002,Karl Aberer,ACM SIGMOD Record
Clustering validity checking methods: part II,2002,"Maria Halkidi, Yannis Batistakis, Michalis Vazirgiannis",ACM SIGMOD Record
A study on the management of semantic transaction for efficient data retrieval,2002,"Shi Ming Huang, Irene Kwan, Chih He Li",ACM SIGMOD Record
Database principles,2002,Leonid Libkin,ACM SIGMOD Record
Automata theory for XML researchers,2002,Frank Neven,ACM SIGMOD Record
Introduction to constraint databases,2002,Bart Kuijpers,ACM SIGMOD Record
Foundations of statistical natural language processing,2002,Gerhard Weikum,ACM SIGMOD Record
Industry perspectives,2002,Len Seligman,ACM SIGMOD Record
Toward autonomic computing with DB2 universal database,2002,"Sam S. Lightstone, Guy Lohman, Danny Zilio",ACM SIGMOD Record
Distinguished DB profiles,2002,Marianne Winslett,ACM SIGMOD Record
"Hector Garcia-Molina speaks out: regarding startups, how life is getting harder, delta papers, CS in Mexico, life as a department chair, and more",2002,Marianne Winslett,ACM SIGMOD Record
Standards,2002,Jim Melton,ACM SIGMOD Record
SQL/MED: a status report,2002,"Jim Melton, Jan Eike Michels, Vanja Josifovski, Krishna Kulkarni, Peter Schwarz",ACM SIGMOD Record
Influential papers,2002,Ken Ross,ACM SIGMOD Record
Reminiscences on influential papers,2002,"Kenneth A. Ross, Theodore Johnson, Richard Thomas Snodgrass",ACM SIGMOD Record
Top-k selection queries over relational databases: Mapping strategies and performance evaluation,2002,"Nicolas Bruno, Surajit Chaudhuri, Luis Gravano",ACM Transactions on Database Systems (TODS)
Combining fuzzy information: an overview,2002,Ronald Fagin,ACM SIGMOD Record
Database principles,2002,Leonid Libkin,ACM SIGMOD Record
SQL/XML is making good progress,2002,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record
Searching for dependencies at multiple abstraction levels,2002,"Toon Calders, Raymond T. Ng, Jef Wijsen",ACM Transactions on Database Systems (TODS)
Editorial directons,1995,Won Kim,ACM Transactions on Database Systems (TODS)
Editorial: Charter and scope,1995,Won Kim,ACM Transactions on Database Systems (TODS)
Locally adaptive dimensionality reduction for indexing large time series databases,2002,"Kaushik Chakrabarti, Eamonn Keogh, Sharad Mehrotra, Michael Pazzani",ACM Transactions on Database Systems (TODS)
Searching in metric spaces with user-defined and approximate distances,2002,"Paolo Ciaccia, Marco Patella",ACM Transactions on Database Systems (TODS)
Understanding the global semantics of referential actions using logic rules,2002,"Wolfgang May, Bertram Lud&#228;scher",ACM Transactions on Database Systems (TODS)
Cost models for overlapping and multiversion structures,2002,"Yufei Tao, Dimitris Papadias, Jun Zhang",ACM Transactions on Database Systems (TODS)
Fast incremental maintenance of approximate histograms,2002,"Phillip B. Gibbons, Yossi Matias, Viswanath Poosala",ACM Transactions on Database Systems (TODS)
The cougar approach to in-network query processing in sensor networks,2002,"Yong Yao, Johannes Gehrke",ACM SIGMOD Record
Articles,2002,Avigdor Gal,ACM SIGMOD Record
Treasurer's message,2002,Joachim Hammer,ACM SIGMOD Record
SilkRoute: A framework for publishing relational data in XML,2002,"Mary Fern&#225;ndez, Yana Kadiyska, Dan Suciu, Atsuyuki Morishima, Wang-Chiew Tan",ACM Transactions on Database Systems (TODS)
The Ecobase project: database and web technologies for environmental information systems,2001,"Luc Bouganim, Maria Claudia Cavalcanti, Fran&#231;oise Fabret, Maria Luiza Campos, Fran&#231;ois Llirbat, Marta Mattoso, Rubens Melo, Ana Maria Moura, Esther Pacitti, Fabio Porto, Margareth Simoes, Eric Simon, Asterio Tanaka, Patrick Valduriez",ACM SIGMOD Record
Data analysis and mining in the life sciences,2001,Nam Huyn,ACM SIGMOD Record
Influential papers,2001,Ken Ross,ACM SIGMOD Record
Reminiscences on influential papers,2001,Kenneth A. Ross,ACM SIGMOD Record
Continuous queries over data streams,2001,"Shivnath Babu, Jennifer Widom",ACM SIGMOD Record
Career forum,2001,Alexandros Labrinidis,ACM SIGMOD Record
Career-enhancing services at SIGMOD online,2001,"Alexandros Labrinidis, Alberto O. Mendelzon",ACM SIGMOD Record
Reminiscences on Influential Papers,2001,Kenneth A. Ross,ACM SIGMOD Record
Special section on data mining for intrusion detection and threat analysis,2001,Daniel Barbar&#225;,ACM SIGMOD Record
Special issue on data mining for intrusion detection and threat analysis,2001,Daniel Barbar&#225;,ACM SIGMOD Record
Data mining-based intrusion detectors: an overview of the columbia IDS project,2001,"Salvatore J. Stolfo, Wenke Lee, Philip K. Chan, Wei Fan, Eleazar Eskin",ACM SIGMOD Record
ADAM: a testbed for exploring the use of data mining in intrusion detection,2001,"Daniel Barbar&#225;, Julia Couto, Sushil Jajodia, Ningning Wu",ACM SIGMOD Record
Detection and classification of intrusions and faults using sequences of system calls,2001,"Jo&#227;o B. D. Cabrera, Lundy Lewis, Raman K. Mehra",ACM SIGMOD Record
Mining system audit data: opportunities and challenges,2001,"Wenke Lee, Wei Fan",ACM SIGMOD Record
