id,price,manufacturer,description,title,entityUrl
278,25.75,,family tree maker® essentials edition v16 is the 1 bestselling resource to create your family tree. easily compile organize and share your unique keepsake. bonus 3-month subscription to ancestry.com. system requirements: windows® 98s,encore inc family tree maker v 16 essentials,http://www.google.com/base/feeds/snippets/17896835956549874370
279,415.99,,capture one db & pro: phase one p 45 / p 30 / p 25 / p 20 / h 25 / h 20 / h 10 / h 101 / h 5 / lightphase capture one pro & le: canon 1ds mkii / 1d mkii / 1d mkii n /1ds / 1d / 5d / 20d / 10d / 300d / 350d / d60 / d30 / pro 1 / g6 / g5 / g3 / g2 ...,phase one capture one pro,http://www.google.com/base/feeds/snippets/7587316869277129977
280,17.55,,features sportsman's double play and american billiards. sportsman's double play includes sport fishing professionaland sport shooting. american billiards includes 8-ball 9-ball snooker and more.,masque publishing sportsmans double play with american billiards,http://www.google.com/base/feeds/snippets/17886724437749928713
281,29.4,,this sensational cd features bob florence's lively and imaginative arrangements of ten top jazz standards: all the things you are ? chelsea bridge ? emily ? how deep is the ocean ? i'm old fashioned ? laura ? poinciana ?,bob florence quartet yamaha bob florence quartet - (for cd-compatible modules),http://www.google.com/base/feeds/snippets/17885230389415254957
282,14.86,,this innovative software series enables your disklavier mark iii piano to perform with the world's most popular cds! using yamaha's pianosmart technology this companion diskette will magically empower your disklavier mark iii to accompany the ...,lynyrd skynyrd yamaha lynyrd skynyrd - all-time greatest hits - smart pianosoft,http://www.google.com/base/feeds/snippets/17883807494570304453
283,281.99,,system requirements mac os x v10.3.9 or later1 powermac g3 with at least 128 mb ram 40 mb of available hard disk space for program installation2 average of 35 mb additional hd space for each company file maintained with myob accountedge 1024x768 ...,myob accountedge 2007,http://www.google.com/base/feeds/snippets/7553242227606936678
284,22.13,,1. amuse-bouche 2. table for two 3. the tuscan table 4. al fresco 5. dancing the night away 6. two manhattans 7. sunday brunch 8. the wine vaults 9. chocolate fountain 10. tapas 11. irish coffee 12. blue martini 13. dinner with friends 14. creme ...,yamaha piano la carte,http://www.google.com/base/feeds/snippets/17879316212369808960
285,199.99,,top features fast user switching new simplified visual design windows media player windows messenger windows movie maker my pictures automatic updates internet explorer 6 remote assistance system restore network setup wizard tools and games for the ...,microsoft windows xp home edition sp2 retail box,http://www.google.com/base/feeds/snippets/8761785470712681109
286,14.86,,this innovative software series enables your disklavier mark iii piano to perform with the world's most popular cds! using yamaha's pianosmart technology this companion diskette will magically empower your disklavier mark iii to accompany the ...,yamaha bread best of bread - smart pianosoft,http://www.google.com/base/feeds/snippets/18054464106448666097
287,49.21,,top 100 cd-rom of the year. - pc magazine learn to play lead guitar and more! emedia intermediate guitar method is the easiest way to take your playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lesson,emedia music corp emedia intermediate guitar method,http://www.google.com/base/feeds/snippets/18180725296745787083
288,415.99,,viewable only on a computer minimum 256mb ram mac os® x minimum g4 processor (or) pc minimum intel® pentium® iii 800 mhz processor screen resolution 1024 x 768 quicktime® 7 installed,entertainment partners ep budgeting for film,http://www.google.com/base/feeds/snippets/8829327324895223617
289,7.81,,stand out from the crowd with 10000 unique photo images! these bright bold and brilliant photos come with solid changeable backgrounds making them as easy to use as clip art. from bananas to banjos cars to children dogs to ducks - there's a photo,nova development corp ideasoft photo clip art 10000,http://www.google.com/base/feeds/snippets/18312853825749428303
290,26.14,,pop-up stopper professional is complete ad-blocking technology from a company you can trust. it blocks pop-up and pop-under ads in all browsers including aol msn netscape internet explorer sbc yahoo wmconnect & more ? it even blocks annoying ...,csdc pop-up stopper professional - panicware,http://www.google.com/base/feeds/snippets/17832927937923546408
291,545.51,,halion symphonic orchestra supports all major formats: vst dxi au + rewire for easy protools integration. a multi-output-capable stand-alone version is also included.,steinberg software halion symphonic orchestra - educational edition,http://www.google.com/base/feeds/snippets/17834804262117799503
292,14.86,,this innovative software series enables your disklavier mark iii piano to perform with the world's most popular cds! using yamaha's pianosmart technology this companion diskette will magically empower your disklavier mark iii to accompany the ...,steely dan mike garson yamaha steely dan - pretzel logic - smart pianosoft,http://www.google.com/base/feeds/snippets/17835165739789437720
293,499.99,,final cut studio 2. system requirements. minimum requirements to install all final cut studio applications a macintosh computer with a 1.25ghz or faster powerpc g4 powerpc g5 intel core duo or intel xeon processor 1gb of ram an agp or pci express ...,apple final cut studio 2 upgrade from final cut studio,http://www.google.com/base/feeds/snippets/8648200549603855201
294,22.13,,1. bennie and the jets 2. blue eyes 3. crocodile rock 4. daniel 5. don't go breaking my heart 6. goodbye yellow brick road 7. rocket man 8. someone saved my life tonight 9. sorry seems to be the hardest word 10. your song,richard friedman richard friedman the best of elton john - ez play today,http://www.google.com/base/feeds/snippets/17837146259776007202
295,207.99,,product datasheet [pdf: 2.1mb],netopia timbuktu pro for mac and windows 2 pack,http://www.google.com/base/feeds/snippets/8968352871606641625
296,22.99,,product requirements: mac os x 10.2.8 through 10.4 g3 400mhz or intel core processor 128mb ram,super collapse! 3,http://www.google.com/base/feeds/snippets/9000601847258285543
297,164.99,,viewable only on a computer minimum 256mb ram mac os® x minimum g4 processor (or) pc minimum intel® pentium® iii 800 mhz processor screen resolution 1024 x 768 quicktime® 7 installed,entertainment partners ep budgeting for film academic,http://www.google.com/base/feeds/snippets/8835348783533497285
298,14.86,,this innovative software series enables your disklavier mark iii piano to perform with the world's most popular cds! using yamaha's pianosmart technology this companion diskette will magically empower your disklavier mark iii to accompany the ...,yamaha james taylor james taylor - greatest hits - smart pianosoft,http://www.google.com/base/feeds/snippets/18057453863734492529
299,8.01,,select from a ready-made project or start from scratch. customize your creation with a wide variety of fonts colors and images. the perfect collection of high-quality graphics and projects help you get your message across in a way that is sure to ...,encore inc printshop business card maker,http://www.google.com/base/feeds/snippets/18240279639195527181
300,22.13,,a formula for instant success on the electric guitar! jorma kaukonen teaches licks solos lead lines and rhythm grooves to rival the best of them. instructional and entertaining jorma and electric hot tuna give powerful rock renditions of the songs ...,jorma kaukonen homespun the electric guitar of jorma kaukonen - blues rock & roll and beyond,http://www.google.com/base/feeds/snippets/18256476812177910363
301,14.86,,this innovative software series enables your disklavier mark iii piano to perform with the world's most popular cds! using yamaha's pianosmart technology this companion diskette will magically empower your disklavier mark iii to accompany the ...,larry cohn neil diamond yamaha neil diamond - the christmas album - smart pianosoft,http://www.google.com/base/feeds/snippets/17767743173326284703
302,25.77,,1. air on ag string (bach) 2. nocturne no. 2 opus 9 no. 2 in e flat (chopin) 3. swan lake (tchaikovsky) 4. piano sonata no. 8 ?pathetique? (beethoven) 5. sicilienne (faure) 6. serenade (schubert) 7. promenade - ?pictures at an expositi,hal leonard best of classic themes 2,http://www.google.com/base/feeds/snippets/17767590827351779112
303,499.99,,mac system requirements power mac g5; power mac g4 or powerbook g4 with 1ghz or faster powerpc g4 processor; or any intel core-based macintosh computer mac os x v10.4.6 or later quicktime 7.0.4 or later 512mb of ram or more 1gb of available disk ...,apple shake 4.1 mac os x,http://www.google.com/base/feeds/snippets/8317633865991250636
304,71.75,,includes: netbarrier keep your mac safe from hackers and vandals! powerful easy-to-use and fully customizable netbarrier x4 gives you total protection from hackers and vandals. whether you are a home user or an experienced network admi,intego inc internet security barrier x4 antispam edition,http://www.google.com/base/feeds/snippets/17787032142812456248
305,92.51,,mcafee® total protection peace of mind for your entire family today the variety of threats to your pc fi les and online identity is bewildering.viruses spyware hackers spam and emailscams online predators identitythie,mcafee inc total protection 2007 3-user,http://www.google.com/base/feeds/snippets/17771223071817478541
306,12.05,,business trip to berlin? holiday in hamburg? from munich to mannheim now you can join the conversation with instant immersion german the dynamic audio language learning system on 8 compact discs.,topics entertainment instant immersion german audio,http://www.google.com/base/feeds/snippets/17758143132560820340
307,14.86,,this innovative software series enables your disklavier mark iii piano to perform with the world's most popular cds! using yamaha's pianosmart technology this companion diskette will magically empower your disklavier mark iii to accompany the ...,amy grant yamaha amy grant - the collection - smart pianosoft,http://www.google.com/base/feeds/snippets/17756324079666668224
308,329.99,,system requirements powerpc® g4 or g5 or multicore intel processor mac os x v.10.4.9 1gb of ram for dv; 2gb of ram for hdv and hd 500mb of available hard-disk space plus 2gb of space for optional content (additional free space required during ...,adobe cs3 after effects academic,http://www.google.com/base/feeds/snippets/8148630564555070134
309,31.57,,a simple and small 1mb software download for pcs that significantly reduces the size of mp3 files by up to 4 times. a music file that is normally 5mb will be reduced to 1.25mb. using unique compression techniques developed by nasa this revolutionary ...,sos aggregation company shrink my tunes - z group,http://www.google.com/base/feeds/snippets/17763201391867148545
310,430.58,,readiris pro 11 corporate edition has all of the features and advanced functionality of readiris pro 11 as well as batch mode processing hot folder features bar code rading and indexing and multipage ocr capability. system req,iris inc readiris pro 11 corporate edition,http://www.google.com/base/feeds/snippets/17760107129811199554
311,145.7,,photoscore professional 4 is the fastest way to scan music for transpositions arrangement,sibelius sibelius photoscore professional 4,http://www.google.com/base/feeds/snippets/17820910954802049244
312,25.49,,the ultimate easy-to-use home design and remodeling solution that incorporates the latest design techniques and technologies to ensure your dream home becomes a reality. system requirements: pc: windows® 2000 sp4/xp (home and pro) sp2/vista,encore inc 3d home architect home design deluxe version 9,http://www.google.com/base/feeds/snippets/17817863026849640364
313,157.36,,adobe® acrobat® 8 professional software enables business professionals to reliably create combine and control adobe pdf documents for easy more secure distribution collaboration and data collection. system requirements: <l,adobe systems inc adobe acrobat 8.0 professional upsell (std-pro),http://www.google.com/base/feeds/snippets/17828266310377038415
314,18.5,,step into the limelight with kool karaoke ! this easy-to-use cd-rom is hours of great fun for everyone and guaranteed to liven up your next social gathering. it features fully adjustable tempo and pitch melody volume control changeable lyrics dis,vorton technologies kool karaoke,http://www.google.com/base/feeds/snippets/17821831926976881086
315,95.99,,system requirements a macintosh computer with a powerpc g4 or greater processor at least 512 megabytes (mb) of ram; 1 gigabyte (gb) recommended mac os x version 10.3 quicktime 6.5.2 or higher dvd drive for installation 12 gb of available disk space ...,apple garageband jam pack: world music,http://www.google.com/base/feeds/snippets/8498979351589060419
316,26.14,,video goes mobile converts your favorite movie or video clips into a format that can be played by portable devices including sony?s playstation portable? and apple?s new ipod? video! no matter whether you want to bring your movies to ? video go,abacus vuvideo anywhere for your ipod,http://www.google.com/base/feeds/snippets/17802084899902028186
317,37.18,,quickverse mac has been created from the ground up to be a truly native os-x application. any mac user interested in bible reading bible study sermon preparation = or teaching will quickly discover how easy the program is to use. quickverse mac ...,findex.com inc quickverse mac bible study 2007 white box,http://www.google.com/base/feeds/snippets/17790799708366999123
318,45.99,,system requirements: operating system: mac os x 10.3.6 or later cpu processor: powerpc g4/g5 or later cpu speed: 1ghz or faster memory: 256 mb or higher (512 mb recommended) hard disk space: 2.7 gb free disk space video card (ati): radeon 8500 or ...,aspyr star wars battlefront mac os x,http://www.google.com/base/feeds/snippets/13621555970489144689
319,14.86,,this innovative software series enables your disklavier mark iii piano to perform with the world's most popular cds! using yamaha's pianosmart technology this companion diskette will magically empower your disklavier mark iii to accompany the ...,yamaha eagles - hotel california - smart pianosoft,http://www.google.com/base/feeds/snippets/17811392338001408736
320,25.77,,1. theme from ?jurassic park? 2. theme from ?schindler's list? 3. indecent proposal (instrumental suite) 4. the fugitive 5. the pelican brief 6. the heart asks pleasure first (from the motion picture ?the piano?) 7. hea,mike garson screen themes '93,http://www.google.com/base/feeds/snippets/17807598841682851061
321,33.99,,system requirements macintosh mac os x 10.3 panther; 10.4 tiger g4 1.25 ghz processor 256mb ram 200mb hard disk space recommended - os x 10.4 tiger g5 1.8 ghz 512mb ram windows windows 98se me 2000 nt xp piii 1.0 ghz processor 256mb ram 32mb 3d ...,cosmic blobs: the lab rat edition by solidworks,http://www.google.com/base/feeds/snippets/8395248988761650431
322,89.99,,diskwarrior supports any mac os standard (hfs) or mac os extended (hfs plus) disk including raid volumes journaled disks case-sensitive disks filevaults and ipods. diskwarrior requires a g3 mac or better (such as a g4 g5 or any intel processor) ...,alsoft diskwarrior for intel,http://www.google.com/base/feeds/snippets/5935343405881149008
323,1659.99,,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 7gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom ...,adobe cs3 web premium,http://www.google.com/base/feeds/snippets/5767845185221029524
324,22.99,,system requirements: mac os x,macplay mah jong quest,http://www.google.com/base/feeds/snippets/6112085133304289995
325,415.99,,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 1.4gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,adobe dreamweaver cs3,http://www.google.com/base/feeds/snippets/5673733196767057398
326,699.99,,final cut studio 2. system requirements. minimum requirements to install all final cut studio applications a macintosh computer with a 1.25ghz or faster powerpc g4 powerpc g5 intel core duo or intel xeon processor 1gb of ram an agp or pci express ...,apple final cut studio 2 upgrade from final cut pro,http://www.google.com/base/feeds/snippets/5631550280326312479
327,71.99,,system requirements ipod any ipod with a clickwheel (4th generation) ipod must be formatted for windows ipod must be in disk mode 5mb disk space required (same as one song) computer windows 2000 or windows xp operating system outlook 2000 2002 or ...,powerhouse migo for ipod for windows,http://www.google.com/base/feeds/snippets/5764277216433211221
328,714.99,,macintosh computer with a powerpc g4 g5 or intel core duo processor; 733mhz or faster 128mb ram 850mb free hard-disk space for installation tcp/ip network for site license (using qla) cd-rom drive,quark xpress 7 (no returns),http://www.google.com/base/feeds/snippets/5693149482483031630
329,85.99,,operating system: macintosh os x 10.2 or higher processor: power mac g3 or higher memory (ram): 8 mb free hard disk space: 20 mb minimum screen resolution: 1024 x 768,microspot macdraft pe personal edition,http://www.google.com/base/feeds/snippets/5707639507589635432
330,725.99,,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 256mb ram (512mb recommended) 1.6gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,adobe indesign cs3 for mac,http://www.google.com/base/feeds/snippets/5536147337142384196
331,205.99,,to use microsoft virtual pc for mac version 7 users need: 700 mhz native* g3 g4 or g5 processor mac os x version 10.2.8-10.3; mac os x version 10.3 is required for the power mac g5 cd-rom drive 512 mb of ram 3 gb of available hard-disk space 1024 ...,microsoft virtual pc 7.0 windows xp home,http://www.google.com/base/feeds/snippets/5527718669808727624
332,35.99,,operating system: mac os x 10.3.8 or later cpu processor: powerpc g4/g5 cpu speed: 1.2ghz or faster memory: 256 mb or higher hard disk space: 3gb free disk space video card (ati): radeon 9000 or better video card (nvidia): geforce fx5200 or better ...,aspyr sims 2 nightlife expansion pack,http://www.google.com/base/feeds/snippets/5615075942724114350
333,47.99,,,heroes of might and magic v,http://www.google.com/base/feeds/snippets/5594535234342319545
334,39.99,,,git 40 years of marvel avengers dvd-rom,http://www.google.com/base/feeds/snippets/5364807314885028760
335,62.99,,content creation and editing tools multi-level outline processor w/custom ruler controls (single entry or multi-line capability) multi-level reorganizing controls (by entry level outline level page level and section level) rich text editing (font ...,aquaminds notetaker,http://www.google.com/base/feeds/snippets/5310740648374994867
336,109.99,,macintosh capable of running mac os x 10.4 or above mac os x 10.4 or greater. dvd-rom drive. 512 mb ram or greater. 2 gb or larger target device like an older ipod or other external media device. * features denoted with * are only available on os 9 ...,micromat techtool protogo,http://www.google.com/base/feeds/snippets/5562499905130838466
337,939.99,,,adobe cs3 master collection academic,http://www.google.com/base/feeds/snippets/5521627113113350450
338,24.99,,system requirements mac os 10.3 or newer,allume internet cleanup 3.0,http://www.google.com/base/feeds/snippets/5520835678868977029
339,45.99,,system requirements: any macintosh with 600mhz or faster processor mac os x v10.2.8 or higher 256mb ram (512 recommended for online play) 32mb video card monitor with support for 1024 x 768 or higher resolution cd-rom drive 1gb free hard drive space ...,destineer rise of nations gold edition,http://www.google.com/base/feeds/snippets/5505866551596188643
340,42.99,,,git 44 years of marvel fantastic 4 dvd-rom,http://www.google.com/base/feeds/snippets/7147648211015076337
341,85.99,,system requirements: mac os x 10.2 or later 450mhz powerpc g3 processor or higher 256mb of ram (512mb strongly recommended) 520mb free disk space,microspot interiors version 3.6,http://www.google.com/base/feeds/snippets/7150077051864937455
342,2335,,system requirements: 1-50 clients macintosh macintosh computer with powerpc g4 or g5 processor macintosh computer with intel-based processor 256mb of ram (1 gb recommended) cd or dvd drive mac os x 10.3.9 or 10.4.5 for intel-based processors hard ...,filemaker server 8 advanced,http://www.google.com/base/feeds/snippets/7260270402298131072
343,49.99,,product datasheet (pdf: 628kb),emc insignia retrospect desktop 6 upgrade,http://www.google.com/base/feeds/snippets/7096777439591011451
344,89.99,,product datasheet (pdf: 628kb),emc insignia retrospect desktop 6.x,http://www.google.com/base/feeds/snippets/6607475390801476875
345,45.99,,system requirements: subject to change g4/g5 or intel processor running at 1.4ghz or faster mac os x v10.3.9 or higher 512mb ram 64 mb video card (with support for hardware t & l). 56k dial-up internet access or lan for online play,ages of empires iii,http://www.google.com/base/feeds/snippets/6645838516644564026
346,179.99,,system requirements mac osx tiger power pc g3 512 mb ram,marware project x project management software,http://www.google.com/base/feeds/snippets/6176694480450258174
347,289.99,,minimum requirements for full installation : pc with pentium® processor (or equivalent) @ 200mhz or better minimum of 64 mb ram 50mb of available hard drive space for program installation average of 35 mb additional hd space for each company file ...,myob premier accounting for small business 2007-windows,http://www.google.com/base/feeds/snippets/6268911701133796181
348,125.99,,system requirements mac os x v10.3.9 or later (v10.4.5 recommended) 1ghz g4 processor or higher (universal binary supported) 768mb ram 150mb free hard-disk space 1024x768 or higher screen resolution cd-rom drive for installation,marketcircle daylite 3 customer relationship management crm,http://www.google.com/base/feeds/snippets/6490413833919329208
349,19.99,,minimum macintosh system requirements mac operating system macintosh system 10.2 mac system memory 128mb ram mac hard drive space 12mb,brighter minds diner dash,http://www.google.com/base/feeds/snippets/4295762370065792405
350,23.99,,system requirements mac os x v10.4.8 1.0ghz or faster powerpc g4 or g5 or intel core duo processor (1.2ghz recommended) 256mb ram (512mb recommended) 400mb free hard-disk space video card: ati radeon 9000 or nvidia geforce fx5200 video chipset: ...,rollercoaster tycoon 3 soaked,http://www.google.com/base/feeds/snippets/4282890852330556387
351,724.99,,system requirements 1ghz or faster powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 2.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ...,adobe cs3 flash professional,http://www.google.com/base/feeds/snippets/4287560991242110323
352,44.95,,system requirements mac os x v10.4 or later 1.6ghz powerpc or intel processor 512mb ram 64mb vram 3gb free hard-disk space mouse and keyboard dvd drive,aspyr lego star wars ii,http://www.google.com/base/feeds/snippets/4233168214815079628
353,1437.99,,,adobe cs3 master collection upsell from cs2,http://www.google.com/base/feeds/snippets/4247841323668156699
354,1025.99,,system requirements powerpc® g4 or g5 or multicore intel processor mac os x v.10.4.9 1gb of ram for dv; 2gb of ram for hdv and hd 500mb of available hard-disk space plus 2gb of space for optional content (additional free space required during ...,adobe cs3 after effects,http://www.google.com/base/feeds/snippets/4224056639442959853
355,47.99,,star wars: empire at war lets players rewrite history while they experience the aftermath of revenge of the sith. set a few years before the events of a new hope the game chronicles the start of the rebel alliance & darth vader's rise to power. ...,aspyr star wars empire at war,http://www.google.com/base/feeds/snippets/4142751275091158911
356,95.99,,system requirements requires garageband (installed with ilife '04 or '05)* logic express 7 or logic pro 7. soundtrack supports loops only in jam packs. macintosh computer with g3 600mhz processor or higher to use apple loops (g4 or g5 required for ...,apple garageband jam pack: symphony orchestra,http://www.google.com/base/feeds/snippets/4178014773187756948
357,199.99,,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 2.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,adobe illustrator cs3 for mac academic,http://www.google.com/base/feeds/snippets/4058027556169196919
358,29,,system requirements: macintosh os 10.3.x or 10.4.x. g4 or faster processor 256 mb ram minimum (512 mb ram recommended) 1.10 gb free hard-drive space (4.3 gb for full installation) cd-rom drive 1024x768 resolution millions of colors sound card and ...,avanquest encyclopedia britannica 2006,http://www.google.com/base/feeds/snippets/3987571280945693014
359,52.99,,system requirements: os10.3,mariner calc spreadsheet software,http://www.google.com/base/feeds/snippets/3997486488729671932
360,264.99,,windows system requirements microsoft® windows® xp with service pack 2 intel® pentium® 4 processor 768mb of ram (1gb recommended) 1gb of available hard-disk space 1024x768 screen resolution cd-rom drive macintosh system requirements mac os x v.10.4 ...,adobe photoshop lightroom,http://www.google.com/base/feeds/snippets/3907261301303045278
361,159.99,,system requirements powerpc or intel core duo processor mac os x v10.4.3 256mb ram (512mb recommended) 1gb free hard-disk space 1024 x 768 display resolution dvd-rom drive,adobe acrobat v8.0 professional for mac academic,http://www.google.com/base/feeds/snippets/3911347389465432711
362,169.99,,system requirements macintosh macintosh computer with a powerpc g3 g4 g5 processor or intel processor 256mb of ram cd or dvd drive and hard disk drive mac os x 10.3.9 for powerpc-based macs or mac os x 10.4.5 for intel-based macs windows pentium ...,filemaker pro 8.5 upgrade,http://www.google.com/base/feeds/snippets/3904233865329859068
363,555.99,,click here to download the pdf datasheet. system requirements: backup system requirements for retrospect server mac os 9 mac os x or mac os x server 10.1.5 or later* 256 mb of ram (512 mb recommended) hard disk with at least 200 mb free network ...,emc insignia retrospect server 6,http://www.google.com/base/feeds/snippets/3749596678045101672
364,1149,,system requirements macintosh macintosh computer with a powerpc g3 g4 g5 processor or intel processor 256mb of ram cd or dvd drive and hard disk drive mac os x 10.3.9 for powerpc-based macs or mac os x 10.4.5 for intel-based macs windows pentium ...,filemaker pro 8.5 5-user pack,http://www.google.com/base/feeds/snippets/3741427623906179531
365,169.99,,system requirements: ? mac os x 10.2 or later ? 500 mhz g3 processor (700 mhz g4 or faster recommended) ? 256 mb system ram (512 mb or more recommended) ? 500 mb free hard disk space (2 gb recommended) ? 24-bit color display 1024 x 768 resolution ? ...,allume poser 6 for mac,http://www.google.com/base/feeds/snippets/3704829860217910239
366,145.99,,system requirements powerpc or intel core duo processor mac os x v10.4.3 256mb ram (512mb recommended) 1gb free hard-disk space 1024 x 768 display resolution dvd-rom drive,adobe acrobat v8.0 professional for mac upgrade,http://www.google.com/base/feeds/snippets/3626343668255224722
367,413.99,,intel pentium 4 intel centrino intel xeon or intel core duo (or compatible) processor microsoft windows xp with service pack 2 or windows vista home premium business ultimate or enterprise (certified for 32-bit editions) 1gb of ram 4gb of ...,adobe cs3 design standard upgrade windows,http://www.google.com/base/feeds/snippets/3621810113236094380
368,1639.99,,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 6.3gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ...,adobe cs3 design premium upsell,http://www.google.com/base/feeds/snippets/3607173973836413689
369,53.99,,system requirements: operating system: mac os x 10.2.8 or later cpu processor: powerpc g4 or later cpu speed: 700 mhz or faster memory: 256 mb or higher hard disk space: 2.0 gb free disk space video card (ati): radeon 7500 or better video card ( ...,aspyr simcity 4 deluxe,http://www.google.com/base/feeds/snippets/3517623052530241119
370,189.99,,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram 64mb vram 2gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive internet or ...,adobe photoshop cs3 for mac upgrade,http://www.google.com/base/feeds/snippets/3473826515983580841
371,308.99,,multicore intel® processor (adobe® onlocation? cs3 is a windows application that may be used on macintosh using boot camp and windows sold separately) mac os x v.10.4.9 1gb of ram for dv; 2gb of ram for hdv and hd 10gb of available hard-disk space ...,adobe premiere pro cs3 upgrade,http://www.google.com/base/feeds/snippets/5181661570525386541
372,189.99,,mac os 10.3.x or higher,symantec norton anti-virus 10 mac 5 user pack,http://www.google.com/base/feeds/snippets/5196111013090642318
373,45.99,,system requirements: operating system: mac os x 10.3.9 or later cpu processor: powerpc g4/g5 or intel chipset cpu speed: 1.67 ghz or faster memory: 512 mb or higher hard disk space: 3.0 gb free disk space video card (ati): radeon 9600 video card ( ...,aspyr quake iv,http://www.google.com/base/feeds/snippets/5216541735240789992
374,95.99,,top features fast user switching new simplified visual design windows media player windows messenger windows movie maker my pictures automatic updates internet explorer 6 remote assistance system restore network setup wizard tools and games for the ...,microsoft windows xp home edition sp2 oem,http://www.google.com/base/feeds/snippets/5155217336879101407
375,82.99,,system requirements macintosh powerpc g3 or greater. mac os x 10.4 or greater. dvd-rom drive. 512 mb ram or greater. product datasheet [pdf: 44kb],micromat tech tool pro 4.5,http://www.google.com/base/feeds/snippets/5168261559363303902
376,145.99,,system requirements macintosh macintosh computer with a powerpc g3 g4 g5 processor or intel processor 256mb of ram cd or dvd drive and hard disk drive mac os x 10.3.9 for powerpc-based macs or mac os x 10.4.5 for intel-based macs windows pentium ...,filemaker pro 8.5 academic,http://www.google.com/base/feeds/snippets/4994413928310800934
377,1399,,,filemaker server 8 option pack,http://www.google.com/base/feeds/snippets/4997048253367017859
378,55.99,,system requirements: operating system: mac os x 10.2.8 or later cpu processor: powerpc g4 or later cpu speed: 1ghz or faster memory: 256 mb or higher hard disk space: 2.8gb free disk space video card (ati): radeon 7500 or better video card (nvidia): ...,aspyr command and conquer generals deluxe mac,http://www.google.com/base/feeds/snippets/4837330611493150937
379,23.99,,system requirements mac os x v10.1.5 or later 233mhz powerpc g3 or faster processor 64mb ram 20mb free hard-disk space 16-bit color 24x cd-rom drive,i spy mystery by topics entertainment,http://www.google.com/base/feeds/snippets/4929835642878678875
380,49.99,,super fast shipping - platinum reseller ratings - over 12 years in business wordperfect office 12 is a feature-rich compatible office productivity suite that offers powerful functionality at a competitive price. complete with word processing ...,corel corel word perfect office 12 upgrade,http://www.google.com/base/feeds/snippets/15812045656958608251
381,9.99,,super fast shipping - platinum reseller ratings - over 12 years in business jump into an all-out raging firefight! from bazookas to battleships a massive arsenal is at your command. prepare to face the enemy in the air.. in the deep.. and on the ...,ea sports battlefield 1942: deluxe edition (pc) game,http://www.google.com/base/feeds/snippets/16452108546715101414
382,499.99,,system requirements mac os x v10.3.9 or later; some features require mac os x v10.4 ethernet (recommended) airport (802.11b/g) or ip over firewire network connection requires mac os x v10.4 tiger or later on client system. requires mac os x v10.4 ...,apple remote desktop 3 unlimited managed systems,http://www.google.com/base/feeds/snippets/4834494816656344498
383,9.99,,super fast shipping - platinum reseller ratings - over 12 years in business,cyberlink power director 3,http://www.google.com/base/feeds/snippets/17409160117322953940
384,6.99,,super fast shipping - platinum reseller ratings - over 12 years in business,cosmi print perfect clip art deluxe,http://www.google.com/base/feeds/snippets/17530305432950801722
385,4.99,,super fast shipping - platinum reseller ratings - over 12 years in business,sony pc video game - the station access collection - dvd-rom,http://www.google.com/base/feeds/snippets/14326164391298371952
386,7.99,,super fast shipping - platinum reseller ratings - over 12 years in business,agatha christie and then there were none e (pc) tha christi,http://www.google.com/base/feeds/snippets/14837029540644805566
387,9.99,,super fast shipping - platinum reseller ratings - over 12 years in business the ultimate sport of kill-or-be-killed is now an explosive new experience with mind-blowing new ways to move like lightning and annihilate enemies. for the first time ...,atari unreal tournament 2004: dvd edition (pc) game,http://www.google.com/base/feeds/snippets/14982952588732100452
388,19.99,,super fast shipping - platinum reseller ratings - over 12 years in business,ubisoft brothers in arms: road to hill 30 (pc) thers in ar,http://www.google.com/base/feeds/snippets/15577341303347278445
389,11.23,,learning to solo has never been easier or more affordable. the dynamic ?soloing series? offers the essential elements every soloist needs. each dvd runs approximately 40-50 minutes and comes complete with an accompanying booklet showing exampl,danny gill modern rock guitar soloing,http://www.google.com/base/feeds/snippets/18323935534288004943
390,43.99,,system requirements: mac os x 10.3 or later powerpc g3 or g4 processsor and 256mb ram,circus ponies notebook 2.0,http://www.google.com/base/feeds/snippets/4549566074000049896
