title,starring,entityUrl,writer,editor
,Cheryl Lawson,Match1655,Brett Leonard,
The Lighthorsemen,Anthony Andrews,Match13604,Ian Jones (author),
A Sanitarium Scramble,Sylvia Ashton,D11493,,
,Orlando Jonathan Blanchard Bloom,D11494,Ted Elliott,
Vargam,Prithviraj,Match22756,M. Padmakumar,
,Araceli Jover,Match22844,Chris Nahon,
,,Match4854,W. Boyd Ford,
Chao ji ji hua,Yeoh Choo-Kheng,Match2417,,
,Teuku Zakaria,Match19612,,
,Olivia d'Abo,Match5251,,
Scarlet Street,Emanuel Goldenberg,Match13162,Georges de La Fouchardière,
High Anxiety,Howard Morris,Match5386,Barry Levinson,
Civil Brand,Da Brat,Match4230,Preston A. Whitmore II,
,Lisa Niemi,Match17245,Doug Lefler,
The Fluffer,Roxanne Day,Match12582,Wash West,
Goopy Gyne Bagha Byne,Jahar Roy,Match11719,Satyajit Ray,
,Prashanth,D11507,,
,,D11508,Michael Crichton,
Conquest of Space,Mickey Shaughnessy,Match1152,,
"Ride Him, Cowboy",Marion Robert Morrison,Match21081,"Kenneth Perkins (novel)
Scott Mason",
,Yvan Ponton,Match18019,David Cronenberg,
,Tony Leech,Match21484,Jeff Bates,
Taps,Timothy Tarquin Hutton,Match13986,Darryl Ponicsan,
Bellyfruit,Tamara LaSeon Bass,Match12804,Susannah Blinkoff,
Killdozer,,Match16151,Theodore Sturgeon,
Foul Play,Cornelius Crane Chase,Match14103,Colin Higgins,
,Kondavalasa Lakshmanarao,D11517,M. S. Narayana,
9,Martin Landau,D11518,"Shane Acker
Pamela Pettler
Ben Gluck",
The Blindflyers,Ricarda Ramünke,D11519,Bernd Sahling,
The Book of Revelation,Tom Long (actor),Match20354,Rupert Thomson,
,Joe E. Brown,Match11698,John McGowan,
,Juan Carlos Ortuno),Match17988,Juliu00E1n Hernu00E1ndez,
Battle Royale,Taro Yamamoto,Match16047,Koushun Takami,
Solaris,Anatoly Solonitsyn,Match21193,Stanis?aw Lem,
,Anthony Chan,Match331,Gordon Chan,
Two-Fisted Law,Jacquiline Alice Newlin,Match20376,Kurt Kempler,
Rosewood,Bruce McGill,Match439,Gregory Poirier,
Behind Enemy Lines,Eugene Alden Hackman,Match11923,John Thomas (screenwriter),
Orange County,Michael Christopher White,Match19437,Michael Christopher White,
,"Ignacio Benu00EDtez
Carlos Wagner",Match3752,Carlos Soru00EDn,
,Baby vinodini,D11531,,
King Rikki,Tonantzin Carmelo,Match16290,William Shakespeare,
Where Sleeping Dogs Lie,Sharon Vonne Stone,D11533,Yolande Turner,
Lord Jim,James Neville Mason,Match9703,Joseph Conrad,
,Aidan Murphy,Match12900,Patrick Chapman,
Lorenzo's Oil,Susan Abigail Tomalin,Match20622,Nick Enright,
,Danny Trejo,D11537,Gil Fuentes,
Under Two Jags,Arthur Stanley Jefferson,Match16198,,
,Lisa Heughan,Match12144,Jason Wolthuizen,
,Kiefer William Frederick Dempsey George Rufus Sutherland,Match20684,E.T.A. Hoffmann,
Magic Formula,Lily Claudette Chauchoin,D11541,Bill Scott,
633 Squadron,Harry Fleetwood Andrews,Match16564,Frederick E. Smith (author),
,Robert Mitchum,D11543,Zane Grey,
His New Profession,Charley Chase,Match15481,,
Nishant,Amrish Lal Puri,D11545,Satyadev Dubey,
The Magus,Michael Caine,Match10565,John Fowles,
Where Hazel Met the Villain,Roscoe Arbuckle,Match20348,,
,Dorothy Malone,Match3436,Steve Neill (screenplay),
,Bob O'Connor,Match16278,Ewart Adamson,
Happy Accidents,Vincent Phillip D'Onofrio,Match3561,Brad Anderson (film director),
,Katja Schuurman,Match10421,,
,Kamal Haasan,D11552,,
,Sergio Poves Campos,D11553,Alejandro Agresti,
,Ann Todd,Match9473,Stanley Haynes,
,Dragan Nikoli?,Match9952,u017Deljko Sou0161iu0107,
Bartok the Magnificent,Andrea Louise Martin,Match21783,Jay Lacopo,
,Robert Hossein,Match16885,Claude Lelouch,
,John Diehl,Match20032,Tom Ropelewski,
,Prashanth,D11559,,
,Alfred Marks,Match22579,Leigh Vance,
,Spade (otter),Match14220,Gerald Durrell,
Serial (film),Howard Harold Ravenscroft,Match21100,Ewart Adamson,
Those Country Kids,Roscoe Arbuckle,Match15382,,
,Chu Sang-mi,Match16968,Jeon Soo-il,
When in Rome,"Mary-Kate Olsen
Ashley Fuller Olsen",D11565,Michael Swerdlick,
Genesis,Shabana Azmi,Match8977,Samaresh Bose,
,Libuše Šafránková,Match20844,František Pavlí?ek,
,Jacques O'Mahoney,Match17165,,
"Truly, Madly, Deeply",Juliet Anne Virginia Stevenson,D11569,Anthony Minghella,
Manslaughter,Leatrice Joy,Match21364,Jeanie MacPherson,
,Jean-Paul Belmondo,Match20217,Pierre Lesou,
,Ángela Molina,Match12913,Manuel Gutiérrez Aragón,
If I Had A Million,W.C. Fields,Match16293,Robert Hardy Andrews,
Dementia,Adrienne Barrett,Match2892,John Parker,
Overnight Delivery,Paul Stephen Rudd,Match9006,Marc Sedaka,
Gong Wu,Jacky Cheung,Match9681,To Chi-long,
Angels in the Outfield,Paul Douglas (actor),Match18253,Dorothy Kingsley,
The Ordeal,"Laurent Lucas, Jackie Berroyer, Philippe Nahon, Jean-Luc Couchard.",Match12145,"Fabrice Du Welz, Romain Protat",
Deepwater,Lucas York Black,Match16779,David S. Marfield,
Other People's Money,Daniel Michael DeVito Jr.,D11580,,
,Katrina Kaif,Match15006,Sanjay Chel,
Palme d'Or,Émilie Dequenne,Match21197,Jean-Pierre Dardenne,
,Hank Albert Azaria,D11583,Brett Morgen,
,Peter Williams,D11584,"Frances-Anne Solomon, Michele Lonsdale-Smith",
Jesus Christ Vampire Hunter,Murielle Varhelyi,Match11196,Ian Driscoll,
Cabin Fever 2: Spring Fever,Amanda Jelks,D11586,Ti West,
Sigaw,Angu00E9lica Locsu00EDn Colmenares,Match19221,Roy C. Iglesias,
,Tara Lynn Charendoff,Match10879,Daniel Derendsen,
,Charlotte Rampling,Match22712,Raymond Chandler,
Asu o tsukuru hitobito,Hideko Takamine,Match14585,Kajiro Yamamoto,
Music of the Heart,Aidan Quinn,Match20207,Pamela Gray,
The Man with My Face,Lynn Ainley,Match15402,"Vin Bogert
Tom McGowan
Edward Montagne
Samuel W. Taylor",
Desire,Judith Chapman,Match15947,Eddie Romero,
,Kamal Haasan,D11594,,
Born Yesterday,John Stephen Goodman,Match19682,Garson Kanin,
,David Beard,Match19839,"Stefan Avalos
Lance Weiler",
,Peter Dobson,D11597,Kelli Pryor,
,Maggie Pierce,D11598,Robert E. Kent,
,,Match15160,,
Mixed and Fixed,Bobby Burns,Match8615,,
Love Is All There Is,Joseph Bologna,Match21627,Erik Shapiro,
Prieu0161 parskrendant u012F u017Eemu0119,,D11602,,
,Webb Parmalee Hollenbeck,Match10944,,
,Harry von Meter,Match21884,,
,Sunil Shetty,Match16026,J. P. Dutta,
,Dharmendra,Match16053,,
Sora tobu yu00FBreisen,,Match10364,Shotaro Ishinomori,
,Karthik Sivakumar,Match15991,,
,Herbert Lathrop,Match15661,Theodosia Harris,
Zelda,Timothy Tarquin Hutton,Match11551,Anthony Ivor,
Desperate Trails,Henry DeWitt Carey II,Match6163,Elliott J. Clawson,
La Fidelidad,,Match22852,Juan José Jusid,
The Formula,"Chris Hanel
Abe Peterka
Justin Whitlock
Rebecca Peterka",Match12402,"Stephen Phelan
Chris Hanel",
,Herschel Walker,Match15723,Catherine Crouch,
Atomic Train,Esai Morales,Match8811,Jeff Fazio,
The Gun Packer,Pete Morrison,Match21219,John Martin Feeney,
Death In Gaza,James Miller (filmmaker),Match14514,Saira Shah,
,Alexa Ellesse Vega,D11618,Robert Rodriguez,
,,Match6979,Abbas Kiarostami,
No Skin Off My Ass,Klaus von Brücker,Match14581,Bruce LaBruce,
Rollover,Lady Jayne Seymour Fonda,Match10939,David Shaber,
,Silvana Mangano,Match14292,Thomas Mann,
D'Girlz Begins,,D11623,Tengku Firmansyah,
Night of the Seagulls,Víctor Petit,Match4140,Amando de Ossorio,
On Deadly Ground,Joan Chen,Match18361,Robin U. Russin,
,Frank Esmond,Match6010,Laurence Cowen,
The Plow That Broke the Plains,,Match22149,Pare Lorentz,
,Kevin Eldon,D11628,Chris Shepherd,
,Edward James Olmos,D11629,Richard Kramer,
,Terron Brooks,D11630,"Robert Johnson
Kevin Arkadie",
,Samuel Barnett (actor),Match4207,Alan Bennett,
,Marguerite Snow,Match15474,,
The Fox and the Hound,"Joseph Yule, Jr.",Match21946,Ted Berman,
Get Carter,Ian Hendry,Match9251,Mike Hodges,
,Francis Matthews,Match7610,Sonya Levien,
Chitty Chitty Bang Bang,Lionel Jeffries,Match8672,Roald Dahl,
The Haunted Mansion,Terence Stamp,Match21310,David Berenbaum,
,Vijay (actor),D11638,,
Bikini Beach,Frankie Avalon,Match5936,Robert Dillon,
"Karayuki-san, the Making of a Prostitute",,Match20539,,
Columbia Pictures,,D11641,,
,Barbara Hale,Match10442,Ben Barzman,
,Nathan Phillips (actor),Match6376,Paul Currie,
Cupid Angling,Ruth Roland,Match5793,Leon F. Douglass,
Six-Shooter Justice,Henry DeWitt Carey II,Match7563,George Hively,
,Samuel Horwitz,D11646,Elwood Ullman,
,Padmavasanthi,Match13348,,
Carmen,Geraldine Farrar,Match14386,Prosper Mérimée,
Fear and Trembling,Kaori Tsuji,Match10371,Alain Corneau,
Dr. Seuss' How the Grinch Stole Christmas,Taylor Momsen,Match4336,Dr. Seuss,
Visitor Q,Kazushi Watanabe,D11651,Itaru Era,
Salesman,Jamie Baker (salesman),D11652,,
Thrasin',Chuck McCann,Match16353,Paul Brown (producer),
,William Davis Garwood Jr.,Match5508,,
The Asphalt Jungle,Jean Shirley Verhagen,Match7940,W. R. Burnett,
Like Mike 2: Streetball,Michael David Adamthwaite,Match11974,Allie Dvorin,
My Name Is Bill W.,Margaret Jobeth Williams,Match8463,William G. Borchert,
,R.G. Armstrong,Match8920,Fred Williamson,
The Bad News Bears in Breaking Training,Jackie Earle Haley,Match20506,Paul Brickman,
Sydney White,Sara Paxton,D11660,Chad Creasey,
Coach Carter,Rob Brown (actor),Match22860,Mark Schwahn,
One Day in Europe,Luidmila Tsvetkova,Match11750,Hannes Stöhr,
,Balthus,D11663,Damian Pettigrew,
The Quatermass Xperiment,Thora Hird,Match12439,Richard Landau,
,Jamie Smith,Match16461,Howard Sackler,
,"Jerry Hsu, Louie Barletta, Caswell Berry",D11666,,
,Paul McCartney,D11667,Bob Smeaton,
Angel Rodriguez,Rachel Anne Griffiths,D11668,Hannah Weyer,
Marmoulak,Maedeh Tahmasebi,Match8828,Peiman Ghasemkhani,
,Mary Ainslee,D11670,,
,Delia Boccardo,Match11307,Leonardo Martín,
The Christmas That Almost Wasn't,Rossano Brazzi,D11672,Paul Tripp,
Road to Rio,Leslie Townes Hope,Match20764,Edmund Beloin,
Berlin International Film Festival,Héctor Alterio,Match11404,Manuel Gutiérrez Aragón,
,Wallace Fitzgerald Beery,Match6891,Ben Hecht,
,Olavi Ahonen,Match11984,Spede Pasanen,
,"Thomas Lister, Jr.",Match1113,"Jack Sholder 
 Peter Atkins (characters)",
The Lucky Ones,Michael Pena,D11678,"Neil Burger
Dirk Wittenborn",Naomi Geraghty
Laserblast,Ron Masak,Match5981,Frank Ray Perilli,
Western Union,Robert George Young,Match6911,Zane Grey,
,Matthew Raymond Dillon,Match9833,Alan Ormsby,
A Lucky Day,Valentina Bassi,D11682,"Sandra Gugliotta
Marcelo Schapces",
My Beautiful Laundrette,Daniel Michael Blake Day-Lewis,Match7570,Hanif Kureishi,
,,D11684,Ian A. Stuart,
,Philip St. John Basil Rathbone,Match12889,Arthur Conan Doyle,
,Walter Houghston,Match16423,Robert Riskin,
,Sarah Douglas,Match10916,Bob Logan (film director),
Wannabe,Frances Bathory,Match7886,Frances Bathory,
Nickelodeon,Tatum Beatrice O'Neal,Match10544,W.D. Richter,
,Gamini Fonseka,D11690,Mike Wilson(director),
Valu00E9rie,Danielle Ouimet,Match3536,Richard Sadler,
Unser tu00E4glich Brot,,Match11788,Wolfgang Widerhofer,
,Sarah Thompson,Match12488,Roger Kumble,
,Kamal Haasan,D11694,,
,Robert Dryer,Match16332,Peter Knight Silander,
Master with Cracked Fingers,u9673u6E2Fu751F (Chan Kong Sang),D11696,,
Croupier,Paul Reynolds,Match15328,Paul Mayersberg,
,Trish Doolan,Match8388,Trish Doolan,
,Harley Jane Kozak,Match6348,Bobby Fine,
Legion of the Night,Ron Asheton,Match6871,Matt Jaissle,
The Shakedown,,Match1427,,
Telefon,Donald Henry Pleasence,Match13686,Novel,
,,D11703,Toshiki Inoue,
The Creeping Flesh,Lorna Heilbron,Match12390,Jonathan Rumbold,
,Zakes Mokae,Match10218,Richard Stanley (film director),
,Kristina Anapau,Match530,Rhett Reese,
Confession of Pain,Xu Jinglei,D11707,Felix Chong,
Patriot Games,Todd Jones,Match7560,Tom Clancy,
Mr. Smith Goes to Washington,Gladys Georgianna Greene,Match6268,Lewis R. Foster,
Lonely Boy,Paul Anka,Match7157,,
Saturn Award for Best Science Fiction Film,Jeff Kober,Match9301,Rockne S. O'Bannon,
Goldrush: A Real Life Alaskan Adventure,Bruce Lorne Campbell,Match483,Jacqueline Feather,
Peter Pan,Roland Dupree,Match3524,William Cottrell,
Wuthering Heights,Michael James Vogel,Match8303,Max Enscoe,
Gli ultimi giorni di Pompei,Victor Varconi,Match6151,Edward George Bulwer-Lytton,
,Gordon Liu,D11716,,
BAFTA Award for Best Film,John Vincent Hurt,Match16741,Christopher De Vore,
,Liv Rundgren,Match11349,Carol Heikkinen,
Turistas,Olivia Wilde,Match15169,Michael Arlen Ross,
,Yu Rongguang,D11720,Li Pik-wah,
,Roger Rees,D11721,John Mortimer,
Stiffy,James Bachman,Match15676,Alice Lowe,
,Georgette Andru00E9 Barry,Match2200,"Bert C. Brown (story)
Milton M. Raison (story)
Boris Ingster
Leo Townsend",
Mean Girls,Lindsay Dee Lohan,Match15053,Elizabeth Stamatina Fey,
,William Eythe,Match8149,George Seaton,
Riders,Bruce Martyn Payne,D11726,Mark Ezra,
Chickens Come Home,Oliver Hardy,Match8641,H.M. Walker,
Nosferatu,Ruth Landshoff,Match6760,Bram Stoker,
Greed,Dale Fuller (actor),Match7752,Erich Oswald Stroheim,
,Vinod Khanna,Match15893,,
,James Tien (actor),D11731,u9673u6E2Fu751F (Chan Kong Sang),
The Black Sheep of Whitehall,Lewis Ernest Watts Mills,Match15135,Angus MacPhail,
I'll Do Anything,Tracey Ullman,Match14680,James L. Brooks,
Columbia Pictures,,D11734,,
Paap,Udita Goswami,Match12112,Mahesh Bhatt,
The Incredible Journey of Mary Bryant,Nigel John Dermot Neill,Match6015,Peter Berry,
,Gary Cole,Match2488,Adam McKay,
The Amateurs,Joseph Peter Pantoliano,D11738,Michael Traeger,
On Borrowed Time,Cedric Webster Hardwicke,Match8135,Frank O'Neill (writer),
Halloween 4: The Return of Michael Myers,Ellie Cornell,Match5194,Danny Lipsius,
,Maxim Roy,D11741,"Randall M. Badat 
 Rob Kerchner",
The Affair of the Necklace,Hilary Ann Swank,Match4304,John Sweet,
"Oppsite Sex, The",Joan Henrietta Collins,Match2201,Michael Kanin,
About Adam,Stuart Townsend,Match6936,Gerald Stembridge,
Taffin,Ray McAnally,Match16938,David Ambrose,
"Black Mama, White Mama",Pamela Suzette Grier,Match16402,"H.R. Christian
Jonathan Demme",
Midnight,Lily Claudette Chauchoin,Match3778,Charles Brackett,
God of Gamblers,u5289u798Fu69AE),Match7115,Wong Jing,
,Miriam Makeba,Match19992,Lionel Rogosin,
,Walter Ray Williams,Match22562,Christopher Browne,
,Christian Ulmen,Match3025,Michel Houellebecq,
Darkened Room,Cerina Vincent,Match22780,David Keith Lynch,
,Paul Dooley,Match7253,Larry Mintz,
Simply Irresistible,Sarah Michelle Gellar,Match14649,Judith Roberts,
,Joshua Carter Jackson,Match3684,Rick Stevenson,
Barton Fink,Steven Vincent Buscemi,Match22021,Coen Brothers,
,Howie Michael Mandel II,Match5243,Terry Rossio,
Anne of the Indies,Debralee Griffin,Match10749,,
Ator l'invincible,Edmund Anthony Cutlar Purdom,Match6443,Michele Soavi,
,Michael Tucci,Match8945,Peter Malkin,
Antony and Cleopatra,Carmen Sevilla,Match7663,John Charles Carter,
,William Phillips,Match6482,"Edward E. Paramore, Jr.",
The Merry Widow,Marie Adrienne Koenig,Match20555,Benjamin Glazer,
My Blue Heaven,Carol Kane,Match3013,Nora Ephron,
,Larry Fine (actor),Match15351,Zion Myers,
The Fall Guy,Oliver Hardy,Match7062,"Edward L. Moriarty
Larry Semon
Norman Taurog",
The Secret People,Valentina Cortese,Match2702,"Thorold Dickinson
Wolfgang Wilhelm",
Stepping Out,Liza Minnelli,Match3911,Richard Harris (television writer),
,Eli Wallach,Match789,Sheldon Keller,
27 Dresses,Malin Åkerman,D11770,Aline Brosh McKenna,
Night and Day,Archibald Alec Leach,Match4454,Leo Townsend,
Filmfare Best Movie Award,Rani Mukherjee,Match20970,Sanjay Leela Bhansali,
,Anna Jemison,Match21057,Thomas Kenneally,
Samantha,Mary Kay Place,Match3728,John Golden,
Sweeney Todd: The Demon Barber of Fleet Street,Sacha Noam Baron Cohen 1987,D11775,Stephen Sondheim,
Country Hotel,"Prachuap Lukgamdi
Chana Sriubon
Sarinthip Siriwan",Match20752,Rattan Pestonji,
Cu00F3micos,Manuel Alexandre,Match10128,Juan Antonio Bardem,
Se Tutte le Donne del Mondo,Krikor Ohanian,Match6239,,
Ruby Bridges,Penelope Ann Miller,Match9146,Toni Ann Johnson,
Backstreet Dreams,Brooke Christa Camille Shields,Match5016,Jason O'Malley,
Where the Sidewalk Ends,Carver Dana Andrews,Match6144,Robert E. Kent,
Il mestiere delle armi,Dimitar Ratchkov,Match20937,Ermanno Olmi,
Cure,Masato Hagiwara,D11783,Kiyoshi Kurosawa,
Kagen no tsuki,Chiaki Kuriyama,Match10824,Ken Nikai,
Free Willy 3: The Rescue,Jason James Richter,Match22161,John Mattson,
,Zachary Bennett,Match7034,Writers Guild of America,
,Joan Chen,Match17242,David Henry Hwang,
Cradle of Fear,Emily Booth (actress),D11788,Alex Chandon,
The Nun's Story,Audrey Kathleen Ruston,Match21605,Kathryn Hulme,
The Girls of Pleasure Island,Don Taylor (actor),Match7020,F. Hugh Herbert,
Troops,Jess Q. Harnell,Match8300,"Kevin Rubio
Steven Melching
David Hargrove
David McDermott",
BAFTA Award for Best Film,Linda Bassett,Match9939,Ayub Khan-Din,
,Balbir Raj Kapoor,Match22443,Ruth Prawer Jhabvala,
The Absent Minded Professor,Fredrick Martin MacMurray,D11794,Samuel W. Taylor,
Madman,,D11795,George Huang (director),
Rabbits,Rebekah Del Rio,Match6830,David Keith Lynch,
Academy Award for Best Picture,Leo Jacoby,Match10099,Budd Schulberg,
,Laurence Kerr Olivier,Match7688,Marryam Modell,
Bloodsport 4: The Dark Kumite,Michael Krawic,Match8416,George Saunders,
,Bernard Schwartz,Match18714,Ernest Lehman,
T2 3-D: Battle Across Time,Edward Walter Furlong,Match21865,Adam J. Bezark,
Campfire Tales,Amy L. Smart,Match559,Marcin Stanislaw Kunert Dziewanowski,
The Serpent's Egg,Isolde Barth,Match6900,Ernst Ingmar Bergman,
Ghost Dog: The Way of the Samurai,Forest Steven Whitaker,Match22134,James R. Jarmusch,
Madagascar,Sacha Noam Baron Cohen 1987,D11805,Eric Darnell,
Dark Corner,William Bendix,Match1948,Leo Rosten,
,Blanca de Castejon,Match4242,Luis Saslavsky,
Invisible Agent,Ilona Hajmu00E1ssy,Match21466,H.G. Wells,
In the Line of Fire,Mark Anthony McDermott,Match1766,Jeff Maguire,
Shisha no sho,Tetsuko Kuroyanagi,Match8134,Shinobu Origuchi,
Amar Akbar Anthony,Parveen Babi,Match10603,,
A Nightmare on Elm Street 2: Freddy's Revenge,Robert Barton Englund,Match4219,David Chaskin,
,J?ji Yanami,D11813,,
Mostly Martha,Maxime Foerste,Match21917,Sandra Nettelbeck,
,,D11815,Nikalai Erdman,
Destination Earth,,Match8371,"Michael Amestoy
George Gordon",
A Page of Madness,Masuo Inoue,Match3256,Teinosuke Kinugasa,
The Folly of Anne,Elmer Clifton,Match17510,"Ellen Farley
George Pattullo",
October Sky,Chris Cooper (actor),D11819,Lewis Colick,
,Shun Oguri,Match5072,Masaki Adachi,
,Maurice Ronet,Match1573,,
Being Julia,Shaun Evans,Match18554,W. Somerset Maugham,
Fay Grim,Jeffrey Lynn Goldblum,Match20926,Hal Hartley,
,Lisa Deanna Rinna,Match14593,David S. Goyer,
"Suddenly, Last Summer",Katharine Hepburn,Match18427,Gore Vidal,
,Shelby Knox,Match15106,,
,Terry Randall,Match825,Sidney Gilliat,
Girls Town,Paul Anka,Match985,Robert Hardy Andrews,
Blazing Stewardesses,Margaret Yvonne Middleton,Match15359,John D'Amato,
That's My Meat,Alfred St. John,Match19410,Jack Townley,
David & Layla,"David Moscow,
Shiva Rose McDermott",Match1606,Jay Jonroy,
,Ashok Kumar,Match14726,Akhtar-Ul-Iman,
,John Devon Roland Pertwee,D11833,Robert Bloch,
Billy Madison,Bridgette Leann Wilson,Match15480,Tim Herlihy,
Tokyo Raiders,Ekin Cheng,Match18612,,
,Pat O'Brien,Match696,Jameson Brewer,
,Bijon Bhattacharya,Match3124,Shaktipada Rajguru,
One Million B.C.,Victor Mature,Match17937,,
,Kamal Haasan,D11839,,
La calle sin sol,Amparo Rivelles,D11840,Miguel Mihura,
Akai hashi no shita no nurui mizu,Isao Natsuyagi,Match14916,Daisuke Tengan,
,Lukas Daniel Haas,D11842,Boaz Yakin,
,Phil Vischer,Match3181,,
,Mai Saito,D11844,,
,Clarence Williams III,Match6503,Rusty Cundieff,
A Man from the Boulevard des Capuchines,Aleksandra Yakovleva-Aasmyae,Match7074,Eduard Akopov,
The Last Man on Earth,Emma Danieli,Match4789,Ubaldo Ragona,
,Hiroshi Koizumi,Match932,Shinichi Sekizawa,
,Bhavana (actress),D11849,,
Austin Powers: The Spy Who Shagged Me,Heather Graham,Match6240,Michael McCullers,
,Tupac Shakur,Match8369,Jim Kouf,
,Joseph Vijay Chandrasekhar,D11852,,
,Kenji Kohashi,Match22185,Yasutaka Tsutsui,
,Lambert Wilson,Match5286,André Barde,
,"Jeffrey Combs,
Barbara Crampton,
Jessica Dollarhide,
Jonathan Fuller",Match8096,Stuart Gordon,
Honeymoon in Vegas,Seymour Cassel,Match2524,Andrew Bergman,
,Vina Fay Wray,Match5769,Edward T. Lowe Jr.,
,Francisco Rabal,Match22229,H. P. Lovecraft,
,Harry Moses Horwitz,Match5706,Clyde Bruckman,
The Prince and the Showgirl,Laurence Kerr Olivier,Match17496,Terrence Rattigan,
,William Bishop,Match14586,Harry Essex,
,"Bruno Giovanni Quidaciolu, Jr.",Match15896,Patrick Amos,
Cannonball Run II,Dominick DeLuise,Match2778,Harvey Miller,
Nu00E4r alla vet,Nicolai Cleve Broch,Match4463,Per Knutsen,
,Michel Elias,Match1031,Jean Henri Gaston Giraud,
Little Murders,Doris Roberts,Match21596,Jules Feiffer,
The Phenix City Story,,Match18502,,
The Field,Thomas Michael Moore,Match1952,Jim Sheridan,
,Phil Vischer,Match4714,Phil Vischer,
,Preeti Janghiani,Match20022,Mangesh Kulkarni,
Raoul Coutard,Fritz Lang,Match15247,Alberto Moravia,
Best Laid Plans,,Match20442,,
Being John Malkovich,Cameron Michelle Diaz,Match5451,Charles Stuart Kaufman,
GoBots: Battle of the Rock Lords,Michael Nouri,Match18109,Jeff Segal,
Little Black Book,Kathleen Doyle Bates,D11875,"Melissa Carter
Elisa Bell",
,William Davis Garwood Jr.,D11876,,
,Rosemarie Magdalena Albach-Retty,Match3471,Andrzej ?u?awski,
,Leonor Benedetto,Match17664,José P. Dominiani,
,Lucretia Love,Match12527,Giuseppe Bennati,
,Paul Anthony Sorvino,Match15520,James Toback,
What Happened to Mary?,Mary Fuller,Match16653,Horace G. Plympton,
Terkel in Trouble,Anders Matthesen,Match21522,Anders Matthesen,
Slave Ship,Elizabeth Allan,Match19979,<http://select.nytimes.com/gst/abstract.html>,
Ankahee,Amisha Patel,Match18247,Vikram Bhatt,
The House with Closed Shutters,Henry Brazeale Walthall,Match1939,Emmett C. Hall,
Mom at Sixteen,,Match4256,Nancey Silvers,
Transformers,Shia Saide LaBeouf,Match14941,Alex Kurtzman,
,Rajnikanth,D11888,,
Bride for Sale,George Brendan Nolan,Match58,Frederick Kohner,
Cinderella,,D11890,Charles Perrault,
,Gerardo Romano,Match20051,Víctor Dínenzon,
,Anthony Higgins,Match5540,Jean Rhys,
F.I.S.T.,Sylvester Gardenzio Stallone,Match19439,Sylvester Gardenzio Stallone,
Palme d'Or,Vladica Kostic,Match12255,Lars von Trier,
The God Within,Henry Brazeale Walthall,Match968,F.P. Bayer,
,Larry Riley,Match21035,Jeffrey Fiskin,
,Philip Andre Rourke Jr.,Match16686,Philip Andre Rourke Jr.,
Windwalker,Trevor Howard,Match18769,,
Socket,Alexandra Billings,Match22311,Sean Abley,
4 for Texas,Dean Martin,Match12534,Teddi Sherman,
,Hunter S. Thompson,D11901,,
,Rishi Kapoor,Match15231,,
Du00E9siru00E9e,"Marlon Brando, Jr.",Match18933,Daniel Taradash,
,Michael Anthony Thomas Charles Hall,Match13549,,
,Emilia Teli,D11905,Enzo Brandner,
The Center of the World,John Peter Sarsgaard,Match15280,Miranda Jennifer Grossinger,
The Shaggy Dog,Timothy Alan Dick,Match2184,Geoff Rodkey,
Teddy Bear,Stanis?aw Tym,D11908,Stanis?aw Bareja,
,Arnold Vosloo,Match21612,Stuart Gordon,
The Last Horror Film,Joe Spinell,Match17544,Tom Klassen,
Themroc,Béatrice Romand,Match18570,Claude Faraldo,
"Carmaux, du00E9fournage du coke",,D11912,,
The Ladies Man,George Ranft,Match16532,Bill Richmond (writer),
Murphy's Law,Charles Dennis Buchinsky,Match15656,Gail Morgan Hickman,
The Brain Eaters,Cornelius Keefe,Match16901,Gordon Urquhart,
The Pleasure Garden,Gunnar Björnstrand,Match16587,Ernst Ingmar Bergman,
,Vanessa Redgrave,D11917,John Hale (screenwriter),
,Pina Cei,Match21040,Arcangela Felice Assunta Job Wertmu00FCller von Elgg Espanol von Brauchich,
Everything's Cool,Ross Gelbspan,D11919,,
The House of Yes,Parker Christian Posey,Match13231,Mark Waters (Director),
Blade,Wesley Trent Snipes,Match2575,David S. Goyer,
Delta Farce,Danny Trejo,Match2587,Bear Aderhold,
Puppet Master II,Elizabeth Maclellan,Match18292,"Charles Band
David Pabian
David Schmoeller",
Birdman of Alcatraz,Neville Brand,Match11384,Guy Trosper,
,"Erika Thormahlen
Mark Sarosi
Steven Bender
Kristin Victoria Barron
",D11925,Sean Lennon,
,Diane Laruska,Match21598,A.B. Guthrie Jr.,
,Antonio Rudolfo Oaxaca Quinn,Match1450,Jo Swerling,
The Big One,Michael Moore,Match12217,,
Hemp for Victory,Lee D. Vickers,Match16291,Brittain B. Robinson,
,,Match17785,Robert M. Fresco,
,Richard Widmark,D11931,Dudley Nichols,
,Nassar(actor),D11932,,
The Mouse and His Child,Cloris Leachman,Match486,Russell Hoban,
The Five Pennies,David Daniel Kaminsky,Match17511,Robert Smith,
,Eileen Evelyn Greer Garson,Match20365,Corinne Anita Loos,
Love on the Dole,Deborah Jane Kerr-Trimmer,Match20722,"Walter Greenwood 
Barbara K. Emary
Rollo Gamble",
,,Match15200,DJ Q-Bert,
The Big Sky,Elizabeth Threatt,Match16537,Dudley Nichols,
FearDotCom,Natascha Taylor,Match21986,Josephine Coyle,
Don't Try This at Home: The Steve-O Video,,Match21731,,
,Mikel Conrad,D11941,George Wallace Sayre,
The Cave,Edward Bryant Cibrian,Match15125,"Michael Steinberg
Tegan West",
